gene_id	SRR13694562	SRR13694563	SRR13694564	SRR13694565	SRR13694566	SRR13694567	SRR13694568	SRR13694569	SRR13694570
ENSMUSG00000102693.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000064842.3	0	0	0	0	0	0	0	0	0
ENSMUSG00000051951.6	2	1	1	0	1	2	0	0	1
ENSMUSG00000102851.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000103377.2	0	0	0	1	0	0	0	0	0
ENSMUSG00000104017.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000103025.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000089699.3	0	0	0	0	0	0	0	0	0
ENSMUSG00000103201.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000103147.2	0	0	0	0	0	2	0	0	0
ENSMUSG00000103161.2	0	0	0	0	0	3	0	0	0
ENSMUSG00000102331.2	2	0	2	1	1	1	0	2	2
ENSMUSG00000102348.2	0	0	0	0	0	3	0	0	0
ENSMUSG00000102592.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000088333.4	0	0	0	0	0	0	0	0	0
ENSMUSG00000142494.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000102343.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000133908.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000025900.14	9	16	6	12	6	43	1	7	11
ENSMUSG00000102948.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000104123.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000135717.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000139157.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000025902.14	522	425	550	428	398	607	428	244	531
ENSMUSG00000104238.3	1	1	0	0	0	1	5	1	2
ENSMUSG00000102269.2	2	7	5	4	10	3	4	5	8
ENSMUSG00000118917.1	1	2	0	0	0	0	0	0	0
ENSMUSG00000103003.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000104328.3	8	4	5	8	2	14	0	4	2
ENSMUSG00000131850.1	0	0	0	1	0	0	1	0	0
ENSMUSG00000102735.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000098104.2	1	1	1	0	3	1	0	1	1
ENSMUSG00000102175.2	0	0	1	1	0	1	0	0	0
ENSMUSG00000135930.1	0	0	1	0	0	0	0	0	0
ENSMUSG00002075947.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000103265.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000103922.2	20	17	31	17	20	41	14	17	28
ENSMUSG00000033845.14	1471	1837	1752	1540	1150	1687	1447	983	1567
ENSMUSG00000102275.2	23	27	46	54	27	15	8	12	18
ENSMUSG00000120403.2	6	2	4	6	6	3	1	2	1
ENSMUSG00000136002.1	1	1	2	0	2	0	0	0	0
ENSMUSG00000025903.15	2010	2188	2324	2127	2002	2303	1375	1026	1714
ENSMUSG00000104217.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000137875.1	6	8	8	9	3	1	3	2	1
ENSMUSG00000033813.16	1349	1328	1457	1327	1409	1414	610	395	767
ENSMUSG00000062588.5	4	5	4	8	9	12	3	4	4
ENSMUSG00000103280.2	2	6	6	3	1	2	1	0	1
ENSMUSG00000002459.18	13	5	7	2	2	5	1	1	3
ENSMUSG00000091305.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000102653.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000085623.2	0	0	0	0	0	0	3	0	0
ENSMUSG00000091665.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000033793.13	2048	1705	2306	2096	1919	2344	383	382	435
ENSMUSG00000143188.1	9	5	2	2	3	7	4	0	5
ENSMUSG00000104352.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000143351.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000104046.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000102907.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000025905.15	3	0	0	0	0	0	0	0	0
ENSMUSG00000103936.2	0	0	0	0	0	0	0	0	0
ENSMUSG00002076544.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000103519.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000033774.5	0	0	0	0	0	0	0	0	0
ENSMUSG00000103090.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000090031.5	193	123	140	138	171	183	50	34	53
ENSMUSG00000025907.15	2763	3249	3440	2909	3289	3408	2196	1313	2767
ENSMUSG00000087247.4	0	1	0	0	1	0	0	0	0
ENSMUSG00000143943.1	0	0	1	0	1	1	1	1	0
ENSMUSG00000103355.2	0	1	1	1	0	1	1	0	1
ENSMUSG00000102706.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000141243.1	0	0	0	0	0	1	0	0	0
ENSMUSG00000103845.2	1	0	1	3	3	2	0	0	0
ENSMUSG00000033740.18	7	0	0	0	0	0	0	0	0
ENSMUSG00000103329.3	0	0	0	0	0	0	0	0	0
ENSMUSG00000104385.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000102135.2	0	1	0	0	0	2	0	0	0
ENSMUSG00000103282.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000102534.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000102213.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000120372.2	2	2	5	10	4	2	2	1	4
ENSMUSG00000051285.18	3653	4052	4218	3782	4209	4073	2541	1926	3627
ENSMUSG00000138092.1	1	2	1	2	1	0	1	0	1
ENSMUSG00000098201.2	0	0	0	1	0	0	0	0	0
ENSMUSG00000103509.2	11	7	6	5	15	17	17	4	15
ENSMUSG00000126455.1	0	0	2	0	0	0	0	0	0
ENSMUSG00000048538.8	9	8	9	15	9	5	3	19	1
ENSMUSG00000103709.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000126493.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000144281.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244.3	0	0	0	0	0	0	0	0	0
ENSMUSG00000097797.8	41	34	48	41	35	30	3	3	8
ENSMUSG00000102768.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000103498.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000102320.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000103903.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000103557.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000132588.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000135709.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000135722.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000025909.17	1	0	0	0	0	0	0	0	1
ENSMUSG00000102647.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000086235.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000123533.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000102253.2	0	0	0	0	0	0	0	0	0
ENSMUSG00002074990.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000084353.2	0	0	1	1	0	0	0	0	0
ENSMUSG00000103933.2	1	1	1	2	2	3	1	0	0
ENSMUSG00002075967.1	0	0	0	7	0	1	0	0	0
ENSMUSG00000086195.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000104504.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000123491.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000066693.3	1	0	0	1	0	0	3	0	1
ENSMUSG00000102316.2	1	0	0	0	0	0	0	0	0
ENSMUSG00000103819.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000102871.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000101571.3	0	0	0	0	1	0	0	0	0
ENSMUSG00000135814.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000104428.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000102272.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000065625.3	0	0	0	0	0	0	0	0	0
ENSMUSG00000079671.11	18	14	20	17	23	18	35	32	47
ENSMUSG00000103411.2	2	0	0	0	1	1	0	0	1
ENSMUSG00000061024.9	470	430	487	472	485	513	274	190	332
ENSMUSG00000025911.15	189	180	143	156	196	219	676	622	853
ENSMUSG00000081441.4	2	3	3	8	8	2	2	4	5
ENSMUSG00000067879.4	22	3	1	1	2	2	2	3	1
ENSMUSG00000099827.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000025912.17	45	32	61	47	54	71	8	5	11
ENSMUSG00000123215.1	2	0	1	3	2	0	0	0	2
ENSMUSG00000045210.9	1142	1088	1259	1073	1308	1287	430	313	570
ENSMUSG00000097893.11	6	2	5	10	10	1	1	4	5
ENSMUSG00000128816.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000025915.15	382	442	466	450	527	475	156	147	209
ENSMUSG00000046334.5	1	0	0	0	0	0	0	0	0
ENSMUSG00002075801.1	0	0	0	0	0	0	0	0	1
ENSMUSG00000098234.10	245	252	306	224	198	253	204	128	188
ENSMUSG00000046101.17	5	8	3	5	5	2	0	2	3
ENSMUSG00000093178.3	0	0	0	0	0	0	0	0	0
ENSMUSG00000099032.3	13	3	3	10	8	3	0	2	1
ENSMUSG00000104025.2	0	0	0	1	1	0	0	0	0
ENSMUSG00000025916.11	4	0	1	3	2	1	5	5	2
ENSMUSG00000087199.2	1	0	0	0	0	0	0	0	0
ENSMUSG00000121270.1	0	0	2	0	1	1	0	0	0
ENSMUSG00000119658.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000025917.10	3445	3723	4164	3676	3199	3915	3357	2078	3585
ENSMUSG00000056763.17	432	328	461	367	381	485	162	122	191
ENSMUSG00000137212.1	0	1	0	1	0	0	0	1	0
ENSMUSG00000102356.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000067851.12	2036	2421	2120	2305	2502	2608	3288	1856	3695
ENSMUSG00002076532.1	0	5	1	1	1	2	1	2	1
ENSMUSG00000102556.2	0	0	0	1	0	1	2	1	0
ENSMUSG00000127523.1	2	2	3	3	0	2	0	0	3
ENSMUSG00000123573.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000042501.13	0	0	0	0	0	0	0	0	0
ENSMUSG00000103810.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000130625.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000083422.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000119312.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000137678.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000081417.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000103448.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000100212.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000125508.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000100648.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000130062.1	0	0	0	0	0	0	0	0	0
ENSMUSG00002076499.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000048960.14	468	532	489	389	578	522	533	337	676
ENSMUSG00000127757.1	0	2	0	0	2	0	0	0	5
ENSMUSG00000127802.1	1	2	0	0	4	0	0	0	0
ENSMUSG00000077318.3	0	0	1	0	0	0	0	0	0
ENSMUSG00000101827.2	0	1	0	0	1	0	0	0	1
ENSMUSG00000122491.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000103494.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000143092.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000057715.14	8	4	3	1	2	2	1	0	0
ENSMUSG00000103825.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000099845.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000139014.1	0	0	0	0	1	0	0	0	0
ENSMUSG00000138973.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000103561.2	0	2	0	0	0	0	0	0	0
ENSMUSG00000134440.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000101610.2	0	0	0	0	0	2	0	0	0
ENSMUSG00000141382.1	0	0	1	0	0	0	0	0	0
ENSMUSG00000118923.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000098555.3	0	0	0	0	0	0	0	0	0
ENSMUSG00000143719.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000097628.2	0	0	0	0	0	0	0	1	1
ENSMUSG00000098163.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000097171.3	0	0	0	0	1	0	0	0	0
ENSMUSG00000101314.3	0	0	0	0	0	0	0	0	0
ENSMUSG00000016918.16	450	332	413	289	356	465	214	150	342
ENSMUSG00000127288.1	0	0	3	2	2	0	0	0	0
ENSMUSG00000025938.17	974	1335	957	1004	1078	1414	950	725	1369
ENSMUSG00000104518.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000141815.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000069620.7	0	0	0	0	0	0	0	0	0
ENSMUSG00000099498.3	0	0	0	0	0	0	0	0	0
ENSMUSG00000042414.8	0	0	3	0	0	0	0	0	0
ENSMUSG00000005886.15	1298	1541	1642	1524	1965	1692	686	463	826
ENSMUSG00000103506.2	2	2	3	2	3	2	0	2	0
ENSMUSG00000103495.2	1	0	0	1	0	2	0	0	0
ENSMUSG00002076346.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000102639.2	0	0	0	0	0	0	1	0	0
ENSMUSG00000104170.2	0	0	1	2	1	0	0	0	1
ENSMUSG00000134412.1	3	3	2	3	2	1	0	1	0
ENSMUSG00000087782.3	0	0	0	0	0	1	0	0	0
ENSMUSG00000103085.2	3	7	18	8	7	6	0	8	3
ENSMUSG00000102664.2	3	1	8	11	12	8	1	4	5
ENSMUSG00000134452.1	2	8	5	6	2	1	0	1	2
ENSMUSG00000101476.3	8	5	8	6	5	9	0	0	1
ENSMUSG00000134491.1	1	3	2	5	7	4	0	0	0
ENSMUSG00000122424.1	0	0	0	0	2	0	0	0	0
ENSMUSG00000101171.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000126000.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000025935.11	831	891	1019	988	995	964	280	465	392
ENSMUSG00000120948.2	1	1	1	5	1	3	0	0	2
ENSMUSG00000131318.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000025937.7	1046	1147	1154	1033	1085	1305	645	978	1054
ENSMUSG00000102982.2	8	0	4	4	5	7	5	9	1
ENSMUSG00000067813.4	1	0	0	0	1	0	0	26	0
ENSMUSG00000077368.3	0	0	0	0	0	0	0	0	0
ENSMUSG00000097711.2	1	2	1	0	0	1	2	1	1
ENSMUSG00000134219.1	0	2	0	2	0	0	0	0	0
ENSMUSG00000102166.2	0	0	0	0	0	0	0	0	0
ENSMUSG00002075174.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000104209.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000025932.15	1321	1182	1338	1293	1493	1494	541	328	722
ENSMUSG00002075819.1	0	1	1	1	0	0	0	0	0
ENSMUSG00000102588.2	4	3	3	4	2	2	0	0	1
ENSMUSG00000127312.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000127278.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000140763.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000140464.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000134469.1	0	0	0	0	0	0	2	0	0
ENSMUSG00000054493.4	4	5	3	3	3	8	4	0	0
ENSMUSG00000025930.7	92	81	73	86	46	100	22	16	37
ENSMUSG00000103492.2	1	4	1	1	6	5	1	1	1
ENSMUSG00000081201.2	3	1	5	0	0	0	0	1	1
ENSMUSG00000082193.2	7	12	9	5	6	7	5	2	3
ENSMUSG00000032769.6	0	0	1	0	0	0	2	0	0
ENSMUSG00000088159.3	0	0	0	0	0	0	0	0	0
ENSMUSG00000125466.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000073737.4	0	7	4	3	1	7	3	6	6
ENSMUSG00000092083.5	2	0	0	0	1	0	0	0	5
ENSMUSG00000128216.1	0	0	0	0	0	0	1	0	0
ENSMUSG00000102937.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000104149.2	0	2	2	0	0	1	0	0	0
ENSMUSG00000137925.1	2	0	1	1	1	0	0	1	0
ENSMUSG00000088829.3	0	0	0	0	0	0	0	0	0
ENSMUSG00000132707.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000077377.3	0	0	0	0	0	0	0	0	0
ENSMUSG00000101652.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000100814.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000132745.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000132786.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000025925.15	182	168	235	210	202	197	80	88	99
ENSMUSG00000104379.2	2	4	5	0	6	3	2	0	1
ENSMUSG00000032719.5	6	13	9	7	11	11	6	4	11
ENSMUSG00002076565.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000137819.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000100652.2	1	0	0	0	0	0	0	0	0
ENSMUSG00000067795.14	0	1	0	0	0	2	0	0	1
ENSMUSG00000136711.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000043716.14	9867	9680	11480	9869	8185	10363	4735	3011	4950
ENSMUSG00000025921.8	255	213	286	246	240	270	113	106	134
ENSMUSG00000132226.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000104165.2	7	8	3	11	7	5	1	0	5
ENSMUSG00000100868.2	2	3	6	6	4	6	0	1	1
ENSMUSG00000025920.20	2740	3245	3129	3422	3282	3512	1068	602	1088
ENSMUSG00000089982.9	1	1	2	10	4	6	2	0	0
ENSMUSG00000025939.20	720	640	865	671	657	797	147	170	268
ENSMUSG00000102457.2	15	4	11	8	10	6	3	0	2
ENSMUSG00000079658.10	2891	2865	3368	2864	2586	3194	1714	1099	2182
ENSMUSG00000097744.3	0	0	0	1	0	3	0	0	0
ENSMUSG00000100959.2	0	0	0	0	2	0	0	2	0
ENSMUSG00000025940.7	1994	2291	2392	1927	1881	2193	1527	974	1829
ENSMUSG00000125087.1	3	12	4	13	8	8	0	0	2
ENSMUSG00000025779.11	43	34	34	41	40	38	6	15	4
ENSMUSG00000100093.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000091020.4	5	4	0	1	2	8	3	0	3
ENSMUSG00000142287.1	7	4	9	1	3	10	16	5	16
ENSMUSG00000101640.2	1	0	1	1	0	0	0	0	3
ENSMUSG00000104133.2	2	1	0	1	0	0	0	0	0
ENSMUSG00000042686.6	5906	6497	6035	6586	6729	6897	13173	6506	14157
ENSMUSG00000127806.1	23	42	26	33	28	22	133	35	100
ENSMUSG00000127769.1	1	1	0	0	1	0	2	3	3
ENSMUSG00000100110.3	9	13	16	19	9	15	59	17	60
ENSMUSG00000025777.9	213	252	275	234	218	176	1187	315	612
ENSMUSG00000099899.3	0	1	0	4	1	0	0	0	0
ENSMUSG00000138285.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000100272.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000137468.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000137506.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000100398.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000101589.2	6	2	6	3	1	4	2	1	3
ENSMUSG00000102048.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000089534.3	0	0	0	0	0	0	0	0	0
ENSMUSG00000067780.4	29	55	40	24	34	23	10	26	30
ENSMUSG00000100053.3	5	2	3	0	5	0	7	1	2
ENSMUSG00000085125.9	2	4	1	2	2	3	3	0	5
ENSMUSG00000025776.14	64	48	36	35	39	52	45	30	49
ENSMUSG00000099895.2	0	0	0	0	0	1	2	0	0
ENSMUSG00000109887.3	0	0	0	0	0	0	0	0	0
ENSMUSG00000100554.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000099473.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000099591.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000102001.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000101717.3	0	0	0	0	0	0	0	0	0
ENSMUSG00000025774.15	0	0	0	0	0	0	0	0	0
ENSMUSG00000142595.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000070977.5	0	0	0	0	0	0	0	0	0
ENSMUSG00000131994.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000073735.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000067773.7	0	0	0	0	0	0	0	0	0
ENSMUSG00000101685.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000132263.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000132383.1	0	0	0	0	0	0	0	0	0
ENSMUSG00000101306.2	0	0	0	0	0	0	0	0	0
ENSMUSG00000134916.1	0	0	0	0	0	0	0	0	0
