gene_id	SRR13783173	SRR13783175	SRR13783177	SRR13783179	SRR13783174	SRR13783176	SRR13783178	SRR13783180
ENSMUSG00000102693.2	0	0	0	0	0	0	0	0
ENSMUSG00000064842.3	0	0	0	0	0	0	0	0
ENSMUSG00000051951.6	94	53	22	22	54	37	24	28
ENSMUSG00000102851.2	0	0	0	0	0	0	0	0
ENSMUSG00000103377.2	1	0	0	0	0	0	1	3
ENSMUSG00000104017.2	0	1	0	0	0	0	0	1
ENSMUSG00000103025.2	0	0	0	0	0	0	0	0
ENSMUSG00000089699.3	0	1	0	0	0	0	0	0
ENSMUSG00000103201.2	0	1	0	0	0	0	0	0
ENSMUSG00000103147.2	0	0	0	0	0	0	0	1
ENSMUSG00000103161.2	1	0	0	0	0	2	0	0
ENSMUSG00000102331.2	1	4	3	1	3	4	0	1
ENSMUSG00000102348.2	0	0	0	0	0	0	0	0
ENSMUSG00000102592.2	0	0	0	0	0	0	0	0
ENSMUSG00000088333.4	0	0	0	0	0	0	0	0
ENSMUSG00000142494.1	0	0	0	0	0	0	0	0
ENSMUSG00000102343.2	0	0	0	0	0	0	0	0
ENSMUSG00000133908.1	0	0	0	0	0	0	0	0
ENSMUSG00000025900.14	9	3	1	4	5	4	1	3
ENSMUSG00000102948.2	0	0	0	0	1	0	0	0
ENSMUSG00000104123.2	0	0	0	0	0	0	0	0
ENSMUSG00000135717.1	2	0	0	0	1	0	0	0
ENSMUSG00000139157.1	0	0	0	0	0	0	0	0
ENSMUSG00000025902.14	144	154	79	83	88	42	53	47
ENSMUSG00000104238.3	2	3	0	1	1	0	0	0
ENSMUSG00000102269.2	2	1	0	3	2	0	2	0
ENSMUSG00000118917.1	0	0	0	0	2	0	0	1
ENSMUSG00000103003.2	0	0	0	0	0	0	0	0
ENSMUSG00000104328.3	0	1	1	0	0	0	1	0
ENSMUSG00000131850.1	0	0	1	1	0	0	0	0
ENSMUSG00000102735.2	0	0	0	0	0	0	0	0
ENSMUSG00000098104.2	21	7	17	17	15	5	15	9
ENSMUSG00000102175.2	1	3	0	0	0	0	1	0
ENSMUSG00000135930.1	0	0	1	0	0	0	2	0
ENSMUSG00002075947.1	0	0	0	0	0	0	0	0
ENSMUSG00000103265.2	0	0	0	0	0	0	0	0
ENSMUSG00000103922.2	13	10	8	7	14	7	4	3
ENSMUSG00000033845.14	632	513	717	842	761	593	676	922
ENSMUSG00000102275.2	9	2	5	0	2	2	3	1
ENSMUSG00000120403.2	6	0	0	0	2	1	1	1
ENSMUSG00000136002.1	0	1	0	0	0	1	0	0
ENSMUSG00000025903.15	1972	1568	1769	1931	2546	1674	1791	2416
ENSMUSG00000104217.2	1	2	0	1	1	0	0	0
ENSMUSG00000137875.1	3	0	0	0	0	2	1	1
ENSMUSG00000033813.16	1565	996	1169	1320	1852	1220	1333	1776
ENSMUSG00000062588.5	5	3	2	2	4	2	0	2
ENSMUSG00000103280.2	35	26	33	23	135	108	85	81
ENSMUSG00000002459.18	153	95	99	105	391	381	421	322
ENSMUSG00000091305.2	0	0	0	0	5	2	3	0
ENSMUSG00000102653.2	0	1	0	0	5	5	2	2
ENSMUSG00000085623.2	3	2	0	2	8	16	3	4
ENSMUSG00000091665.2	0	0	0	0	0	0	0	0
ENSMUSG00000033793.13	1499	1019	1135	1410	2125	1397	1823	1992
ENSMUSG00000143188.1	2	0	1	0	1	1	4	1
ENSMUSG00000104352.2	0	0	0	0	0	0	0	0
ENSMUSG00000143351.1	1	0	0	0	0	0	2	0
ENSMUSG00000104046.2	1	1	0	0	0	0	0	1
ENSMUSG00000102907.2	0	0	0	0	0	0	1	1
ENSMUSG00000025905.15	0	0	0	0	0	0	0	0
ENSMUSG00000103936.2	0	0	0	0	0	0	0	0
ENSMUSG00002076544.1	0	0	0	0	0	0	0	0
ENSMUSG00000103519.2	0	0	0	0	0	0	0	0
ENSMUSG00000033774.5	80	59	73	54	79	83	43	60
ENSMUSG00000103090.2	0	0	0	0	0	0	0	0
ENSMUSG00000090031.5	92	62	39	30	60	54	54	22
ENSMUSG00000025907.15	5394	3634	4102	4415	3760	2129	2215	2404
ENSMUSG00000087247.4	0	0	0	0	0	0	0	0
