gene_id	SRR28462972	SRR28462973	SRR28462974	SRR28462981	SRR28462982	SRR28462983	SRR28462966	SRR28462967	SRR28462968	SRR28462963	SRR28462964	SRR28462965	SRR28462975	SRR28462976	SRR28462977	SRR28462969	SRR28462970	SRR28462971	SRR28462978	SRR28462979	SRR28462980
ENSMUSG00000102693.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064842.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051951.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000102851.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103377.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104017.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103025.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089699.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103201.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103147.2	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103161.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102331.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102348.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102592.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088333.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000142494.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102343.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000133908.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025900.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102948.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104123.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000135717.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000139157.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025902.14	24	36	43	0	2	0	43	59	48	34	33	35	0	0	0	56	52	39	0	0	1
ENSMUSG00000104238.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000102269.2	0	2	2	0	0	0	6	6	6	2	5	2	0	0	0	6	1	3	0	0	0
ENSMUSG00000118917.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103003.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104328.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000131850.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102735.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098104.2	10	8	6	0	0	0	5	8	4	7	2	4	0	0	0	5	8	6	0	0	0
ENSMUSG00000102175.2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000135930.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002075947.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103265.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103922.2	23	17	10	0	0	0	11	17	10	24	15	10	0	1	0	17	24	9	0	0	0
ENSMUSG00000033845.14	890	823	783	4	1	3	982	1064	900	988	1041	1035	0	1	2	1121	988	843	0	1	2
ENSMUSG00000102275.2	8	4	9	0	0	0	6	4	8	2	7	7	0	0	0	5	8	8	0	0	0
ENSMUSG00000120403.2	1	5	0	0	0	0	4	9	8	3	3	5	0	0	0	3	1	7	0	0	0
