gene_id	SRR30976313	SRR30976314	SRR30976315	SRR30976316	SRR30976297	SRR30976298	SRR30976299	SRR30976300	SRR30976305	SRR30976306	SRR30976307	SRR30976308	SRR30976301	SRR30976302	SRR30976303	SRR30976304	SRR30976293	SRR30976294	SRR30976295	SRR30976296	SRR30976309	SRR30976310	SRR30976311	SRR30976312	SRR30976289	SRR30976290	SRR30976291	SRR30976292
ENSMUSG00000102693.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064842.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051951.6	0	0	13	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
ENSMUSG00000102851.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103377.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104017.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103025.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089699.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103201.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103147.2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103161.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102331.2	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	3	0	0
ENSMUSG00000102348.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102592.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088333.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000142494.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102343.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000133908.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025900.14	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000102948.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104123.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000135717.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000139157.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025902.14	142	151	211	164	53	72	81	45	141	80	29	44	90	101	67	85	160	139	213	109	125	169	102	80	144	130	131	182
ENSMUSG00000104238.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ENSMUSG00000102269.2	3	6	4	2	4	11	10	8	8	7	9	1	1	7	4	4	0	4	10	0	0	4	4	0	0	0	1	0
ENSMUSG00000118917.1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	2	4	0	0	0	0	0	0	0	0	0
ENSMUSG00000103003.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104328.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000131850.1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102735.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098104.2	10	15	10	7	8	18	11	10	15	7	16	16	4	6	10	5	9	8	7	3	7	14	8	8	6	15	7	7
ENSMUSG00000102175.2	5	0	0	2	0	0	1	5	1	1	3	0	4	0	0	0	0	3	7	1	0	1	0	0	2	0	0	4
ENSMUSG00000135930.1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0
ENSMUSG00002075947.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103265.2	0	0	0	0	0	0	0	5	0	1	0	0	2	2	0	0	0	0	0	0	3	2	0	0	0	0	0	5
ENSMUSG00000103922.2	4	8	9	13	2	4	3	5	8	6	2	3	6	10	7	2	10	9	3	11	7	4	2	6	13	10	1	4
ENSMUSG00000033845.14	484	698	358	608	700	610	483	735	724	592	614	488	503	427	630	407	909	668	680	580	551	581	466	509	536	575	582	563
ENSMUSG00000102275.2	22	22	12	18	12	19	21	41	35	30	20	18	13	11	30	27	49	17	23	37	15	28	33	13	14	48	9	23
ENSMUSG00000120403.2	4	0	0	1	1	0	0	0	1	1	3	0	4	1	3	1	1	0	2	0	1	2	0	0	1	8	0	2
ENSMUSG00000136002.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	4	0	0	0	0	0	0	0
ENSMUSG00000025903.15	1580	1587	1556	1861	1200	1295	1062	1180	1371	1063	1132	1269	1393	1217	1466	1290	2188	307	1622	1652	1611	1459	1392	1527	1816	2019	1766	1638
ENSMUSG00000104217.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ENSMUSG00000137875.1	1	0	0	0	0	0	2	7	2	0	2	7	1	0	1	0	0	1	0	0	0	3	0	0	0	0	4	0
ENSMUSG00000033813.16	1553	1505	1599	2096	2038	2161	1968	1622	1512	1577	1968	2035	1805	1926	1546	1961	2324	1217	2076	2234	2021	1726	1752	1607	2129	2169	2141	1719
ENSMUSG00000062588.5	0	4	4	0	0	0	2	3	0	4	0	1	2	0	0	4	0	2	5	10	2	2	1	0	3	1	8	2
ENSMUSG00000103280.2	0	0	1	0	3	0	0	3	0	0	0	0	3	0	0	0	1	0	0	1	5	0	1	0	0	0	4	0
ENSMUSG00000002459.18	8	5	8	0	0	4	2	1	5	0	0	0	0	0	0	1	0	0	0	4	3	5	0	0	5	5	0	0
ENSMUSG00000091305.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102653.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085623.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091665.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033793.13	1000	1219	959	1209	1231	1266	1113	1022	1133	946	1035	1183	1154	1084	1017	1059	1527	866	1266	1308	1169	957	923	1115	1254	1485	1266	1146
ENSMUSG00000143188.1	8	5	3	3	1	1	2	0	0	1	6	2	5	1	0	3	3	1	4	0	5	0	3	0	0	6	0	1
ENSMUSG00000104352.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000143351.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104046.2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102907.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025905.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
ENSMUSG00000103936.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076544.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103519.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033774.5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0
ENSMUSG00000103090.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090031.5	247	97	51	182	67	90	83	133	43	102	74	92	152	81	73	84	275	97	169	126	150	184	163	138	156	164	105	226
ENSMUSG00000025907.15	2141	1561	1656	2040	1258	1583	1524	1276	1209	1289	1521	1954	1939	1872	1452	1786	2282	1080	1943	2563	2291	1925	1882	1829	2271	2221	2339	2146
ENSMUSG00000087247.4	13	8	0	1	0	3	0	4	7	4	0	0	1	9	5	0	10	3	10	10	3	6	2	10	5	1	6	15
ENSMUSG00000143943.1	3	0	0	3	0	2	1	0	0	2	1	0	1	2	0	0	0	0	2	1	0	1	0	0	1	2	0	0
ENSMUSG00000103355.2	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	3	0
ENSMUSG00000102706.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000141243.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103845.2	0	2	1	2	2	1	0	1	0	2	2	4	4	0	4	0	0	1	1	0	0	2	0	2	2	1	3	0
ENSMUSG00000033740.18	6	0	0	2	0	3	4	4	0	1	0	0	0	4	1	5	0	2	9	5	3	4	2	15	3	10	15	5
ENSMUSG00000103329.3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104385.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102135.2	8	25	0	3	14	15	9	6	17	16	14	7	10	3	6	3	7	2	21	3	10	5	7	2	7	4	2	6
ENSMUSG00000103282.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102534.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102213.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000120372.2	0	2	0	2	1	0	0	1	1	9	1	0	0	0	0	3	0	5	2	0	3	0	1	1	2	6	0	3
ENSMUSG00000051285.18	2016	1728	1940	1995	1076	1242	1206	1266	1211	1132	1244	1255	1458	1418	1240	1266	1886	1080	1923	2175	2032	1787	1700	1584	2130	1963	1777	1898
ENSMUSG00000138092.1	0	0	3	1	0	0	0	0	0	0	0	0	2	0	4	3	6	0	0	0	1	5	4	0	0	6	0	0
ENSMUSG00000098201.2	0	0	0	0	2	2	2	2	0	2	0	4	0	1	0	2	0	0	6	1	0	1	0	2	0	0	0	0
ENSMUSG00000103509.2	38	14	74	73	16	26	59	13	3	12	21	54	49	50	17	90	11	54	32	94	68	51	38	28	53	28	43	83
ENSMUSG00000126455.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048538.8	1	9	1	6	8	11	12	3	6	6	6	11	0	1	0	5	1	3	14	6	5	2	3	3	1	3	4	3
ENSMUSG00000103709.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000126493.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000144281.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097797.8	8	17	7	13	7	11	5	30	2	6	3	24	15	5	10	8	23	11	10	2	5	5	11	13	15	20	7	7
ENSMUSG00000102768.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103498.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067.2	4	1	2	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	6	3	1	0	0	4	1	0	2	3
ENSMUSG00000102320.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103903.2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103557.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000132588.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000135709.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000135722.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025909.17	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
ENSMUSG00000102647.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086235.2	1	3	5	2	3	4	0	0	1	1	0	1	1	1	1	0	0	2	8	2	1	5	0	0	1	6	0	8
ENSMUSG00000123533.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102253.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002074990.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084353.2	1	5	0	1	0	3	0	2	1	0	0	2	7	0	1	3	1	0	0	1	2	0	0	0	1	6	3	0
ENSMUSG00000103933.2	19	26	8	8	17	12	15	11	12	12	37	12	11	12	8	6	15	23	22	19	7	12	3	20	11	6	14	26
ENSMUSG00002075967.1	1	3	0	1	3	2	4	2	7	2	3	3	0	0	1	0	1	2	2	6	2	1	0	1	0	0	1	1
ENSMUSG00000086195.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104504.2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000123491.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066693.3	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	3	1	0	0	3
