gene_id	SRR518631	SRR518632	SRR518633	SRR518634	SRR518635	SRR518636
ENSMUSG00000102693.2	0	0	0	0	0	0
ENSMUSG00000064842.3	0	0	0	0	0	0
ENSMUSG00000051951.6	0	1	2	0	1	0
ENSMUSG00000102851.2	0	0	0	0	0	0
ENSMUSG00000103377.2	0	0	0	0	0	0
ENSMUSG00000104017.2	0	0	0	0	0	0
ENSMUSG00000103025.2	0	0	0	0	0	0
ENSMUSG00000089699.3	0	0	0	0	0	0
ENSMUSG00000103201.2	0	0	0	0	0	0
ENSMUSG00000103147.2	0	0	0	0	0	0
ENSMUSG00000103161.2	0	0	0	0	0	0
ENSMUSG00000102331.2	0	0	0	0	0	0
ENSMUSG00000102348.2	0	0	0	0	0	0
ENSMUSG00000102592.2	0	0	0	0	0	0
ENSMUSG00000088333.4	0	0	0	0	0	0
ENSMUSG00000142494.1	0	0	0	0	0	0
ENSMUSG00000102343.2	0	0	0	0	0	0
ENSMUSG00000133908.1	0	0	0	0	0	0
ENSMUSG00000025900.14	0	0	0	0	0	0
ENSMUSG00000102948.2	0	0	0	0	0	0
ENSMUSG00000104123.2	0	0	0	0	0	0
ENSMUSG00000135717.1	0	0	0	0	0	0
ENSMUSG00000139157.1	0	0	0	0	0	0
ENSMUSG00000025902.14	48	21	18	57	41	39
ENSMUSG00000104238.3	0	0	0	0	0	0
ENSMUSG00000102269.2	4	4	6	12	8	3
ENSMUSG00000118917.1	0	1	0	0	0	0
ENSMUSG00000103003.2	0	0	0	0	0	0
ENSMUSG00000104328.3	0	0	0	0	0	0
ENSMUSG00000131850.1	0	0	0	0	0	0
ENSMUSG00000102735.2	0	0	0	0	0	0
ENSMUSG00000098104.2	6	15	12	14	15	11
ENSMUSG00000102175.2	0	0	0	0	0	1
ENSMUSG00000135930.1	0	2	0	0	0	0
ENSMUSG00002075947.1	0	0	0	0	0	0
ENSMUSG00000103265.2	0	0	0	0	0	0
ENSMUSG00000103922.2	9	19	15	19	13	14
ENSMUSG00000033845.14	462	636	521	839	769	440
ENSMUSG00000102275.2	3	5	9	4	7	0
ENSMUSG00000120403.2	0	2	2	2	1	5
ENSMUSG00000136002.1	1	2	0	1	0	0
ENSMUSG00000025903.15	291	489	510	517	541	291
ENSMUSG00000104217.2	0	0	0	0	0	0
ENSMUSG00000137875.1	1	0	1	2	1	4
ENSMUSG00000033813.16	230	276	249	280	274	149
ENSMUSG00000062588.5	0	0	0	1	0	1
ENSMUSG00000103280.2	0	0	3	0	1	1
ENSMUSG00000002459.18	0	0	0	0	0	0
ENSMUSG00000091305.2	0	0	0	0	0	0
ENSMUSG00000102653.2	0	0	0	0	0	0
ENSMUSG00000085623.2	0	0	0	0	0	0
ENSMUSG00000091665.2	0	0	0	0	0	0
ENSMUSG00000033793.13	613	718	684	747	863	449
ENSMUSG00000143188.1	1	1	1	1	0	0
ENSMUSG00000104352.2	0	0	0	0	0	0
ENSMUSG00000143351.1	0	0	0	0	0	0
ENSMUSG00000104046.2	0	0	0	0	0	0
ENSMUSG00000102907.2	0	0	0	0	0	0
ENSMUSG00000025905.15	0	0	0	0	0	1
ENSMUSG00000103936.2	0	0	0	0	0	0
ENSMUSG00002076544.1	0	0	0	0	0	0
ENSMUSG00000103519.2	0	0	0	0	0	0
ENSMUSG00000033774.5	0	0	0	0	0	0
ENSMUSG00000103090.2	0	0	0	0	0	0
ENSMUSG00000090031.5	13	13	26	20	10	11
ENSMUSG00000025907.15	408	549	607	549	732	363
ENSMUSG00000087247.4	0	0	0	0	0	0
ENSMUSG00000143943.1	0	0	0	0	0	0
ENSMUSG00000103355.2	0	3	2	2	1	1
ENSMUSG00000102706.2	0	0	0	0	0	0
ENSMUSG00000141243.1	0	0	0	0	0	0
ENSMUSG00000103845.2	0	0	0	1	0	0
ENSMUSG00000033740.18	1	0	0	0	0	0
ENSMUSG00000103329.3	0	0	0	0	0	0
ENSMUSG00000104385.2	0	0	0	0	0	0
ENSMUSG00000102135.2	4	9	6	5	3	2
ENSMUSG00000103282.2	0	0	0	0	0	0
ENSMUSG00000102534.2	0	0	0	0	0	0
ENSMUSG00000102213.2	0	0	0	0	0	0
ENSMUSG00000103629.2	0	0	0	0	0	0
ENSMUSG00000120372.2	1	1	0	3	0	0
ENSMUSG00000051285.18	555	718	1227	1113	1556	741
ENSMUSG00000138092.1	0	2	0	1	0	0
ENSMUSG00000098201.2	0	2	0	1	2	1
ENSMUSG00000103509.2	16	22	36	44	30	8
ENSMUSG00000126455.1	1	0	0	0	0	0
ENSMUSG00000048538.8	41	65	56	48	51	63
ENSMUSG00000103709.2	0	0	0	0	0	0
ENSMUSG00000126493.1	0	0	0	0	0	0
ENSMUSG00000144281.1	0	0	0	0	0	0
ENSMUSG00000077244.3	0	0	0	0	0	0
ENSMUSG00000097797.8	2	1	1	2	3	2
ENSMUSG00000102768.2	0	0	0	0	0	0
ENSMUSG00000103498.2	0	0	0	0	0	0
ENSMUSG00000103067.2	1	0	0	0	0	0
ENSMUSG00000102320.2	0	0	0	0	0	0
ENSMUSG00000104226.2	0	0	0	0	0	0
ENSMUSG00000103903.2	0	0	0	0	0	0
ENSMUSG00000103557.2	0	0	0	0	0	0
ENSMUSG00000132588.1	0	0	0	0	0	0
ENSMUSG00000135709.1	0	0	0	0	0	0
ENSMUSG00000135722.1	0	0	0	0	0	0
ENSMUSG00000025909.17	3	8	14	8	3	2
ENSMUSG00000102647.2	0	0	0	0	0	0
ENSMUSG00000086235.2	0	0	0	0	1	0
ENSMUSG00000123533.1	0	0	0	0	0	0
ENSMUSG00000102253.2	0	0	1	0	0	0
ENSMUSG00002074990.1	0	0	0	0	0	0
ENSMUSG00000103884.2	0	0	0	0	0	0
ENSMUSG00000084353.2	0	1	2	0	0	2
ENSMUSG00000103933.2	6	2	0	1	4	1
ENSMUSG00002075967.1	0	0	0	0	0	0
ENSMUSG00000086195.2	0	0	0	0	0	0
ENSMUSG00000104504.2	0	0	0	0	0	0
ENSMUSG00000123491.1	0	0	0	0	0	0
ENSMUSG00000066693.3	0	0	0	0	0	0
ENSMUSG00000102316.2	0	0	0	0	0	0
ENSMUSG00000103819.2	0	0	0	0	0	0
ENSMUSG00000102871.2	0	0	1	0	0	0
ENSMUSG00000101571.3	0	0	0	0	0	0
ENSMUSG00000135814.1	0	0	0	0	0	0
ENSMUSG00000104428.2	0	0	0	0	0	0
ENSMUSG00000102272.2	0	2	3	2	0	2
ENSMUSG00000065625.3	0	0	0	0	0	0
ENSMUSG00000079671.11	4	8	8	23	17	3
ENSMUSG00000103411.2	0	0	0	0	0	0
ENSMUSG00000061024.9	95	137	93	95	108	75
ENSMUSG00000025911.15	1181	1299	1411	1695	1620	930
ENSMUSG00000081441.4	2	3	3	1	3	1
ENSMUSG00000067879.4	2	5	2	0	3	0
ENSMUSG00000099827.2	0	0	0	0	0	0
ENSMUSG00000025912.17	10	6	0	6	1	6
ENSMUSG00000123215.1	1	0	0	1	0	0
ENSMUSG00000045210.9	453	593	664	401	618	240
ENSMUSG00000097893.11	12	18	14	25	21	13
ENSMUSG00000128816.1	3	0	1	0	0	1
ENSMUSG00000025915.15	196	231	228	199	211	148
ENSMUSG00000046334.5	0	0	1	0	0	0
ENSMUSG00002075801.1	0	0	0	1	0	0
ENSMUSG00000098234.10	123	148	128	182	188	112
ENSMUSG00000046101.17	1	0	1	2	1	1
ENSMUSG00000093178.3	0	0	0	0	0	0
ENSMUSG00000099032.3	229	274	87	391	129	172
ENSMUSG00000104025.2	2	3	2	8	2	2
ENSMUSG00000025916.11	5	5	3	12	3	2
ENSMUSG00000087199.2	0	0	0	0	0	0
ENSMUSG00000121270.1	0	0	0	0	0	0
ENSMUSG00000119658.1	0	0	0	0	0	0
ENSMUSG00000025917.10	634	837	725	959	932	575
ENSMUSG00000056763.17	181	188	252	246	301	170
ENSMUSG00000137212.1	1	0	0	0	0	0
