dataset_id	GEO_accession	PMID	DOI	publication_title	public_repository	data_type	species	tissue_or_sample_context	timepoint_h_min	timepoint_h_max	delivery_platform_or_modality	manuscript_analysis_group	role_in_IMRS	included_in_primary_claim_yes_no	raw_data_access_note	derived_data_available_in_package_yes_no	source_file	notes
GSE190850_HUMAN	GSE190850	34990408	10.1172/jci.insight.155655	Aerosol delivery, but not intramuscular injection, of adenovirus-vectored tuberculosis vaccine induces respiratory-mucosal immunity in humans	GEO	bulk RNA-seq/count matrix with verified metadata and split-design definitions	Homo sapiens	BALF	0	1344	human adenovirus-vectored tuberculosis vaccine	Excluded/unclear	validation	no	Raw data are public through the listed accession when available; derived metadata and split definitions are documented in the release package.	yes	data_release_templates/derived/supplement_dataset_split_provenance_v7.tsv	Vaccination sampling at baseline or 8 weeks (1344 h), with a separate 12-h ex-vivo stimulation clock.
GSE237068	GSE237068	38101397	10.1016/j.cmet.2023.11.010	ChREBP is activated by reductive stress and mediates GCKR-associated metabolic traits	GEO	bulk RNA-seq/count matrix with verified metadata and split-design definitions	Mus musculus	Liver	96	96	retro-orbital adenovirus-EcSTH versus adenovirus-GFP	Excluded/unclear	validation	no	Raw data are public through the listed accession when available; derived metadata and split definitions are documented in the release package.	yes	data_release_templates/derived/supplement_dataset_split_provenance_v7.tsv	Metadata-only/excluded; liver collected 96 h after retro-orbital adenovirus administration.
GSE166655	GSE166655	34417184	10.1126/sciadv.abi6896	Gene therapy with AR isoform 2 rescues spinal and bulbar muscular atrophy phenotype by modulating AR transcriptional activity	GEO	bulk RNA-seq/count matrix with verified metadata and split-design definitions	Mus musculus	Tibialis anterior	1008	1008	AAV9	Extended validation	validation	no	Raw data are public through the listed accession when available; derived metadata and split definitions are documented in the release package.	yes	data_release_templates/derived/supplement_dataset_split_provenance_v7.tsv	Six weeks after AAV9 injection (injection at age 5 weeks; harvest at age 11 weeks).
GSE178313	GSE178313	35132167	10.1038/s41565-021-01030-y	Species-dependent in vivo mRNA delivery and cellular responses to nanoparticles	GEO	bulk RNA-seq/count matrix with verified metadata and split-design definitions	Mus musculus or humanized mouse if metadata indicates	Liver	24	24	lipid nanoparticle	Extended validation	validation	no	Raw data are public through the listed accession when available; derived metadata and split definitions are documented in the release package.	yes	data_release_templates/derived/supplement_dataset_split_provenance_v7.tsv	Cells isolated 24 h after intravenous pooled-LNP or PBS injection.
GSE264344	GSE264344	40162786	10.1128/jvi.00247-25	Early spatiotemporal evolution of the immune response elicited by adenovirus serotype 26 vector vaccination in mice	GEO	bulk RNA-seq/count matrix with verified metadata and split-design definitions	Mus musculus	Blood; dLN; Muscle	72	72	adenovirus serotype 26 vector; adenovirus serotype 5 vector	Extended validation	validation	no	Raw data are public through the listed accession when available; derived metadata and split definitions are documented in the release package.	yes	data_release_templates/derived/supplement_dataset_split_provenance_v7.tsv	Public dataset provenance captured from existing local audit source.
GSE314070	GSE314070	41671339	10.1126/scitranslmed.adw6105	Parenteral vaccination with an adjuvanted mRNA vaccine induces protective mucosal immunity against rotavirus in neonatal mice	GEO	bulk RNA-seq/count matrix with verified metadata and split-design definitions	Mus musculus	small intestine	336	336	lipid nanoparticle	Extended validation	validation	no	Raw data are public through the listed accession when available; derived metadata and split definitions are documented in the release package.	yes	data_release_templates/derived/supplement_dataset_split_provenance_v7.tsv	336 h is 14 days after the day-21 booster and 840 h after the prime.
GSE167521	GSE167521	34841223	10.1016/j.isci.2021.103479	The mRNA-LNP platform's lipid nanoparticle component used in preclinical vaccine studies is highly inflammatory	GEO	bulk RNA-seq/count matrix with verified metadata and split-design definitions	Mus musculus	skin	24	24	lipid nanoparticle	Locked anchor	Anchor	no	Raw data are public through the listed accession when available; derived metadata and split definitions are documented in the release package.	yes	data_release_templates/derived/supplement_dataset_split_provenance_v7.tsv	Public dataset provenance captured from existing local audit source.
GSE264344	GSE264344	40162786	10.1128/jvi.00247-25	Early spatiotemporal evolution of the immune response elicited by adenovirus serotype 26 vector vaccination in mice	GEO	bulk RNA-seq/count matrix with verified metadata and split-design definitions	Mus musculus	Blood; dLN; Muscle	1	24	adenoviral vector	Locked anchor	Anchor	no	Raw data are public through the listed accession when available; derived metadata and split definitions are documented in the release package.	yes	data_release_templates/derived/supplement_dataset_split_provenance_v7.tsv	Public dataset provenance captured from existing local audit source.
GSE279372	GSE279372	39494905	10.1128/jvi.01699-24	Lipid nanoparticles as adjuvant of norovirus VLP vaccine augment cellular and humoral immune responses in a TLR9- and type I IFN-dependent pathway	GEO	bulk RNA-seq/count matrix with verified metadata and split-design definitions	Mus musculus	draining lymph nodes	24	24	vaccine formulation / LNP or alum/VLP depending split	Locked anchor	Anchor	no	Raw data are public through the listed accession when available; derived metadata and split definitions are documented in the release package.	yes	data_release_templates/derived/supplement_dataset_split_provenance_v7.tsv	Public dataset provenance captured from existing local audit source.
GSE279744	GSE279744	39690742	10.1016/j.ymthe.2024.12.032	Low-inflammatory lipid nanoparticle-based mRNA vaccine elicits protective immunity against H5N1 influenza virus with reduced adverse reactions	GEO	bulk RNA-seq/count matrix with verified metadata and split-design definitions	Mus musculus	lymph node	6	6	mRNA lipid nanoparticle vaccine	Locked anchor	Anchor	no	Raw data are public through the listed accession when available; derived metadata and split definitions are documented in the release package.	yes	data_release_templates/derived/supplement_dataset_split_provenance_v7.tsv	Public dataset provenance captured from existing local audit source.
