dataset_id	gse_id	split_id	source_design_file	source_split_file	sample_ids_delivery	sample_ids_control	n_delivery	n_control	n_total	organism	tissue	cell_type_or_cell_line	in_vivo_or_in_vitro	disease_model	time_h	timepoint_original	treatment_group_raw	control_group_raw	treatment_group_clean	control_group_clean	condition_simple	delivery_platform	vector_or_formulation	cargo_or_transgene	route	dose	PMID	DOI	paper_title	publication_year	source_database	accession	pipeline_role	manuscript_interpretation_group	used_for_primary_claim	delta_mean_imrs_z	auc_imrs_z_secondary	direction_positive	qc_pass	inclusion_rationale	limitation	weak_score_explanation	reviewer_risk	notes	verification_status	scoring_status	expected_imrs_behavior	paper_result_alignment_rule	imrs_result_interpretation	paper_result_alignment	manuscript_context_note	limitations_note	paper_treatment_context	paper_context_source
GSE119119	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver	<local_project_root>/00_metadata/verified_metadata/scoring/GSE119119/GSE119119_design.tsv	<local_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver.tsv	SRR7761121; SRR7761122; SRR7761123; SRR7761124	SRR7761109; SRR7761110; SRR7761111; SRR7761112	4	4	8	Mus musculus	whole liver	NA	in vivo	NA	4	4	WT_virus_plus_rh9C12_H433A_whole_liver	WT_uninfected_whole_liver	WT virus plus rh9C12 H433A whole liver	WT uninfected whole liver	CONTROL; DELIVERY	adenoviral vector / virus-antibody perturbation	adenoviral vector / Ad5 antibody perturbation	NA	NA	NA	30209217	10.1073/pnas.1806314115	TRIM21 mediates antibody inhibition of adenovirus-based gene delivery and vaccination	2018	GEO	GSE119119	validation	Primary acute validation	TRUE	11.160680267451342	1	TRUE	TRUE	External acute validation contrast not used as a strict anchor.	External dataset; interpret with dataset-specific sample size and design constraints. Organism metadata unavailable in inspected design files.	NA	NA	external acute validation, but interpret with genotype/antibody perturbation context	verified_from_local_metadata_and_manual_paper_context	scored_in_current_transfer_eval	strong_expected_acute_innate_signal	Positive IMRS is expected because this is an acute adenoviral-vector perturbation with innate antiviral biology at 4 h. Genotype/antibody perturbation should be mentioned as context.	strong_expected_acute_innate_signal	matches_paper_context	Primary acute validation with perturbation context.	Not a clean formulation-only comparison because TRIM21 genotype and antibody perturbation are involved.	Mouse liver RNA-seq 4 h after Ad5 delivery and Ad5 plus antibody perturbation in WT and TRIM21 KO contexts. Current splits compare virus/antibody perturbation groups against WT uninfected whole liver.	manual_curated_from_paper
GSE119119	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver	<local_project_root>/00_metadata/verified_metadata/scoring/GSE119119/GSE119119_design.tsv	<local_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver.tsv	SRR7761133; SRR7761134; SRR7761135; SRR7761136	SRR7761125; SRR7761126; SRR7761127; SRR7761128	4	4	8	Mus musculus	whole liver	NA	in vivo	NA	4	4	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver	TRIM21_KO_uninfected_whole_liver	TRIM21 KO virus plus rh9C12 WT whole liver	TRIM21 KO uninfected whole liver	CONTROL; DELIVERY	adenoviral vector / virus-antibody perturbation	adenoviral vector / Ad5 antibody perturbation	NA	NA	NA	30209217	10.1073/pnas.1806314115	TRIM21 mediates antibody inhibition of adenovirus-based gene delivery and vaccination	2018	GEO	GSE119119	validation	Primary acute validation	TRUE	10.144728497024795	1	TRUE	TRUE	External acute validation contrast not used as a strict anchor.	External dataset; interpret with dataset-specific sample size and design constraints. Organism metadata unavailable in inspected design files.	NA	NA	external acute validation, but interpret with genotype/antibody perturbation context	verified_from_local_metadata_and_manual_paper_context	scored_in_current_transfer_eval	strong_expected_acute_innate_signal	Positive IMRS is expected because this is an acute adenoviral-vector perturbation with innate antiviral biology at 4 h. Genotype/antibody perturbation should be mentioned as context.	strong_expected_acute_innate_signal	matches_paper_context	Primary acute validation with perturbation context.	Not a clean formulation-only comparison because TRIM21 genotype and antibody perturbation are involved.	Mouse liver RNA-seq 4 h after Ad5 delivery and Ad5 plus antibody perturbation in WT and TRIM21 KO contexts. Current splits compare virus/antibody perturbation groups against WT uninfected whole liver.	manual_curated_from_paper
GSE119119	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver	<local_project_root>/00_metadata/verified_metadata/scoring/GSE119119/GSE119119_design.tsv	<local_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver.tsv	SRR7761137; SRR7761138; SRR7761139; SRR7761140	SRR7761125; SRR7761126; SRR7761127; SRR7761128	4	4	8	Mus musculus	whole liver	NA	in vivo	NA	4	4	TRIM21_KO_virus_plus_rh9C12_H433A_whole_liver	TRIM21_KO_uninfected_whole_liver	TRIM21 KO virus plus rh9C12 H433A whole liver	TRIM21 KO uninfected whole liver	CONTROL; DELIVERY	adenoviral vector / virus-antibody perturbation	adenoviral vector / Ad5 antibody perturbation	NA	NA	NA	30209217	10.1073/pnas.1806314115	TRIM21 mediates antibody inhibition of adenovirus-based gene delivery and vaccination	2018	GEO	GSE119119	validation	Primary acute validation	TRUE	9.804251345714937	1	TRUE	TRUE	External acute validation contrast not used as a strict anchor.	External dataset; interpret with dataset-specific sample size and design constraints. Organism metadata unavailable in inspected design files.	NA	NA	external acute validation, but interpret with genotype/antibody perturbation context	verified_from_local_metadata_and_manual_paper_context	scored_in_current_transfer_eval	strong_expected_acute_innate_signal	Positive IMRS is expected because this is an acute adenoviral-vector perturbation with innate antiviral biology at 4 h. Genotype/antibody perturbation should be mentioned as context.	strong_expected_acute_innate_signal	matches_paper_context	Primary acute validation with perturbation context.	Not a clean formulation-only comparison because TRIM21 genotype and antibody perturbation are involved.	Mouse liver RNA-seq 4 h after Ad5 delivery and Ad5 plus antibody perturbation in WT and TRIM21 KO contexts. Current splits compare virus/antibody perturbation groups against WT uninfected whole liver.	manual_curated_from_paper
GSE119119	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver	<local_project_root>/00_metadata/verified_metadata/scoring/GSE119119/GSE119119_design.tsv	<local_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver.tsv	SRR7761129; SRR7761130; SRR7761131; SRR7761132	SRR7761125; SRR7761126; SRR7761127; SRR7761128	4	4	8	Mus musculus	whole liver	NA	in vivo	NA	4	4	TRIM21_KO_virus_only_whole_liver	TRIM21_KO_uninfected_whole_liver	TRIM21 KO virus only whole liver	TRIM21 KO uninfected whole liver	CONTROL; DELIVERY	adenoviral vector / virus-antibody perturbation	adenoviral vector / Ad5 antibody perturbation	NA	NA	NA	30209217	10.1073/pnas.1806314115	TRIM21 mediates antibody inhibition of adenovirus-based gene delivery and vaccination	2018	GEO	GSE119119	validation	Primary acute validation	TRUE	8.694617784859638	1	TRUE	TRUE	External acute validation contrast not used as a strict anchor.	External dataset; interpret with dataset-specific sample size and design constraints. Organism metadata unavailable in inspected design files.	NA	NA	external acute validation, but interpret with genotype/antibody perturbation context	verified_from_local_metadata_and_manual_paper_context	scored_in_current_transfer_eval	strong_expected_acute_innate_signal	Positive IMRS is expected because this is an acute adenoviral-vector perturbation with innate antiviral biology at 4 h. Genotype/antibody perturbation should be mentioned as context.	strong_expected_acute_innate_signal	matches_paper_context	Primary acute validation with perturbation context.	Not a clean formulation-only comparison because TRIM21 genotype and antibody perturbation are involved.	Mouse liver RNA-seq 4 h after Ad5 delivery and Ad5 plus antibody perturbation in WT and TRIM21 KO contexts. Current splits compare virus/antibody perturbation groups against WT uninfected whole liver.	manual_curated_from_paper
GSE119119	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver	<local_project_root>/00_metadata/verified_metadata/scoring/GSE119119/GSE119119_design.tsv	<local_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver.tsv	SRR7761113; SRR7761114; SRR7761115; SRR7761116	SRR7761109; SRR7761110; SRR7761111; SRR7761112	4	4	8	Mus musculus	whole liver	NA	in vivo	NA	4	4	WT_virus_only_whole_liver	WT_uninfected_whole_liver	WT virus only whole liver	WT uninfected whole liver	CONTROL; DELIVERY	adenoviral vector / virus-antibody perturbation	adenoviral vector / Ad5 antibody perturbation	NA	NA	NA	30209217	10.1073/pnas.1806314115	TRIM21 mediates antibody inhibition of adenovirus-based gene delivery and vaccination	2018	GEO	GSE119119	validation	Primary acute validation	TRUE	9.606681809911851	1	TRUE	TRUE	External acute validation contrast not used as a strict anchor.	External dataset; interpret with dataset-specific sample size and design constraints. Organism metadata unavailable in inspected design files.	NA	NA	external acute validation, but interpret with genotype/antibody perturbation context	verified_from_local_metadata_and_manual_paper_context	scored_in_current_transfer_eval	strong_expected_acute_innate_signal	Positive IMRS is expected because this is an acute adenoviral-vector perturbation with innate antiviral biology at 4 h. Genotype/antibody perturbation should be mentioned as context.	strong_expected_acute_innate_signal	matches_paper_context	Primary acute validation with perturbation context.	Not a clean formulation-only comparison because TRIM21 genotype and antibody perturbation are involved.	Mouse liver RNA-seq 4 h after Ad5 delivery and Ad5 plus antibody perturbation in WT and TRIM21 KO contexts. Current splits compare virus/antibody perturbation groups against WT uninfected whole liver.	manual_curated_from_paper
GSE119119	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver	<local_project_root>/00_metadata/verified_metadata/scoring/GSE119119/GSE119119_design.tsv	<local_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver.tsv	SRR7761117; SRR7761118; SRR7761119; SRR7761120	SRR7761109; SRR7761110; SRR7761111; SRR7761112	4	4	8	Mus musculus	whole liver	NA	in vivo	NA	4	4	WT_virus_plus_rh9C12_WT_whole_liver	WT_uninfected_whole_liver	WT virus plus rh9C12 WT whole liver	WT uninfected whole liver	CONTROL; DELIVERY	adenoviral vector / virus-antibody perturbation	adenoviral vector / Ad5 antibody perturbation	NA	NA	NA	30209217	10.1073/pnas.1806314115	TRIM21 mediates antibody inhibition of adenovirus-based gene delivery and vaccination	2018	GEO	GSE119119	validation	Primary acute validation	TRUE	15.021082164906732	1	TRUE	TRUE	External acute validation contrast not used as a strict anchor.	External dataset; interpret with dataset-specific sample size and design constraints. Organism metadata unavailable in inspected design files.	NA	NA	external acute validation, but interpret with genotype/antibody perturbation context	verified_from_local_metadata_and_manual_paper_context	scored_in_current_transfer_eval	strong_expected_acute_innate_signal	Positive IMRS is expected because this is an acute adenoviral-vector perturbation with innate antiviral biology at 4 h. Genotype/antibody perturbation should be mentioned as context.	strong_expected_acute_innate_signal	matches_paper_context	Primary acute validation with perturbation context.	Not a clean formulation-only comparison because TRIM21 genotype and antibody perturbation are involved.	Mouse liver RNA-seq 4 h after Ad5 delivery and Ad5 plus antibody perturbation in WT and TRIM21 KO contexts. Current splits compare virus/antibody perturbation groups against WT uninfected whole liver.	manual_curated_from_paper
GSE139529	GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad.mva__VS=none	<local_project_root>/00_metadata/verified_metadata/scoring/GSE139529/GSE139529_design.tsv	<local_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad.mva__VS=none.tsv	SRR10358651; SRR10358652; SRR10358653; SRR10358654; SRR10358655; SRR10358656	SRR10358645; SRR10358646; SRR10358647; SRR10358648; SRR10358649; SRR10358650	6	6	12	Mus musculus	blood	NA	in vivo	NA	24	24	ad.mva	none	ad.mva	none	CONTROL; DELIVERY	adenoviral / MVA vaccine vector	adenoviral and modified vaccinia Ankara viral vector vaccines	NA	NA	NA	34717548	10.1186/s12864-021-08061-8	Distinct patterns of whole blood transcriptional responses are induced in mice following immunisation with adenoviral and poxviral vector vaccines encoding the same antigen	2021	GEO	GSE139529	validation	Primary acute validation	TRUE	12.68878133451116	1	TRUE	TRUE	External acute validation contrast not used as a strict anchor.	External dataset; interpret with dataset-specific sample size and design constraints. Organism metadata unavailable in inspected design files.	NA	NA	external acute validation	verified_from_local_metadata_and_manual_paper_context	scored_in_current_transfer_eval	strong_expected_acute_innate_signal	Strong positive IMRS is expected for most vector vaccine groups because the paper studies acute blood transcriptional responses after viral-vector immunisation.	strong_expected_acute_innate_signal	matches_paper_context	Primary acute validation.	Whole blood response includes systemic immune-cell composition and vector-specific antigen effects.	Mouse whole-blood RNA-seq 24 h after immunisation with adenoviral and poxviral vector vaccines encoding the same antigen.	manual_curated_from_paper
GSE139529	GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad_empty__VS=none	<local_project_root>/00_metadata/verified_metadata/scoring/GSE139529/GSE139529_design.tsv	<local_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad_empty__VS=none.tsv	SRR10358657; SRR10358658; SRR10358659; SRR10358660; SRR10358661; SRR10358662	SRR10358645; SRR10358646; SRR10358647; SRR10358648; SRR10358649; SRR10358650	6	6	12	Mus musculus	blood	NA	in vivo	NA	24	24	ad_empty	none	ad empty	none	CONTROL; DELIVERY	adenoviral / MVA vaccine vector	adenoviral and modified vaccinia Ankara viral vector vaccines	NA	NA	NA	34717548	10.1186/s12864-021-08061-8	Distinct patterns of whole blood transcriptional responses are induced in mice following immunisation with adenoviral and poxviral vector vaccines encoding the same antigen	2021	GEO	GSE139529	validation	Primary acute validation	TRUE	13.17891812194547	1	TRUE	TRUE	External acute validation contrast not used as a strict anchor.	External dataset; interpret with dataset-specific sample size and design constraints. Organism metadata unavailable in inspected design files.	NA	NA	external acute validation	verified_from_local_metadata_and_manual_paper_context	scored_in_current_transfer_eval	strong_expected_acute_innate_signal	Strong positive IMRS is expected for most vector vaccine groups because the paper studies acute blood transcriptional responses after viral-vector immunisation.	strong_expected_acute_innate_signal	matches_paper_context	Primary acute validation.	Whole blood response includes systemic immune-cell composition and vector-specific antigen effects.	Mouse whole-blood RNA-seq 24 h after immunisation with adenoviral and poxviral vector vaccines encoding the same antigen.	manual_curated_from_paper
GSE139529	GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad_fhbp__VS=none	<local_project_root>/00_metadata/verified_metadata/scoring/GSE139529/GSE139529_design.tsv	<local_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad_fhbp__VS=none.tsv	SRR10358615; SRR10358616; SRR10358617; SRR10358618; SRR10358619; SRR10358620	SRR10358645; SRR10358646; SRR10358647; SRR10358648; SRR10358649; SRR10358650	6	6	12	Mus musculus	blood	NA	in vivo	NA	24	24	ad_fhbp	none	ad fhbp	none	CONTROL; DELIVERY	adenoviral / MVA vaccine vector	adenoviral and modified vaccinia Ankara viral vector vaccines	NA	NA	NA	34717548	10.1186/s12864-021-08061-8	Distinct patterns of whole blood transcriptional responses are induced in mice following immunisation with adenoviral and poxviral vector vaccines encoding the same antigen	2021	GEO	GSE139529	validation	Primary acute validation	TRUE	14.328300033552733	1	TRUE	TRUE	External acute validation contrast not used as a strict anchor.	External dataset; interpret with dataset-specific sample size and design constraints. Organism metadata unavailable in inspected design files.	NA	NA	external acute validation	verified_from_local_metadata_and_manual_paper_context	scored_in_current_transfer_eval	strong_expected_acute_innate_signal	Strong positive IMRS is expected for most vector vaccine groups because the paper studies acute blood transcriptional responses after viral-vector immunisation.	strong_expected_acute_innate_signal	matches_paper_context	Primary acute validation.	Whole blood response includes systemic immune-cell composition and vector-specific antigen effects.	Mouse whole-blood RNA-seq 24 h after immunisation with adenoviral and poxviral vector vaccines encoding the same antigen.	manual_curated_from_paper
GSE139529	GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad_pref__VS=none	<local_project_root>/00_metadata/verified_metadata/scoring/GSE139529/GSE139529_design.tsv	<local_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad_pref__VS=none.tsv	SRR10358674; SRR10358675; SRR10358676; SRR10358677; SRR10358678; SRR10358679	SRR10358645; SRR10358646; SRR10358647; SRR10358648; SRR10358649; SRR10358650	6	6	12	Mus musculus	blood	NA	in vivo	NA	24	24	ad_pref	none	ad pref	none	CONTROL; DELIVERY	adenoviral / MVA vaccine vector	adenoviral and modified vaccinia Ankara viral vector vaccines	NA	NA	NA	34717548	10.1186/s12864-021-08061-8	Distinct patterns of whole blood transcriptional responses are induced in mice following immunisation with adenoviral and poxviral vector vaccines encoding the same antigen	2021	GEO	GSE139529	validation	Primary acute validation	TRUE	1.670093998272992	0.6944444444444444	TRUE	TRUE	External acute validation contrast not used as a strict anchor.	External dataset; interpret with dataset-specific sample size and design constraints. Organism metadata unavailable in inspected design files.	NA	NA	external acute validation	verified_from_local_metadata_and_manual_paper_context	scored_in_current_transfer_eval	strong_expected_acute_innate_signal	Strong positive IMRS is expected for most vector vaccine groups because the paper studies acute blood transcriptional responses after viral-vector immunisation.	strong_expected_acute_innate_signal	matches_paper_context	Primary acute validation.	Whole blood response includes systemic immune-cell composition and vector-specific antigen effects.	Mouse whole-blood RNA-seq 24 h after immunisation with adenoviral and poxviral vector vaccines encoding the same antigen.	manual_curated_from_paper
