sample_id	condition_simple	is_control	group	tissue	timepoint_hr	time_h	batch	raw_time_label	time_reference_event
SRR10358615	DELIVERY	FALSE	ad_fhbp	blood	24	24	NA	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358616	DELIVERY	FALSE	ad_fhbp	blood	24	24	NA	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358617	DELIVERY	FALSE	ad_fhbp	blood	24	24	NA	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358618	DELIVERY	FALSE	ad_fhbp	blood	24	24	NA	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358619	DELIVERY	FALSE	ad_fhbp	blood	24	24	NA	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358620	DELIVERY	FALSE	ad_fhbp	blood	24	24	NA	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358621	DELIVERY	FALSE	mva_fhbp	blood	24	24	NA	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358622	DELIVERY	FALSE	mva_fhbp	blood	24	24	NA	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358623	DELIVERY	FALSE	mva_fhbp	blood	24	24	NA	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358624	DELIVERY	FALSE	mva_fhbp	blood	24	24	NA	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358625	DELIVERY	FALSE	mva_fhbp	blood	24	24	NA	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358626	DELIVERY	FALSE	mva_fhbp	blood	24	24	NA	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358627	DELIVERY	FALSE	bexsero	blood	24	24	NA	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358628	DELIVERY	FALSE	bexsero	blood	24	24	NA	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358629	DELIVERY	FALSE	bexsero	blood	24	24	NA	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358630	DELIVERY	FALSE	bexsero	blood	24	24	NA	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358631	DELIVERY	FALSE	bexsero	blood	24	24	NA	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358632	DELIVERY	FALSE	bexsero	blood	24	24	NA	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358633	DELIVERY	FALSE	bex.bex	blood	24	24	NA	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358634	DELIVERY	FALSE	bex.bex	blood	24	24	NA	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358635	DELIVERY	FALSE	bex.bex	blood	24	24	NA	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358636	DELIVERY	FALSE	bex.bex	blood	24	24	NA	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
