sample_id	condition_simple	group	tissue	timepoint_hr	batch
SRR7761109	CONTROL	WT_uninfected_whole_liver	whole liver	4	NA
SRR7761110	CONTROL	WT_uninfected_whole_liver	whole liver	4	NA
SRR7761111	CONTROL	WT_uninfected_whole_liver	whole liver	4	NA
SRR7761112	CONTROL	WT_uninfected_whole_liver	whole liver	4	NA
SRR7761113	DELIVERY	WT_virus_only_whole_liver	whole liver	4	NA
SRR7761114	DELIVERY	WT_virus_only_whole_liver	whole liver	4	NA
SRR7761115	DELIVERY	WT_virus_only_whole_liver	whole liver	4	NA
SRR7761116	DELIVERY	WT_virus_only_whole_liver	whole liver	4	NA
SRR7761117	DELIVERY	WT_virus_plus_rh9C12_WT_whole_liver	whole liver	4	NA
SRR7761118	DELIVERY	WT_virus_plus_rh9C12_WT_whole_liver	whole liver	4	NA
SRR7761119	DELIVERY	WT_virus_plus_rh9C12_WT_whole_liver	whole liver	4	NA
SRR7761120	DELIVERY	WT_virus_plus_rh9C12_WT_whole_liver	whole liver	4	NA
SRR7761121	DELIVERY	WT_virus_plus_rh9C12_H433A_whole_liver	whole liver	4	NA
SRR7761122	DELIVERY	WT_virus_plus_rh9C12_H433A_whole_liver	whole liver	4	NA
SRR7761123	DELIVERY	WT_virus_plus_rh9C12_H433A_whole_liver	whole liver	4	NA
SRR7761124	DELIVERY	WT_virus_plus_rh9C12_H433A_whole_liver	whole liver	4	NA
SRR7761125	CONTROL	TRIM21_KO_uninfected_whole_liver	whole liver	4	NA
SRR7761126	CONTROL	TRIM21_KO_uninfected_whole_liver	whole liver	4	NA
SRR7761127	CONTROL	TRIM21_KO_uninfected_whole_liver	whole liver	4	NA
SRR7761128	CONTROL	TRIM21_KO_uninfected_whole_liver	whole liver	4	NA
SRR7761129	DELIVERY	TRIM21_KO_virus_only_whole_liver	whole liver	4	NA
SRR7761130	DELIVERY	TRIM21_KO_virus_only_whole_liver	whole liver	4	NA
SRR7761131	DELIVERY	TRIM21_KO_virus_only_whole_liver	whole liver	4	NA
SRR7761132	DELIVERY	TRIM21_KO_virus_only_whole_liver	whole liver	4	NA
SRR7761133	DELIVERY	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver	whole liver	4	NA
SRR7761134	DELIVERY	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver	whole liver	4	NA
SRR7761135	DELIVERY	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver	whole liver	4	NA
SRR7761136	DELIVERY	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver	whole liver	4	NA
SRR7761137	DELIVERY	TRIM21_KO_virus_plus_rh9C12_H433A_whole_liver	whole liver	4	NA
SRR7761138	DELIVERY	TRIM21_KO_virus_plus_rh9C12_H433A_whole_liver	whole liver	4	NA
SRR7761139	DELIVERY	TRIM21_KO_virus_plus_rh9C12_H433A_whole_liver	whole liver	4	NA
SRR7761140	DELIVERY	TRIM21_KO_virus_plus_rh9C12_H433A_whole_liver	whole liver	4	NA
