sample_id	tissue	timepoint_hr	batch	condition_simple	group	raw_time_label	time_reference_event
SRR10358615	blood	24	NA	DELIVERY	ad_fhbp	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358616	blood	24	NA	DELIVERY	ad_fhbp	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358617	blood	24	NA	DELIVERY	ad_fhbp	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358618	blood	24	NA	DELIVERY	ad_fhbp	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358619	blood	24	NA	DELIVERY	ad_fhbp	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358620	blood	24	NA	DELIVERY	ad_fhbp	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358621	blood	24	NA	DELIVERY	mva_fhbp	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358622	blood	24	NA	DELIVERY	mva_fhbp	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358623	blood	24	NA	DELIVERY	mva_fhbp	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358624	blood	24	NA	DELIVERY	mva_fhbp	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358625	blood	24	NA	DELIVERY	mva_fhbp	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358626	blood	24	NA	DELIVERY	mva_fhbp	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358627	blood	24	NA	DELIVERY	bexsero	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358628	blood	24	NA	DELIVERY	bexsero	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358629	blood	24	NA	DELIVERY	bexsero	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358630	blood	24	NA	DELIVERY	bexsero	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358631	blood	24	NA	DELIVERY	bexsero	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358632	blood	24	NA	DELIVERY	bexsero	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358633	blood	24	NA	DELIVERY	bex.bex	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358634	blood	24	NA	DELIVERY	bex.bex	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358635	blood	24	NA	DELIVERY	bex.bex	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
