sample_id	group	tissue	timepoint_hr	batch
SRR28740116	delivery_ad26	Muscle	24	NA
SRR28740117	delivery_ad26	Muscle	6	NA
SRR28740118	delivery_ad5	dLN	12	NA
SRR28740119	baseline_0	Muscle	0	NA
SRR28740120	baseline_0	Muscle	0	NA
SRR28740121	baseline_0	Muscle	0	NA
SRR28740122	baseline_0	Muscle	0	NA
SRR28740123	baseline_0	Muscle	0	NA
SRR28740124	baseline_0	dLN	0	NA
SRR28740125	baseline_0	dLN	0	NA
SRR28740126	baseline_0	dLN	0	NA
SRR28740127	baseline_0	dLN	0	NA
SRR28740128	baseline_0	dLN	0	NA
SRR28740129	delivery_ad5	dLN	72	NA
SRR28740130	delivery_ad5	dLN	72	NA
SRR28740131	delivery_ad5	Muscle	12	NA
SRR28740132	delivery_ad5	Muscle	24	NA
SRR28740133	delivery_ad5	Muscle	12	NA
SRR28740134	delivery_ad26	Muscle	24	NA
SRR28740135	delivery_ad26	Muscle	12	NA
SRR28740136	delivery_ad26	Muscle	24	NA
SRR28740137	delivery_ad26	Muscle	12	NA
SRR28740138	delivery_ad26	Muscle	24	NA
SRR28740139	delivery_ad26	Muscle	12	NA
SRR28740140	delivery_ad26	Muscle	12	NA
SRR28740141	delivery_ad26	Muscle	24	NA
SRR28740142	delivery_ad26	Muscle	12	NA
SRR28740143	delivery_ad5	dLN	6	NA
SRR28740144	delivery_ad5	dLN	24	NA
SRR28740145	delivery_ad5	dLN	6	NA
SRR28740146	delivery_ad5	dLN	24	NA
SRR28740147	delivery_ad5	dLN	6	NA
SRR28740148	delivery_ad5	dLN	24	NA
SRR28740149	delivery_ad5	dLN	6	NA
SRR28740150	delivery_ad5	dLN	24	NA
SRR28740151	delivery_ad26	Blood	72	NA
SRR28740152	delivery_ad26	Blood	72	NA
SRR28740153	delivery_ad26	Blood	72	NA
SRR28740154	delivery_ad5	Muscle	72	NA
SRR28740155	delivery_ad5	Muscle	72	NA
SRR28740156	delivery_ad5	Muscle	72	NA
SRR28740157	delivery_ad5	Muscle	72	NA
SRR28740158	delivery_ad5	Muscle	72	NA
SRR28740159	delivery_ad26	Muscle	72	NA
SRR28740160	delivery_ad26	Muscle	72	NA
SRR28740161	delivery_ad26	Muscle	72	NA
SRR28740162	delivery_ad26	Muscle	72	NA
SRR28740163	delivery_ad26	Muscle	72	NA
SRR28740164	delivery_ad5	Muscle	24	NA
SRR28740165	delivery_ad5	Muscle	12	NA
SRR28740166	delivery_ad5	Muscle	24	NA
SRR28740167	delivery_ad5	Muscle	12	NA
SRR28740168	delivery_ad5	Muscle	24	NA
SRR28740169	delivery_ad5	Muscle	12	NA
SRR28740170	delivery_ad5	Muscle	24	NA
SRR28740171	delivery_ad26	Blood	24	NA
SRR28740172	delivery_ad26	Blood	24	NA
SRR28740173	delivery_ad5	dLN	12	NA
SRR28740174	delivery_ad5	dLN	12	NA
SRR28740175	delivery_ad5	dLN	12	NA
SRR28740176	delivery_ad5	dLN	12	NA
SRR28740177	delivery_ad26	dLN	12	NA
SRR28740178	delivery_ad26	dLN	12	NA
SRR28740179	delivery_ad26	dLN	12	NA
SRR28740180	delivery_ad26	dLN	12	NA
SRR28740181	delivery_ad26	dLN	12	NA
SRR28740182	delivery_ad5	Blood	12	NA
