gse_id	split_id	split_path	manuscript_role	manuscript_interpretation_group	manuscript_interpretation_label	contrast_label	control_label	tissue	time_h	score_id	score_label	delta_score	cohens_d	auc_secondary	n_controls	n_delivery	pass
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_1000_g_lnps_injected__vs__baseline_0	baseline_0	draining lymph nodes	24	IMRS	IMRS	28.281184954437517	28.38351897621088	1	4	4	TRUE
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_250_g_alum_injected__vs__baseline_0	baseline_0	draining lymph nodes	24	IMRS	IMRS	-0.521111432394882	-0.6672987860119328	0.3125	4	4	TRUE
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_5_g_gi_1_gii_4_vlp__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_5_g_gi_1_gii_4_vlp__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_5_g_gi_1_gii_4_vlp__vs__baseline_0	baseline_0	draining lymph nodes	24	IMRS	IMRS	2.562748652650221	3.061271087450826	1	4	4	TRUE
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110503__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110503__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_250_g_alum_5_g_gi_1_gii_4_vlp_injected__vs__baseline_0	baseline_0	draining lymph nodes	24	IMRS	IMRS	0.4684414966881426	0.4052406453983291	0.6875	4	4	TRUE
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110754__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110754__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_125_g_lnps_5_g_gi_1_gii_4_vlp_injected__vs__baseline_0	baseline_0	draining lymph nodes	24	IMRS	IMRS	22.534933511125143	14.238733212391644	1	4	4	TRUE
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00114748__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00114748__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_1000_g_lnps_5_g_gi_1_gii_4_vlp_injected__vs__baseline_0	baseline_0	draining lymph nodes	24	IMRS	IMRS	28.73023370273408	25.815223005313523	1	4	4	TRUE
GSE39129	GSE39129_design__T=liver__H=4__B=NA__G=delivery_lentiviral_vector_lv__VS=delivery_none	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE39129_design/GSE39129_design__T=liver__H=4__B=NA__G=delivery_lentiviral_vector_lv__VS=delivery_none.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_lentiviral_vector_lv___vs__delivery_none	delivery_none	liver	4	IMRS	IMRS	34.722530908038976	14.368417722132754	1	3	3	TRUE
GSE167521	GSE167521_design__T=skin__H=24__B=NA__G=delivery_lnp__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE167521_design/GSE167521_design__T=skin__H=24__B=NA__G=delivery_lnp__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_lnp__vs__baseline_0	baseline_0	skin	24	IMRS	IMRS	8.690306696957737	10.863198012117504	1	4	4	TRUE
GSE264344	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_ad26__vs__baseline_0	baseline_0	Blood	1	IMRS	IMRS	0.0779068941903649	0.6517558908028463	0.68	5	5	TRUE
GSE264344	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_ad5__vs__baseline_0	baseline_0	Blood	1	IMRS	IMRS	0.22131834935303651	1.680029203649002	0.88	5	5	TRUE
