gse_id	split_id	signature_id	signature_label	baseline_delta_score	baseline_auc_secondary	imrs_delta_score	imrs_auc_secondary
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0	ISG	Interferon-stimulated genes	24.029826838023588	1	28.281184954437517	1
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	7.208868288989276	1	28.281184954437517	1
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	23.854366831749807	1	28.281184954437517	1
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0	ISG	Interferon-stimulated genes	-1.1175226361946933	0.1875	-0.521111432394882	0.3125
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	-0.6691069174407047	0.25	-0.521111432394882	0.3125
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	0.5693140135416469	0.6875	-0.521111432394882	0.3125
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_5_g_gi_1_gii_4_vlp__VS=baseline_0	ISG	Interferon-stimulated genes	2.8903279925309353	1	2.562748652650221	1
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_5_g_gi_1_gii_4_vlp__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	-0.07408961226487339	0.375	2.562748652650221	1
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_5_g_gi_1_gii_4_vlp__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	3.6693545186707732	1	2.562748652650221	1
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110503__VS=baseline_0	ISG	Interferon-stimulated genes	0.2582689416089718	0.5625	0.4684414966881426	0.6875
