dataset_id	sample_id	condition_simple	signature_id	signature_label	signature_raw	signature_z	n_requested_genes	n_matched_genes	coverage_fraction
GSE119119	SRR7761109	CONTROL	ISG	Interferon-stimulated genes	0.01423363764448022	0.020649572683481388	20	19	0.95
GSE119119	SRR7761110	CONTROL	ISG	Interferon-stimulated genes	0.5900895907307588	0.8560775676543834	20	19	0.95
GSE119119	SRR7761111	CONTROL	ISG	Interferon-stimulated genes	-0.6465696286049054	-0.9380164701597624	20	19	0.95
GSE119119	SRR7761112	CONTROL	ISG	Interferon-stimulated genes	-0.7545407689464084	-1.0946565340625298	20	19	0.95
GSE119119	SRR7761113	DELIVERY	ISG	Interferon-stimulated genes	6.212737966179915	9.013183235404778	20	19	0.95
GSE119119	SRR7761114	DELIVERY	ISG	Interferon-stimulated genes	6.463592871977966	9.377113155476438	20	19	0.95
GSE119119	SRR7761115	DELIVERY	ISG	Interferon-stimulated genes	5.098106440463927	7.396121927503794	20	19	0.95
GSE119119	SRR7761116	DELIVERY	ISG	Interferon-stimulated genes	5.2016173404090065	7.546291259148776	20	19	0.95
GSE119119	SRR7761117	DELIVERY	ISG	Interferon-stimulated genes	8.963399678996357	13.003729460142976	20	19	0.95
GSE119119	SRR7761118	DELIVERY	ISG	Interferon-stimulated genes	8.980768326901423	13.02892717602473	20	19	0.95
GSE119119	SRR7761119	DELIVERY	ISG	Interferon-stimulated genes	7.989926653522083	11.591455065007253	20	19	0.95
GSE119119	SRR7761120	DELIVERY	ISG	Interferon-stimulated genes	8.648989239195055	12.547595800477977	20	19	0.95
GSE119119	SRR7761121	DELIVERY	ISG	Interferon-stimulated genes	6.550454230699932	9.503128021466143	20	19	0.95
GSE119119	SRR7761122	DELIVERY	ISG	Interferon-stimulated genes	7.121758943261487	10.331953264957578	20	19	0.95
GSE119119	SRR7761123	DELIVERY	ISG	Interferon-stimulated genes	5.89961917164349	8.558923441257821	20	19	0.95
GSE119119	SRR7761124	DELIVERY	ISG	Interferon-stimulated genes	6.26218972876832	9.084925806868336	20	19	0.95
GSE119119	SRR7761125	CONTROL	ISG	Interferon-stimulated genes	1.0204595726997847	1.4804405341307887	20	19	0.95
GSE119119	SRR7761126	CONTROL	ISG	Interferon-stimulated genes	0.6645009697937472	0.96403051818036	20	19	0.95
GSE119119	SRR7761127	CONTROL	ISG	Interferon-stimulated genes	-0.20663028518419232	-0.2997706699505659	20	19	0.95
GSE119119	SRR7761128	CONTROL	ISG	Interferon-stimulated genes	-0.6815430881332657	-0.9887545184761553	20	19	0.95
GSE119119	SRR7761129	DELIVERY	ISG	Interferon-stimulated genes	6.536299731057317	9.482593258922021	20	19	0.95
GSE119119	SRR7761130	DELIVERY	ISG	Interferon-stimulated genes	6.216138619672684	9.018116762815284	20	19	0.95
GSE119119	SRR7761131	DELIVERY	ISG	Interferon-stimulated genes	4.265752612315348	6.188577426088632	20	19	0.95
GSE119119	SRR7761132	DELIVERY	ISG	Interferon-stimulated genes	5.60498873465998	8.131485791430043	20	19	0.95
GSE119119	SRR7761133	DELIVERY	ISG	Interferon-stimulated genes	6.830229993954892	9.90901512515043	20	19	0.95
GSE119119	SRR7761134	DELIVERY	ISG	Interferon-stimulated genes	6.655360307409843	9.655321417846459	20	19	0.95
GSE119119	SRR7761135	DELIVERY	ISG	Interferon-stimulated genes	6.196121734911021	8.989077094453126	20	19	0.95
GSE119119	SRR7761136	DELIVERY	ISG	Interferon-stimulated genes	5.359123771170368	7.774795073237631	20	19	0.95
GSE119119	SRR7761137	DELIVERY	ISG	Interferon-stimulated genes	7.123660452939869	10.334711896538122	20	19	0.95
GSE119119	SRR7761138	DELIVERY	ISG	Interferon-stimulated genes	6.0497472740771085	8.776723081832369	20	19	0.95
GSE119119	SRR7761139	DELIVERY	ISG	Interferon-stimulated genes	7.1769892396436745	10.412079094205202	20	19	0.95
GSE119119	SRR7761140	DELIVERY	ISG	Interferon-stimulated genes	6.486212984172542	9.40992947850905	20	19	0.95
GSE119119	SRR7761109	CONTROL	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	-0.1639484120969398	-0.4241625995681261	16	16	1
GSE119119	SRR7761110	CONTROL	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	0.08629376732345902	0.22325674403484222	16	16	1
GSE119119	SRR7761111	CONTROL	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	-0.4372620544470084	-1.1312717661277332	16	16	1
GSE119119	SRR7761112	CONTROL	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	-0.5100427063477985	-1.319567767983784	16	16	1
GSE119119	SRR7761113	DELIVERY	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	2.4951934770963256	6.455492542646977	16	16	1
GSE119119	SRR7761114	DELIVERY	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	2.7262023217781617	7.053151957765556	16	16	1
GSE119119	SRR7761115	DELIVERY	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	1.790231327437473	4.631634817086154	16	16	1
GSE119119	SRR7761116	DELIVERY	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	2.4346574153887164	6.298875391110714	16	16	1
GSE119119	SRR7761117	DELIVERY	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	6.329710786110201	16.376045044970716	16	16	1
GSE119119	SRR7761118	DELIVERY	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	6.3079607552815915	16.319773993004105	16	16	1
GSE119119	SRR7761119	DELIVERY	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	4.536409653706634	11.736468117083172	16	16	1
GSE119119	SRR7761120	DELIVERY	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	5.5967334829874815	14.479707322997927	16	16	1
GSE119119	SRR7761121	DELIVERY	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	4.0887071915884015	10.57818522958051	16	16	1
GSE119119	SRR7761122	DELIVERY	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	4.158951004813555	10.759917995638299	16	16	1
GSE119119	SRR7761123	DELIVERY	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	3.7439797976052063	9.686316466083126	16	16	1
GSE119119	SRR7761124	DELIVERY	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	3.1571307324056925	8.168037503417914	16	16	1
GSE119119	SRR7761125	CONTROL	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	0.6768008286713059	1.7509995687505728	16	16	1
GSE119119	SRR7761126	CONTROL	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	0.14387425938260257	0.37222733108619455	16	16	1
GSE119119	SRR7761127	CONTROL	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	0.27607495527411957	0.7142531556541396	16	16	1
GSE119119	SRR7761128	CONTROL	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	-0.0717906377597395	-0.18573466584610604	16	16	1
