holdout_anchor	training_anchors	dataset_id	gse_id	split_id	split_path	pass	fail_reason	contrast_label	control_label	tissue	time_h	delivery_group	n_split_samples	n_scored_samples	n_control	n_controls	n_delivery	mean_coverage	mean_control_imrs_z	mean_delivery_imrs_z	control_mean_imrs_z	delivery_mean_imrs_z	delta_mean_imrs_z	control_median_imrs_z	delivery_median_imrs_z	delta_median_imrs_z	control_sd_imrs_z	delivery_sd_imrs_z	auc_imrs_z	positive_delta	n_model_genes	n_overlap_genes	coverage	notes
GSE39129	GSE167521;GSE264344;GSE279372;GSE279744	GSE39129	GSE39129	GSE39129_design__T=liver__H=4__B=NA__G=delivery_lentiviral_vector_lv__VS=delivery_none	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE39129_design/GSE39129_design__T=liver__H=4__B=NA__G=delivery_lentiviral_vector_lv__VS=delivery_none.tsv	TRUE	NA	delivery_lentiviral_vector_lv___vs__delivery_none	delivery_none	liver	4	delivery_lentiviral_vector_lv___vs__delivery_none	6	6	3	3	3	1	-4.625929269271486e-17	50.16108633119239	-4.625929269271486e-17	50.16108633119239	50.16108633119239	-0.08101313009192804	52.14877177723013	52.229784907322056	0.9999999999999999	5.466931928060593	1	TRUE	423	423	1	ok
GSE167521	GSE39129;GSE264344;GSE279372;GSE279744	GSE167521	GSE167521	GSE167521_design__T=skin__H=24__B=NA__G=delivery_lnp__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE167521_design/GSE167521_design__T=skin__H=24__B=NA__G=delivery_lnp__VS=baseline_0.tsv	TRUE	NA	delivery_lnp__vs__baseline_0	baseline_0	skin	24	delivery_lnp__vs__baseline_0	8	8	4	4	4	1	-2.7755575615628914e-17	9.167746539344096	-2.7755575615628914e-17	9.167746539344096	9.167746539344096	-0.022731970303544402	8.868118612662467	8.890850582966012	0.9999999999999999	0.6470421044759871	1	TRUE	337	337	1	ok
GSE264344	GSE39129;GSE167521;GSE279372;GSE279744	GSE264344	GSE264344	GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	TRUE	NA	delivery_ad26__vs__baseline_0	baseline_0	Blood	12	delivery_ad26__vs__baseline_0	10	10	5	5	5	1	0.6432678249286818	4.93201540989344	0.6432678249286818	4.93201540989344	4.288747584964758	0.5956516258019937	4.878276158460195	4.282624532658201	0.12729768365769792	0.23480037816809546	1	TRUE	395	395	1	ok
GSE264344	GSE39129;GSE167521;GSE279372;GSE279744	GSE264344	GSE264344	GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	TRUE	NA	delivery_ad5__vs__baseline_0	baseline_0	Blood	12	delivery_ad5__vs__baseline_0	10	10	5	5	5	1	0.6432678249286818	3.2402232706192104	0.6432678249286818	3.2402232706192104	2.5969554456905284	0.5956516258019937	3.301166099559863	2.7055144737578694	0.12729768365769792	0.24815424528400523	1	TRUE	395	395	1	ok
GSE264344	GSE39129;GSE167521;GSE279372;GSE279744	GSE264344	GSE264344	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	TRUE	NA	delivery_ad26__vs__baseline_0	baseline_0	Blood	1	delivery_ad26__vs__baseline_0	10	10	5	5	5	1	0.6432678249286818	0.6634313554014177	0.6432678249286818	0.6634313554014177	0.02016353047273589	0.5956516258019937	0.6553610347684877	0.059709408966494015	0.12729768365769792	0.10222076772945685	0.56	TRUE	395	395	1	ok
GSE264344	GSE39129;GSE167521;GSE279372;GSE279744	GSE264344	GSE264344	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	TRUE	NA	delivery_ad5__vs__baseline_0	baseline_0	Blood	1	delivery_ad5__vs__baseline_0	10	10	5	5	5	1	0.6432678249286818	0.8185919194777813	0.6432678249286818	0.8185919194777813	0.17532409454909947	0.5956516258019937	0.8146776239969548	0.21902599819496105	0.12729768365769792	0.12307628914721064	0.8400000000000001	TRUE	395	395	1	ok
GSE264344	GSE39129;GSE167521;GSE279372;GSE279744	GSE264344	GSE264344	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	TRUE	NA	delivery_ad26__vs__baseline_0	baseline_0	Blood	24	delivery_ad26__vs__baseline_0	10	10	5	5	5	1	0.6432678249286818	3.2012035024040006	0.6432678249286818	3.2012035024040006	2.557935677475319	0.5956516258019937	3.281698455984309	2.686046830182315	0.12729768365769792	0.14914176058784773	1	TRUE	395	395	1	ok
GSE264344	GSE39129;GSE167521;GSE279372;GSE279744	GSE264344	GSE264344	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	TRUE	NA	delivery_ad5__vs__baseline_0	baseline_0	Blood	24	delivery_ad5__vs__baseline_0	10	10	5	5	5	1	0.6432678249286818	2.004186882828595	0.6432678249286818	2.004186882828595	1.360919057899913	0.5956516258019937	2.0672180478509508	1.471566422048957	0.12729768365769792	0.1593095665897674	1	TRUE	395	395	1	ok
GSE264344	GSE39129;GSE167521;GSE279372;GSE279744	GSE264344	GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	TRUE	NA	delivery_ad26__vs__baseline_0	baseline_0	Blood	3	delivery_ad26__vs__baseline_0	10	10	5	5	5	1	0.6432678249286818	4.138757834260661	0.6432678249286818	4.138757834260661	3.495490009331979	0.5956516258019937	4.152028042818697	3.556376417016703	0.12729768365769792	0.5090507555945324	1	TRUE	395	395	1	ok
GSE264344	GSE39129;GSE167521;GSE279372;GSE279744	GSE264344	GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	TRUE	NA	delivery_ad5__vs__baseline_0	baseline_0	Blood	3	delivery_ad5__vs__baseline_0	10	10	5	5	5	1	0.6432678249286818	1.4945877995065897	0.6432678249286818	1.4945877995065897	0.8513199745779079	0.5956516258019937	1.5065782042496434	0.9109265784476497	0.12729768365769792	0.403276394504695	1	TRUE	395	395	1	ok
