gse_id	split_id	split_path	audit_role	time_group	tissue	time_h	n_samples	n_controls	n_delivery	mean_max_contribution_fraction	median_max_contribution_fraction	max_max_contribution_fraction	control_median_max_contribution_fraction	delivery_median_max_contribution_fraction	dominant_gene_id_mode	dominant_gene_symbol_mode	n_unique_top_contributors	pass	fail_reason
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	8	4	4	0.06334485642258465	0.059817175277035714	0.11427676686709164	0.021856334220386738	0.1052534845935782	ENSMUSG00000138573	Gm72936	5	TRUE	NA
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	8	4	4	0.05990247085383081	0.05215062266316776	0.11358253441210937	0.019105233825379004	0.10343394150497572	ENSMUSG00000138573	Gm72936	6	TRUE	NA
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	8	4	4	0.05557747347968338	0.04975806160055304	0.11454068726729343	0.019105233825379004	0.08804743664340867	ENSMUSG00000138573	Gm72936	7	TRUE	NA
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	8	4	4	0.06446618816338781	0.0606329790913336	0.13985768562268241	0.019105233825379004	0.10006887870975134	ENSMUSG00000138573	Gm72936	6	TRUE	NA
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	8	4	4	0.060117291365738755	0.05776394725733698	0.10855495969170151	0.021856334220386738	0.09725735597358842	ENSMUSG00000138573	Gm72936	5	TRUE	NA
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	8	4	4	0.0544474267871087	0.05513316784776451	0.09358634872356429	0.021856334220386738	0.08469298255270927	ENSMUSG00000138573	Gm72936	5	TRUE	NA
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad.mva__VS=none	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad.mva__VS=none.tsv	external	acute_main	blood	24	12	6	6	0.024023244654961407	0.025871862623417258	0.03255919615320122	0.016244256491516392	0.028904617018989658	ENSMUSG00000020638	Cmpk2	8	TRUE	NA
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad_empty__VS=none	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad_empty__VS=none.tsv	external	acute_main	blood	24	12	6	6	0.029543050088877344	0.03238045248478811	0.044397943827038516	0.016244256491516392	0.03919188653255039	ENSMUSG00000034459	Ifit1	6	TRUE	NA
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad_fhbp__VS=none	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad_fhbp__VS=none.tsv	external	acute_main	blood	24	12	6	6	0.029383155155031378	0.03223499970480426	0.04218811038504269	0.016244256491516392	0.039306123303993024	ENSMUSG00000034459	Ifit1	6	TRUE	NA
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad_pref__VS=none	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad_pref__VS=none.tsv	external	acute_main	blood	24	12	6	6	0.022893354203591842	0.022104442702593048	0.039343867308594266	0.016244256491516392	0.023496794554784185	ENSMUSG00000022126	Acod1	10	TRUE	NA
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=mva.ad__VS=none	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=mva.ad__VS=none.tsv	external	acute_main	blood	24	12	6	6	0.027876057381268474	0.029226275014919395	0.045080438790215255	0.016244256491516392	0.035983005571127526	ENSMUSG00000034459	Ifit1	6	TRUE	NA
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=mva_fhbp__VS=none	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=mva_fhbp__VS=none.tsv	external	acute_main	blood	24	12	6	6	0.025256058878215654	0.02704652563778849	0.03476849525886188	0.016244256491516392	0.032117632360875815	ENSMUSG00000034459	Ifit1	7	TRUE	NA
GSE166655	GSE166655_design__T=Tibialis_anterior__H=672__B=NA__G=delivery_aav9_ar45__VS=delivery_untreated	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE166655_design/GSE166655_design__T=Tibialis_anterior__H=672__B=NA__G=delivery_aav9_ar45__VS=delivery_untreated.tsv	external	extended_transfer	Tibialis anterior	672	6	3	3	0.04379084116705112	0.04182146176003462	0.08163467669648725	0.015733931510203913	0.06929641243294049	ENSMUSG00000052485	Tmem171	5	TRUE	NA
GSE166655	GSE166655_design__T=Tibialis_anterior__H=672__B=NA__G=delivery_aav9_gfp__VS=delivery_untreated	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE166655_design/GSE166655_design__T=Tibialis_anterior__H=672__B=NA__G=delivery_aav9_gfp__VS=delivery_untreated.tsv	external	extended_transfer	Tibialis anterior	672	6	3	3	0.048696767923366496	0.04170982912884564	0.11133087208028394	0.015733931510203913	0.06925904284941405	ENSMUSG00000086866	4930512H18Rik	5	TRUE	NA
GSE167521	GSE167521_design__T=skin__H=24__B=NA__G=delivery_lnp__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE167521_design/GSE167521_design__T=skin__H=24__B=NA__G=delivery_lnp__VS=baseline_0.tsv	anchor	acute_main	skin	24	8	4	4	0.0338219997586693	0.03226503571178528	0.05813801197926578	0.01921634657626929	0.048768137039439156	ENSMUSG00000138573	Gm72936	4	TRUE	NA
GSE178313	GSE178313_design__T=Liver__H=48__B=NA__G=mouse_repopulated_lnp__VS=mouse_repopulated_pbs	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE178313_design/GSE178313_design__T=Liver__H=48__B=NA__G=mouse_repopulated_lnp__VS=mouse_repopulated_pbs.tsv	external	extended_transfer	Liver	48	8	4	4	0.08731219762677515	0.042595890173117434	0.19707900586614222	0.021748837568016856	0.17623999026178577	ENSMUSG00000022126	Acod1	5	TRUE	NA
GSE262515_cell_line	GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE262515_cell_line_design/GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0.tsv	calibration	extended_transfer	cell line	72	6	3	3	0.07629475285756081	0.06453802623643176	0.13075740035158093	0.045806462153274656	0.1099539524551551	ENSMUSG00000040026	Saa3	5	TRUE	NA
GSE262515_cell_line	GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE262515_cell_line_design/GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0.tsv	calibration	extended_transfer	cell line	72	6	3	3	0.08949273343532568	0.06276686748353574	0.21011714069932308	0.045806462153274656	0.11332441307979425	ENSMUSG00000040026	Saa3	5	TRUE	NA
GSE262515_tissue	GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE262515_tissue_design/GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0.tsv	calibration	extended_transfer	tissue	72	6	3	3	0.033401138659913274	0.02859872720327547	0.0667522687226627	0.016642106581305525	0.04440349751219612	ENSMUSG00000022126	Acod1	6	TRUE	NA
GSE262515_tissue	GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE262515_tissue_design/GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0.tsv	calibration	extended_transfer	tissue	72	6	3	3	0.03884261529153673	0.031906275311792374	0.07094633838948121	0.016642106581305525	0.06624319141808455	ENSMUSG00000022126	Acod1	6	TRUE	NA
GSE262515_tissue	GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE262515_tissue_design/GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0.tsv	calibration	extended_transfer	tissue	72	6	3	3	0.03491173358977964	0.031495729970552486	0.05882711315794057	0.016642106581305525	0.05559821712156245	ENSMUSG00000138573	Gm72936	5	TRUE	NA
GSE264344	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	acute_main	Blood	1	10	5	5	0.021471960600591693	0.01979138151132562	0.031443314235265564	0.02601837006234292	0.019371807824283657	ENSMUSG00000022126	Acod1	5	TRUE	NA
GSE264344	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	acute_main	Blood	1	10	5	5	0.028771378153203468	0.02628078098400219	0.05096967929046388	0.02601837006234292	0.045040249454654686	ENSMUSG00000022126	Acod1	4	TRUE	NA
GSE264344	GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	acute_main	Blood	12	10	5	5	0.02506469018027574	0.026946355152020124	0.0314190362338813	0.02601837006234292	0.029178948062102885	ENSMUSG00000022126	Acod1	4	TRUE	NA
