dataset_id	gse_id_clean	split_id	original_dataset_type	anchor_calibration_external_original	locked_anchor_dataset	selected_production_discovery_dataset	row_is_anchor_phase	production_anchor_row	production_discovery_row	strict_platform_anchor_row	additional_acute_discovery_support_row	final_display_group_v2	final_display_group_reason	manuscript_role	manuscript_claim_group	role_display	manuscript_group	manuscript_interpretation_group	organism_original	organism_clean	tissue	time_h	delivery_platform_original	delivery_platform_clean	control_definition	n_controls	n_delivery	PMID_clean	paper_title_clean	DOI_clean	general_biology	role_note	delta_mean_imrs_z	auc_imrs_z	inclusion_rationale	limitation	split_path	gse_id	acute_late_group	pass	fail_reason
GSE167521	GSE167521	GSE167521_design__T=skin__H=24__B=NA__G=delivery_lnp__VS=baseline_0	anchor	anchor	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	Locked anchor	production locked anchor dataset and anchor-phase row	anchor	anchor_discovery	Locked anchor	Locked anchor	anchor	NA	Mus musculus	skin	24	delivery_lnp	lipid nanoparticle	baseline_0	4	4	NA	NA	NA	acute local LNP delivery	locked anchor; mouse skin; 24 h	8.690306696957737	1	Strict anchor used for portability checks and frozen-score validation.	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE167521_design/GSE167521_design__T=skin__H=24__B=NA__G=delivery_lnp__VS=baseline_0.tsv	GSE167521	acute_main	TRUE	NA
GSE264344	GSE264344	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0	anchor	anchor	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	Locked anchor	production locked anchor dataset and anchor-phase row	anchor	anchor_discovery	Locked anchor	Locked anchor	anchor	NA	Mus musculus	Blood	1	delivery_ad26	adenoviral vector	baseline_0	5	5	40162786	Early spatiotemporal evolution of the immune response elicited by adenovirus serotype 26 vector vaccination in mice	10.1128/jvi.00247-25	adenoviral vector vaccination time-course across blood, muscle, and draining lymph node	time_h <= 24: locked anchor discovery evidence	0.0779068941903649	0.68	Strict anchor used for portability checks and frozen-score validation.	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344	acute_main	TRUE	NA
GSE264344	GSE264344	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0	anchor	anchor	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	Locked anchor	production locked anchor dataset and anchor-phase row	anchor	anchor_discovery	Locked anchor	Locked anchor	anchor	NA	Mus musculus	Blood	1	delivery_ad5	adenoviral vector	baseline_0	5	5	40162786	Early spatiotemporal evolution of the immune response elicited by adenovirus serotype 26 vector vaccination in mice	10.1128/jvi.00247-25	adenoviral vector vaccination time-course across blood, muscle, and draining lymph node	time_h <= 24: locked anchor discovery evidence	0.22131834935303651	0.88	Strict anchor used for portability checks and frozen-score validation.	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344	acute_main	TRUE	NA
GSE264344	GSE264344	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0	anchor	anchor	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	Locked anchor	production locked anchor dataset and anchor-phase row	anchor	anchor_discovery	Locked anchor	Locked anchor	anchor	NA	Mus musculus	Muscle	1	delivery_ad26	adenoviral vector	baseline_0	5	5	40162786	Early spatiotemporal evolution of the immune response elicited by adenovirus serotype 26 vector vaccination in mice	10.1128/jvi.00247-25	adenoviral vector vaccination time-course across blood, muscle, and draining lymph node	time_h <= 24: locked anchor discovery evidence	0.5752137463208833	1	Strict anchor used for portability checks and frozen-score validation.	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344	acute_main	TRUE	NA
GSE264344	GSE264344	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0	anchor	anchor	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	Locked anchor	production locked anchor dataset and anchor-phase row	anchor	anchor_discovery	Locked anchor	Locked anchor	anchor	NA	Mus musculus	Muscle	1	delivery_ad5	adenoviral vector	baseline_0	5	5	40162786	Early spatiotemporal evolution of the immune response elicited by adenovirus serotype 26 vector vaccination in mice	10.1128/jvi.00247-25	adenoviral vector vaccination time-course across blood, muscle, and draining lymph node	time_h <= 24: locked anchor discovery evidence	0.5210164970803043	0.96	Strict anchor used for portability checks and frozen-score validation.	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344	acute_main	TRUE	NA
GSE264344	GSE264344	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0	anchor	anchor	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	Locked anchor	production locked anchor dataset and anchor-phase row	anchor	anchor_discovery	Locked anchor	Locked anchor	anchor	NA	Mus musculus	dLN	1	delivery_ad26	adenoviral vector	baseline_0	5	5	40162786	Early spatiotemporal evolution of the immune response elicited by adenovirus serotype 26 vector vaccination in mice	10.1128/jvi.00247-25	adenoviral vector vaccination time-course across blood, muscle, and draining lymph node	time_h <= 24: locked anchor discovery evidence	0.3695107717465071	0.8400000000000001	Strict anchor used for portability checks and frozen-score validation.	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344	acute_main	TRUE	NA
GSE264344	GSE264344	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0	anchor	anchor	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	Locked anchor	production locked anchor dataset and anchor-phase row	anchor	anchor_discovery	Locked anchor	Locked anchor	anchor	NA	Mus musculus	dLN	1	delivery_ad5	adenoviral vector	baseline_0	5	5	40162786	Early spatiotemporal evolution of the immune response elicited by adenovirus serotype 26 vector vaccination in mice	10.1128/jvi.00247-25	adenoviral vector vaccination time-course across blood, muscle, and draining lymph node	time_h <= 24: locked anchor discovery evidence	0.3592382013315616	0.8	Strict anchor used for portability checks and frozen-score validation.	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344	acute_main	TRUE	NA
GSE264344	GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0	anchor	anchor	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	Locked anchor	production locked anchor dataset and anchor-phase row	anchor	anchor_discovery	Locked anchor	Locked anchor	anchor	NA	Mus musculus	Blood	3	delivery_ad26	adenoviral vector	baseline_0	5	5	40162786	Early spatiotemporal evolution of the immune response elicited by adenovirus serotype 26 vector vaccination in mice	10.1128/jvi.00247-25	adenoviral vector vaccination time-course across blood, muscle, and draining lymph node	time_h <= 24: locked anchor discovery evidence	3.6646891330381473	1	Strict anchor used for portability checks and frozen-score validation.	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344	acute_main	TRUE	NA
GSE264344	GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0	anchor	anchor	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	Locked anchor	production locked anchor dataset and anchor-phase row	anchor	anchor_discovery	Locked anchor	Locked anchor	anchor	NA	Mus musculus	Blood	3	delivery_ad5	adenoviral vector	baseline_0	5	5	40162786	Early spatiotemporal evolution of the immune response elicited by adenovirus serotype 26 vector vaccination in mice	10.1128/jvi.00247-25	adenoviral vector vaccination time-course across blood, muscle, and draining lymph node	time_h <= 24: locked anchor discovery evidence	0.9366653756632484	1	Strict anchor used for portability checks and frozen-score validation.	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344	acute_main	TRUE	NA
GSE264344	GSE264344	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0	anchor	anchor	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	Locked anchor	production locked anchor dataset and anchor-phase row	anchor	anchor_discovery	Locked anchor	Locked anchor	anchor	NA	Mus musculus	Muscle	3	delivery_ad26	adenoviral vector	baseline_0	5	5	40162786	Early spatiotemporal evolution of the immune response elicited by adenovirus serotype 26 vector vaccination in mice	10.1128/jvi.00247-25	adenoviral vector vaccination time-course across blood, muscle, and draining lymph node	time_h <= 24: locked anchor discovery evidence	3.166868738099831	1	Strict anchor used for portability checks and frozen-score validation.	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344	acute_main	TRUE	NA
