gse_id	dataset_type	dataset_id	split_id	contrast_label	control_label	tissue	time_h	sample_id	condition_simple	imrs_raw	imrs_z	coverage
GSE279372	anchor	SRR30976313	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0	delivery_1000_g_lnps_injected__vs__baseline_0	baseline_0	draining lymph nodes	24	SRR30976313	CONTROL	117.99275941233176	0.6751601065799212	1
GSE279372	anchor	SRR30976314	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0	delivery_1000_g_lnps_injected__vs__baseline_0	baseline_0	draining lymph nodes	24	SRR30976314	CONTROL	-59.17040860040416	-0.338575854789706	1
GSE279372	anchor	SRR30976315	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0	delivery_1000_g_lnps_injected__vs__baseline_0	baseline_0	draining lymph nodes	24	SRR30976315	CONTROL	-219.76935488343756	-1.2575305620879873	1
GSE279372	anchor	SRR30976316	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0	delivery_1000_g_lnps_injected__vs__baseline_0	baseline_0	draining lymph nodes	24	SRR30976316	CONTROL	160.94700407150995	0.9209463102977722	1
GSE279372	anchor	SRR30976305	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0	delivery_1000_g_lnps_injected__vs__baseline_0	baseline_0	draining lymph nodes	24	SRR30976305	DELIVERY	5003.144955310236	28.62823022434559	1
GSE279372	anchor	SRR30976306	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0	delivery_1000_g_lnps_injected__vs__baseline_0	baseline_0	draining lymph nodes	24	SRR30976306	DELIVERY	4733.32912808551	27.08433139891515	1
GSE279372	anchor	SRR30976307	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0	delivery_1000_g_lnps_injected__vs__baseline_0	baseline_0	draining lymph nodes	24	SRR30976307	DELIVERY	4890.557467687338	27.98399933660608	1
GSE279372	anchor	SRR30976308	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0	delivery_1000_g_lnps_injected__vs__baseline_0	baseline_0	draining lymph nodes	24	SRR30976308	DELIVERY	5142.946086537262	29.42817885788325	1
GSE279372	anchor	SRR30976313	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0	delivery_250_g_alum_injected__vs__baseline_0	baseline_0	draining lymph nodes	24	SRR30976313	CONTROL	117.99275941233176	0.6751601065799212	1
GSE279372	anchor	SRR30976314	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0	delivery_250_g_alum_injected__vs__baseline_0	baseline_0	draining lymph nodes	24	SRR30976314	CONTROL	-59.17040860040416	-0.338575854789706	1
GSE279372	anchor	SRR30976315	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0	delivery_250_g_alum_injected__vs__baseline_0	baseline_0	draining lymph nodes	24	SRR30976315	CONTROL	-219.76935488343756	-1.2575305620879873	1
GSE279372	anchor	SRR30976316	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0	delivery_250_g_alum_injected__vs__baseline_0	baseline_0	draining lymph nodes	24	SRR30976316	CONTROL	160.94700407150995	0.9209463102977722	1
GSE279372	anchor	SRR30976309	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0	delivery_250_g_alum_injected__vs__baseline_0	baseline_0	draining lymph nodes	24	SRR30976309	DELIVERY	-89.69660817816172	-0.5132482013222232	1
GSE279372	anchor	SRR30976310	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0	delivery_250_g_alum_injected__vs__baseline_0	baseline_0	draining lymph nodes	24	SRR30976310	DELIVERY	-72.93694930329328	-0.417348646734667	1
GSE279372	anchor	SRR30976311	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0	delivery_250_g_alum_injected__vs__baseline_0	baseline_0	draining lymph nodes	24	SRR30976311	DELIVERY	-1.808249631936296	-0.01034688925237235	1
GSE279372	anchor	SRR30976312	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0	delivery_250_g_alum_injected__vs__baseline_0	baseline_0	draining lymph nodes	24	SRR30976312	DELIVERY	-199.84142153324328	-1.1435019922702654	1
GSE279372	anchor	SRR30976313	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_5_g_gi_1_gii_4_vlp__VS=baseline_0	delivery_5_g_gi_1_gii_4_vlp__vs__baseline_0	baseline_0	draining lymph nodes	24	SRR30976313	CONTROL	117.99275941233176	0.6751601065799212	1
