dataset_id	gene_id	n_contrasts_dataset	n_pass	support_in_dataset	dataset_support_flag
GSE167521	ENSMUSG00000000001.5	2	0	0	FALSE
GSE167521	ENSMUSG00000000028.16	2	2	1	TRUE
GSE167521	ENSMUSG00000000031.20	2	0	0	FALSE
GSE167521	ENSMUSG00000000037.18	2	0	0	FALSE
GSE167521	ENSMUSG00000000049.12	2	0	0	FALSE
GSE167521	ENSMUSG00000000056.8	2	0	0	FALSE
GSE167521	ENSMUSG00000000058.7	2	0	0	FALSE
GSE167521	ENSMUSG00000000078.8	2	0	0	FALSE
GSE167521	ENSMUSG00000000085.17	2	0	0	FALSE
GSE167521	ENSMUSG00000000088.8	2	0	0	FALSE
GSE167521	ENSMUSG00000000093.7	2	0	0	FALSE
GSE167521	ENSMUSG00000000094.13	2	2	1	TRUE
GSE167521	ENSMUSG00000000120.7	2	2	1	TRUE
GSE167521	ENSMUSG00000000125.6	2	0	0	FALSE
GSE167521	ENSMUSG00000000126.12	2	2	1	TRUE
GSE167521	ENSMUSG00000000127.16	2	0	0	FALSE
GSE167521	ENSMUSG00000000131.16	2	0	0	FALSE
GSE167521	ENSMUSG00000000134.18	2	0	0	FALSE
GSE167521	ENSMUSG00000000142.16	2	2	1	TRUE
GSE167521	ENSMUSG00000000148.18	2	0	0	FALSE
GSE167521	ENSMUSG00000000149.11	2	0	0	FALSE
GSE167521	ENSMUSG00000000154.17	2	0	0	FALSE
GSE167521	ENSMUSG00000000157.17	2	2	1	TRUE
GSE167521	ENSMUSG00000000167.15	2	2	1	TRUE
GSE167521	ENSMUSG00000000168.11	2	0	0	FALSE
GSE167521	ENSMUSG00000000171.6	2	0	0	FALSE
GSE167521	ENSMUSG00000000182.10	2	2	1	TRUE
GSE167521	ENSMUSG00000000183.7	2	0	0	FALSE
GSE167521	ENSMUSG00000000184.13	2	0	0	FALSE
GSE167521	ENSMUSG00000000194.14	2	0	0	FALSE
GSE167521	ENSMUSG00000000197.9	2	2	1	TRUE
GSE167521	ENSMUSG00000000202.10	2	0	0	FALSE
GSE167521	ENSMUSG00000000204.17	2	2	1	TRUE
GSE167521	ENSMUSG00000000214.12	2	0	0	FALSE
GSE167521	ENSMUSG00000000216.9	2	0	0	FALSE
GSE167521	ENSMUSG00000000223.14	2	0	0	FALSE
GSE167521	ENSMUSG00000000244.18	2	0	0	FALSE
GSE167521	ENSMUSG00000000247.12	2	0	0	FALSE
GSE167521	ENSMUSG00000000248.17	2	0	0	FALSE
GSE167521	ENSMUSG00000000253.14	2	2	1	TRUE
GSE167521	ENSMUSG00000000263.16	2	0	0	FALSE
GSE167521	ENSMUSG00000000266.12	2	0	0	FALSE
GSE167521	ENSMUSG00000000275.17	2	2	1	TRUE
GSE167521	ENSMUSG00000000276.12	2	0	0	FALSE
GSE167521	ENSMUSG00000000278.11	2	0	0	FALSE
GSE167521	ENSMUSG00000000282.13	2	0	0	FALSE
GSE167521	ENSMUSG00000000290.14	2	2	1	TRUE
GSE167521	ENSMUSG00000000295.14	2	0	0	FALSE
GSE167521	ENSMUSG00000000296.9	2	2	1	TRUE
GSE167521	ENSMUSG00000000301.17	2	0	0	FALSE
GSE167521	ENSMUSG00000000303.14	2	0	0	FALSE
GSE167521	ENSMUSG00000000305.13	2	2	1	TRUE
GSE167521	ENSMUSG00000000308.15	2	0	0	FALSE
GSE167521	ENSMUSG00000000317.12	2	2	1	TRUE
GSE167521	ENSMUSG00000000318.17	2	0	0	FALSE
GSE167521	ENSMUSG00000000320.11	2	2	1	TRUE
GSE167521	ENSMUSG00000000326.14	2	0	0	FALSE
GSE167521	ENSMUSG00000000339.15	2	0	0	FALSE
GSE167521	ENSMUSG00000000340.11	2	0	0	FALSE
GSE167521	ENSMUSG00000000346.10	2	0	0	FALSE
GSE167521	ENSMUSG00000000355.14	2	0	0	FALSE
GSE167521	ENSMUSG00000000359.4	2	0	0	FALSE
GSE167521	ENSMUSG00000000365.10	2	0	0	FALSE
GSE167521	ENSMUSG00000000374.9	2	0	0	FALSE
GSE167521	ENSMUSG00000000378.16	2	0	0	FALSE
GSE167521	ENSMUSG00000000384.16	2	0	0	FALSE
GSE167521	ENSMUSG00000000385.9	2	0	0	FALSE
GSE167521	ENSMUSG00000000386.19	2	2	1	TRUE
GSE167521	ENSMUSG00000000392.18	2	2	1	TRUE
GSE167521	ENSMUSG00000000399.11	2	0	0	FALSE
GSE167521	ENSMUSG00000000402.3	2	2	1	TRUE
GSE167521	ENSMUSG00000000409.15	2	2	1	TRUE
GSE167521	ENSMUSG00000000416.17	2	2	1	TRUE
GSE167521	ENSMUSG00000000420.16	2	0	0	FALSE
GSE167521	ENSMUSG00000000435.2	2	0	0	FALSE
GSE167521	ENSMUSG00000000439.10	2	0	0	FALSE
GSE167521	ENSMUSG00000000440.13	2	2	1	TRUE
GSE167521	ENSMUSG00000000441.18	2	0	0	FALSE
GSE167521	ENSMUSG00000000486.14	2	0	0	FALSE
GSE167521	ENSMUSG00000000489.8	2	0	0	FALSE
GSE167521	ENSMUSG00000000530.17	2	0	0	FALSE
GSE167521	ENSMUSG00000000531.6	2	0	0	FALSE
GSE167521	ENSMUSG00000000532.12	2	0	0	FALSE
GSE167521	ENSMUSG00000000538.19	2	0	0	FALSE
GSE167521	ENSMUSG00000000552.11	2	0	0	FALSE
GSE167521	ENSMUSG00000000555.9	2	2	1	TRUE
GSE167521	ENSMUSG00000000560.10	2	0	0	FALSE
GSE167521	ENSMUSG00000000561.15	2	0	0	FALSE
GSE167521	ENSMUSG00000000562.6	2	2	1	TRUE
GSE167521	ENSMUSG00000000563.18	2	0	0	FALSE
GSE167521	ENSMUSG00000000567.6	2	0	0	FALSE
GSE167521	ENSMUSG00000000568.16	2	2	1	TRUE
GSE167521	ENSMUSG00000000579.15	2	0	0	FALSE
GSE167521	ENSMUSG00000000581.9	2	0	0	FALSE
GSE167521	ENSMUSG00000000594.8	2	0	0	FALSE
GSE167521	ENSMUSG00000000600.16	2	0	0	FALSE
GSE167521	ENSMUSG00000000605.10	2	0	0	FALSE
GSE167521	ENSMUSG00000000627.16	2	0	0	FALSE
GSE167521	ENSMUSG00000000628.11	2	0	0	FALSE
GSE167521	ENSMUSG00000000631.21	2	0	0	FALSE
GSE167521	ENSMUSG00000000673.10	2	0	0	FALSE
GSE167521	ENSMUSG00000000682.8	2	2	1	TRUE
GSE167521	ENSMUSG00000000686.12	2	0	0	FALSE
GSE167521	ENSMUSG00000000690.6	2	0	0	FALSE
GSE167521	ENSMUSG00000000693.11	2	2	1	TRUE
GSE167521	ENSMUSG00000000708.15	2	0	0	FALSE
GSE167521	ENSMUSG00000000711.4	2	0	0	FALSE
GSE167521	ENSMUSG00000000730.14	2	2	1	TRUE
GSE167521	ENSMUSG00000000732.10	2	0	0	FALSE
GSE167521	ENSMUSG00000000738.19	2	0	0	FALSE
GSE167521	ENSMUSG00000000739.15	2	0	0	FALSE
GSE167521	ENSMUSG00000000740.13	2	0	0	FALSE
GSE167521	ENSMUSG00000000743.10	2	0	0	FALSE
GSE167521	ENSMUSG00000000751.14	2	0	0	FALSE
GSE167521	ENSMUSG00000000753.16	2	0	0	FALSE
GSE167521	ENSMUSG00000000759.15	2	0	0	FALSE
GSE167521	ENSMUSG00000000776.14	2	0	0	FALSE
GSE167521	ENSMUSG00000000782.17	2	0	0	FALSE
GSE167521	ENSMUSG00000000787.13	2	0	0	FALSE
GSE167521	ENSMUSG00000000791.10	2	2	1	TRUE
GSE167521	ENSMUSG00000000792.3	2	0	0	FALSE
GSE167521	ENSMUSG00000000794.10	2	0	0	FALSE
GSE167521	ENSMUSG00000000804.15	2	0	0	FALSE
GSE167521	ENSMUSG00000000805.19	2	2	1	TRUE
GSE167521	ENSMUSG00000000811.15	2	0	0	FALSE
GSE167521	ENSMUSG00000000817.11	2	2	1	TRUE
GSE167521	ENSMUSG00000000823.17	2	0	0	FALSE
GSE167521	ENSMUSG00000000826.17	2	0	0	FALSE
GSE167521	ENSMUSG00000000827.19	2	0	0	FALSE
GSE167521	ENSMUSG00000000838.18	2	0	0	FALSE
GSE167521	ENSMUSG00000000861.16	2	0	0	FALSE
GSE167521	ENSMUSG00000000869.13	2	0	0	FALSE
GSE167521	ENSMUSG00000000876.12	2	0	0	FALSE
GSE167521	ENSMUSG00000000881.13	2	0	0	FALSE
GSE167521	ENSMUSG00000000884.18	2	0	0	FALSE
GSE167521	ENSMUSG00000000901.18	2	2	1	TRUE
GSE167521	ENSMUSG00000000902.14	2	0	0	FALSE
GSE167521	ENSMUSG00000000915.16	2	0	0	FALSE
GSE167521	ENSMUSG00000000916.16	2	0	0	FALSE
GSE167521	ENSMUSG00000000934.10	2	0	0	FALSE
GSE167521	ENSMUSG00000000938.12	2	0	0	FALSE
GSE167521	ENSMUSG00000000942.11	2	0	0	FALSE
GSE167521	ENSMUSG00000000948.17	2	0	0	FALSE
GSE167521	ENSMUSG00000000957.12	2	0	0	FALSE
GSE167521	ENSMUSG00000000958.11	2	2	1	TRUE
GSE167521	ENSMUSG00000000959.8	2	0	0	FALSE
GSE167521	ENSMUSG00000000976.14	2	0	0	FALSE
GSE167521	ENSMUSG00000000982.6	2	2	1	TRUE
GSE167521	ENSMUSG00000000983.14	2	2	1	TRUE
GSE167521	ENSMUSG00000001016.13	2	0	0	FALSE
GSE167521	ENSMUSG00000001017.17	2	0	0	FALSE
GSE167521	ENSMUSG00000001018.16	2	0	0	FALSE
GSE167521	ENSMUSG00000001020.9	2	0	0	FALSE
GSE167521	ENSMUSG00000001021.14	2	0	0	FALSE
GSE167521	ENSMUSG00000001025.9	2	0	0	FALSE
GSE167521	ENSMUSG00000001027.8	2	2	1	TRUE
GSE167521	ENSMUSG00000001029.16	2	0	0	FALSE
GSE167521	ENSMUSG00000001034.18	2	0	0	FALSE
GSE167521	ENSMUSG00000001036.18	2	0	0	FALSE
GSE167521	ENSMUSG00000001039.13	2	0	0	FALSE
GSE167521	ENSMUSG00000001052.16	2	0	0	FALSE
GSE167521	ENSMUSG00000001053.16	2	0	0	FALSE
GSE167521	ENSMUSG00000001054.10	2	0	0	FALSE
GSE167521	ENSMUSG00000001056.4	2	2	1	TRUE
GSE167521	ENSMUSG00000001062.19	2	0	0	FALSE
GSE167521	ENSMUSG00000001065.16	2	0	0	FALSE
GSE167521	ENSMUSG00000001082.13	2	2	1	TRUE
GSE167521	ENSMUSG00000001089.15	2	0	0	FALSE
GSE167521	ENSMUSG00000001098.16	2	0	0	FALSE
GSE167521	ENSMUSG00000001100.11	2	0	0	FALSE
GSE167521	ENSMUSG00000001103.8	2	2	1	TRUE
GSE167521	ENSMUSG00000001105.16	2	0	0	FALSE
