gse_id	split_id	split_path	pass	fail_reason	contrast_label	control_label	tissue	time_h	n_split_samples	n_scored_samples	n_controls	n_delivery	mean_coverage	control_mean_imrs_z	delivery_mean_imrs_z	delta_mean_imrs_z	control_median_imrs_z	delivery_median_imrs_z	delta_median_imrs_z	auc_imrs_z	grid_id	min_abs_log2FC	min_up_anchor_count	fdr_support	audit_role	time_group	sensitivity_scope	holdout_anchor	training_anchors	n_training_genes
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver.tsv	TRUE	NA	WT_virus_plus_rh9C12_H433A_whole_liver__vs__WT_uninfected_whole_liver	WT_uninfected_whole_liver	whole liver	4	8	8	4	4	1	-0.3010567341323311	12.16395256949377	12.4650093036261	-0.3346475322884504	12.19609823848098	12.53074577076943	1	lfc0.25_k2_fdr0.05	0.25	2	0.05	external	acute_main	external_full_3_anchor_weights	NA	NA	NA
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver.tsv	TRUE	NA	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver__vs__TRIM21_KO_uninfected_whole_liver	TRIM21_KO_uninfected_whole_liver	whole liver	4	8	8	4	4	1	0.301056734132331	11.622535668881724	11.321478934749393	0.40910191033814564	12.20774441084004	11.798642500501893	1	lfc0.25_k2_fdr0.05	0.25	2	0.05	external	acute_main	external_full_3_anchor_weights	NA	NA	NA
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver.tsv	TRUE	NA	TRIM21_KO_virus_plus_rh9C12_H433A_whole_liver__vs__TRIM21_KO_uninfected_whole_liver	TRIM21_KO_uninfected_whole_liver	whole liver	4	8	8	4	4	1	0.301056734132331	11.70352917565074	11.402472441518409	0.40910191033814564	11.686918161165156	11.27781625082701	1	lfc0.25_k2_fdr0.05	0.25	2	0.05	external	acute_main	external_full_3_anchor_weights	NA	NA	NA
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver.tsv	TRUE	NA	TRIM21_KO_virus_only_whole_liver__vs__TRIM21_KO_uninfected_whole_liver	TRIM21_KO_uninfected_whole_liver	whole liver	4	8	8	4	4	1	0.301056734132331	10.25437758795388	9.953320853821548	0.40910191033814564	10.962383566249768	10.553281655911622	1	lfc0.25_k2_fdr0.05	0.25	2	0.05	external	acute_main	external_full_3_anchor_weights	NA	NA	NA
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver.tsv	TRUE	NA	WT_virus_only_whole_liver__vs__WT_uninfected_whole_liver	WT_uninfected_whole_liver	whole liver	4	8	8	4	4	1	-0.3010567341323311	9.509155785252606	9.810212519384937	-0.3346475322884504	8.948097306231784	9.282744838520234	1	lfc0.25_k2_fdr0.05	0.25	2	0.05	external	acute_main	external_full_3_anchor_weights	NA	NA	NA
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver.tsv	TRUE	NA	WT_virus_plus_rh9C12_WT_whole_liver__vs__WT_uninfected_whole_liver	WT_uninfected_whole_liver	whole liver	4	8	8	4	4	1	-0.3010567341323311	19.23556050937368	19.53661724350601	-0.3346475322884504	19.16502578410481	19.49967331639326	1	lfc0.25_k2_fdr0.05	0.25	2	0.05	external	acute_main	external_full_3_anchor_weights	NA	NA	NA
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad.mva__VS=none	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad.mva__VS=none.tsv	TRUE	NA	ad.mva__vs__none	none	blood	24	12	12	6	6	1	1.8490164549929873e-17	22.080352284346077	22.080352284346077	0.03310226060365179	20.983406603405523	20.95030434280187	1	lfc0.25_k2_fdr0.05	0.25	2	0.05	external	acute_main	external_full_3_anchor_weights	NA	NA	NA
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad_empty__VS=none	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad_empty__VS=none.tsv	TRUE	NA	ad_empty__vs__none	none	blood	24	12	12	6	6	1	1.8490164549929873e-17	22.443365352793087	22.443365352793087	0.03310226060365179	22.883245074777115	22.850142814173463	1	lfc0.25_k2_fdr0.05	0.25	2	0.05	external	acute_main	external_full_3_anchor_weights	NA	NA	NA
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad_fhbp__VS=none	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad_fhbp__VS=none.tsv	TRUE	NA	ad_fhbp__vs__none	none	blood	24	12	12	6	6	1	1.8490164549929873e-17	27.58184048176578	27.58184048176578	0.03310226060365179	27.37159641161452	27.338494151010867	1	lfc0.25_k2_fdr0.05	0.25	2	0.05	external	acute_main	external_full_3_anchor_weights	NA	NA	NA
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad_pref__VS=none	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad_pref__VS=none.tsv	TRUE	NA	ad_pref__vs__none	none	blood	24	12	12	6	6	1	1.8490164549929873e-17	1.8584718115257912	1.8584718115257912	0.03310226060365179	2.157536020101869	2.124433759498217	0.6388888888888888	lfc0.25_k2_fdr0.05	0.25	2	0.05	external	acute_main	external_full_3_anchor_weights	NA	NA	NA
