gene_id	phase	se_meta	beta_meta	is_core	power_delta	low_power_flag
ENSMUSG00000111078.3	anchor	0.1660632182971519	4.2332077695080725	TRUE	0.9999756561843935	FALSE
ENSMUSG00000134421.1	anchor	0.16016269170695815	4.366412049518441	TRUE	0.9999908089403238	FALSE
ENSMUSG00000052485.8	anchor	0.1588349824893526	4.404983306498316	TRUE	0.9999927410374254	FALSE
ENSMUSG00000125029.1	anchor	0.1504541797139067	3.0409316181214905	TRUE	0.9999986109441485	FALSE
ENSMUSG00000055110.9	anchor	0.1442944182859704	4.36126211559667	TRUE	0.9999996657720627	FALSE
ENSMUSG00000040026.9	anchor	0.12605822892698787	4.397792528205895	TRUE	0.9999999988344782	FALSE
ENSMUSG00000116639.2	anchor	0.1229880195684464	2.4895340866287503	TRUE	0.9999999996605081	FALSE
ENSMUSG00000099569.2	anchor	0.11704931089556184	1.846663027932804	TRUE	0.9999999999770163	FALSE
ENSMUSG00000138573.1	anchor	0.11609454010050275	4.977817758075086	TRUE	0.9999999999857098	FALSE
ENSMUSG00000109729.2	anchor	0.10919883657463228	3.8495640515383616	TRUE	0.9999999999996937	FALSE
ENSMUSG00000050578.11	anchor	0.10873092085162736	4.342772097488057	TRUE	0.9999999999997707	FALSE
ENSMUSG00000085295.9	anchor	0.10719605782519932	4.495088843307157	TRUE	0.9999999999999138	FALSE
ENSMUSG00000022126.7	anchor	0.101173962155582	6.353446492462103	TRUE	0.9999999999999989	FALSE
ENSMUSG00000000204.17	anchor	0.06017983622916773	4.009242973558268	TRUE	1	FALSE
ENSMUSG00000000275.17	anchor	0.01996723285414467	1.0508147633566944	TRUE	1	FALSE
ENSMUSG00000000386.19	anchor	0.04421476764989623	3.2710294248798157	TRUE	1	FALSE
ENSMUSG00000000791.10	anchor	0.04283852452339141	1.673334207651764	TRUE	1	FALSE
ENSMUSG00000001123.16	anchor	0.02529995591459593	1.4066537897239146	TRUE	1	FALSE
ENSMUSG00000001156.10	anchor	0.0277175637267732	1.2317609000689669	TRUE	1	FALSE
ENSMUSG00000001166.18	anchor	0.03263327899548941	0.9326464786317176	TRUE	1	FALSE
ENSMUSG00000002227.16	anchor	0.02724346706191303	1.453680823478515	TRUE	1	FALSE
ENSMUSG00000002307.17	anchor	0.02633458985942418	1.7311652449182309	TRUE	1	FALSE
ENSMUSG00000002325.16	anchor	0.02108996176635364	0.9694441591657612	TRUE	1	FALSE
ENSMUSG00000003283.16	anchor	0.02859644450312889	0.9793430438211964	TRUE	1	FALSE
ENSMUSG00000010358.14	anchor	0.03034599079892951	1.3046489486163944	TRUE	1	FALSE
ENSMUSG00000012519.15	anchor	0.03640593202154443	2.1411758117835404	TRUE	1	FALSE
ENSMUSG00000015437.6	anchor	0.03983051606130371	3.0158303221347436	TRUE	1	FALSE
ENSMUSG00000015947.11	anchor	0.04448346019762707	2.322496466194866	TRUE	1	FALSE
ENSMUSG00000016496.8	anchor	0.02688535401445183	1.4890074635412431	TRUE	1	FALSE
ENSMUSG00000017830.16	anchor	0.03147431142301386	2.2526315556617806	TRUE	1	FALSE
ENSMUSG00000017929.14	anchor	0.02474434066985495	1.1558818368153023	TRUE	1	FALSE
ENSMUSG00000018899.18	anchor	0.02455599009705039	1.1023375489163676	TRUE	1	FALSE
ENSMUSG00000018930.4	anchor	0.06439689387531576	2.370923660779123	TRUE	1	FALSE
ENSMUSG00000018986.11	anchor	0.04044655866203663	2.03935255252841	TRUE	1	FALSE
ENSMUSG00000019082.19	anchor	0.03168206243846682	1.1537940480148965	TRUE	1	FALSE
ENSMUSG00000020407.14	anchor	0.0501178616443619	2.012750309377904	TRUE	1	FALSE
ENSMUSG00000020464.16	anchor	0.02496169919471175	1.009760146348618	TRUE	1	FALSE
ENSMUSG00000020638.9	anchor	0.03499827409639178	2.850390177913352	TRUE	1	FALSE
ENSMUSG00000020641.17	anchor	0.04879893262918288	2.6619911805978065	TRUE	1	FALSE
ENSMUSG00000020790.15	anchor	0.01595986364853729	0.653408058169857	TRUE	1	FALSE
ENSMUSG00000021091.9	anchor	0.05137772320571075	1.3528753544867909	TRUE	1	FALSE
ENSMUSG00000021614.17	anchor	0.04069960951142604	1.986416326331804	TRUE	1	FALSE
ENSMUSG00000022014.17	anchor	0.02734377120660181	0.846346305713507	TRUE	1	FALSE
ENSMUSG00000022584.15	anchor	0.03300939651854603	1.892610490721934	TRUE	1	FALSE
ENSMUSG00000022586.12	anchor	0.04791388624574065	1.565758904161898	TRUE	1	FALSE
ENSMUSG00000022587.16	anchor	0.01938598644408536	0.5943382692736182	TRUE	1	FALSE
ENSMUSG00000022906.16	anchor	0.02136926706088255	1.5600956158697925	TRUE	1	FALSE
ENSMUSG00000023067.15	anchor	0.03412778043224167	1.3402573136296745	TRUE	1	FALSE
ENSMUSG00000023341.17	anchor	0.04890210993643695	3.588993939733922	TRUE	1	FALSE
ENSMUSG00000024066.10	anchor	0.02627194669732062	1.300145509856705	TRUE	1	FALSE
ENSMUSG00000024079.5	anchor	0.02812232747149422	1.9112197844429033	TRUE	1	FALSE
ENSMUSG00000024235.12	anchor	0.02653289573965799	1.00397420550989	TRUE	1	FALSE
ENSMUSG00000024308.16	anchor	0.02049094223611582	0.7786488526142343	TRUE	1	FALSE
ENSMUSG00000024675.20	anchor	0.03639438367969844	2.1004328458555177	TRUE	1	FALSE
ENSMUSG00000024677.14	anchor	0.02702857041690285	0.8736697992583514	TRUE	1	FALSE
ENSMUSG00000024679.11	anchor	0.03616128430424136	2.330935845748356	TRUE	1	FALSE
ENSMUSG00000024737.3	anchor	0.03401953476769742	1.6845126511880533	TRUE	1	FALSE
ENSMUSG00000024778.14	anchor	0.02676780029435486	0.9681267650995826	TRUE	1	FALSE
ENSMUSG00000025017.11	anchor	0.02193971002258644	1.0255035121899092	TRUE	1	FALSE
ENSMUSG00000025324.9	anchor	0.02781030506910069	1.40757503524421	TRUE	1	FALSE
ENSMUSG00000025492.7	anchor	0.02590442989862813	1.3244997111790289	TRUE	1	FALSE
ENSMUSG00000025498.16	anchor	0.03693065738590067	2.6986832878829037	TRUE	1	FALSE
ENSMUSG00000025647.17	anchor	0.02016736984776221	0.646708667217471	TRUE	1	FALSE
ENSMUSG00000026088.16	anchor	0.03086793599549793	1.31368489397999	TRUE	1	FALSE
ENSMUSG00000026104.15	anchor	0.0228694691966197	1.368834165874912	TRUE	1	FALSE
ENSMUSG00000026222.17	anchor	0.0232767164075898	1.2504745620595166	TRUE	1	FALSE
ENSMUSG00000026536.10	anchor	0.04638153919505862	2.7194185135187623	TRUE	1	FALSE
ENSMUSG00000026628.14	anchor	0.04274969132519208	2.126999145712514	TRUE	1	FALSE
ENSMUSG00000026768.11	anchor	0.05219526092049868	-0.9993932611941236	TRUE	1	FALSE
ENSMUSG00000026896.15	anchor	0.03428239315626923	2.3225013718293988	TRUE	1	FALSE
ENSMUSG00000026946.10	anchor	0.02288346397801349	1.2866701966752845	TRUE	1	FALSE
ENSMUSG00000026981.16	anchor	0.04726080117759407	3.095700260384582	TRUE	1	FALSE
