dataset_type	gse_id	tissue	n_contrasts	mean_delta_mean_imrs_z	median_delta_mean_imrs_z	mean_auc_imrs_z
anchor	GSE167521	skin	1	8.690306696957737	8.690306696957737	1
anchor	GSE264344	Blood	10	2.4642968349928305	2.7554747485598017	0.956
anchor	GSE264344	Muscle	10	3.06458807004116	3.544721604297695	0.996
anchor	GSE264344	dLN	10	3.628512308536267	4.05421314831522	0.964
anchor	GSE279372	draining lymph nodes	6	13.676071814206704	12.548841081887682	0.8333333333333334
anchor	GSE279744	lymph node	2	35.147778935033756	35.147778935033756	1
anchor	GSE39129	liver	1	34.722530908038976	34.722530908038976	1
external	GSE119119	whole liver	6	10.738673644978217	9.974489921369866	1
external	GSE139529	blood	6	11.91994368916125	13.7536090777491	0.9490740740740741
external	GSE166655	Tibialis anterior	2	1.0457346707442812	1.0457346707442812	0.7222222222222222
external	GSE178313	Liver	1	6.743275601355258	6.743275601355258	1
external	GSE262515_cell_line	cell line	2	1.2974634039687643	1.2974634039687643	0.7777777777777778
external	GSE262515_tissue	tissue	3	0.786867855766336	0.7571044035156834	0.7777777777777778
external	GSE264344	Blood	2	0.17674563416733752	0.17674563416733752	0.8400000000000001
external	GSE264344	Muscle	2	1.2481232776557374	1.2481232776557374	0.98
external	GSE264344	dLN	2	0.42200910342065645	0.42200910342065645	0.8
external	GSE279743	Lymph Node	2	8.148223769311773	8.148223769311773	0.9444444444444444
external	GSE314070	small intestine	2	1.2033088974553232	1.2033088974553232	0.5
