grid_id	min_abs_log2FC	min_up_anchor_count	fdr_support	n_genes_selected	overlap_with_frozen_genes	overlap_fraction_with_frozen	external_n_contrasts	external_mean_delta_imrs_z	external_median_delta_imrs_z	external_proportion_positive_delta	external_mean_auc_secondary	external_median_auc_secondary	loao_n_contrasts	loao_mean_delta_imrs_z	loao_proportion_positive_delta	status
lfc0.25_k2_fdr0.05	0.25	2	0.05	1398	286	0.9965156794425087	38	12.668156793220845	6.125662684111086	0.9473684210526315	0.9305921052631579	1	32	3.826452023557627	1	ok
lfc0.25_k2_fdr0.1	0.25	2	0.1	1671	286	0.9965156794425087	38	12.680962057687815	6.404233438577117	0.9473684210526315	0.9289473684210526	1	32	3.931874681968906	1	ok
lfc0.25_k2_fdr0.2	0.25	2	0.2	2038	286	0.9965156794425087	38	12.809659201926749	7.571955888218891	0.9736842105263158	0.9271637426900585	1	32	3.868824399502386	1	ok
lfc0.25_k3_fdr0.05	0.25	3	0.05	474	249	0.867595818815331	38	9.048658729444346	4.429609482507724	0.9210526315789473	0.8787573099415205	1	32	3.826452023557627	1	ok
lfc0.25_k3_fdr0.1	0.25	3	0.1	541	258	0.8989547038327527	38	9.36248591833223	4.410397864507543	0.9210526315789473	0.8849269005847953	1	32	3.931874681968906	1	ok
lfc0.25_k3_fdr0.2	0.25	3	0.2	657	265	0.9233449477351916	38	9.273111766476326	4.322787441700554	0.9210526315789473	0.8836476608187135	1	32	3.868824399502386	1	ok
lfc0.5_k2_fdr0.05	0.5	2	0.05	1180	286	0.9965156794425087	38	12.588956080445568	6.244177016508651	0.9473684210526315	0.9266154970760234	1	32	3.8250952790738295	1	ok
lfc0.5_k2_fdr0.1	0.5	2	0.1	1349	286	0.9965156794425087	38	12.486136590547575	6.33942161762946	0.9473684210526315	0.9276681286549707	1	32	3.903927213393916	1	ok
lfc0.5_k2_fdr0.2	0.5	2	0.2	1581	286	0.9965156794425087	38	12.570179212364248	6.974319163607827	0.9736842105263158	0.9235087719298246	1	32	3.931213207093333	1	ok
lfc0.5_k3_fdr0.05	0.5	3	0.05	416	249	0.867595818815331	38	9.073687001406302	4.407138609422377	0.9210526315789473	0.878983918128655	1	32	3.8250952790738295	1	ok
lfc0.5_k3_fdr0.1	0.5	3	0.1	456	257	0.8954703832752613	38	9.382797334615402	4.4039818465323295	0.9210526315789473	0.883874269005848	1	32	3.903927213393916	1	ok
lfc0.5_k3_fdr0.2	0.5	3	0.2	522	264	0.9198606271777003	38	9.277783543465764	4.428291530494379	0.9210526315789473	0.8849269005847953	1	32	3.931213207093333	1	ok
lfc0.75_k2_fdr0.05	0.75	2	0.05	974	286	0.9965156794425087	38	12.25144187355604	6.415870129846127	0.9473684210526315	0.9230994152046783	1	32	3.8721609522697036	1	ok
lfc0.75_k2_fdr0.1	0.75	2	0.1	1090	286	0.9965156794425087	38	12.038122122511783	6.539254525101211	0.9473684210526315	0.9230994152046783	1	32	3.963952000345554	1	ok
lfc0.75_k2_fdr0.2	0.75	2	0.2	1247	286	0.9965156794425087	38	12.235485570861469	7.079991281586393	0.9736842105263158	0.9222295321637427	1	32	3.990983383160261	1	ok
lfc0.75_k3_fdr0.05	0.75	3	0.05	352	241	0.8397212543554007	38	9.008737421773395	4.28217664141024	0.9210526315789473	0.8749634502923976	1	32	3.8721609522697036	1	ok
lfc0.75_k3_fdr0.1	0.75	3	0.1	379	248	0.8641114982578397	38	9.289358100384606	4.435740620039292	0.9210526315789473	0.8809502923976608	1	32	3.963952000345554	1	ok
lfc0.75_k3_fdr0.2	0.75	3	0.2	417	252	0.8780487804878049	38	9.282289146499405	4.56806152166694	0.9210526315789473	0.8809502923976608	1	32	3.990983383160261	1	ok
