dataset_id	gse_id	split_id	PMID	paper_title	DOI	publication_year	organism	tissue	time_h	treatment_group	control_group	delivery_platform	cargo_or_transgene	whether_delivery_is_shared_between_groups	whether_timepoint_is_acute_24h_or_less	whether_tissue_matches_expected_innate_response_site	original_IMRS_delta	original_AUC_secondary	explanation_category	explainable_status	manuscript_ready_interpretation	reviewer_risk_level	notes
GSE166655	GSE166655	GSE166655_design__T=Tibialis_anterior__H=1008__B=NA__G=delivery_aav9_ar45__VS=delivery_untreated	34417184	Gene therapy with AR isoform 2 rescues spinal and bulbar muscular atrophy phenotype by modulating AR transcriptional activity	10.1126/sciadv.abi6896	2021	Mus musculus	Tibialis anterior	1008	delivery_aav9_ar45	delivery_untreated	AAV9	AR45 transgene	FALSE	FALSE	TRUE	2.14949309685498	1	disease_rescue_model	partially_explainable	Delta IMRSz is 2.149 in tibialis anterior at 1008 h. This is a late AAV therapeutic transgene/disease-rescue design, so weak acute innate signal is biologically plausible.	medium	PMID/title from user-provided verified mapping; no local metadata contradiction was found. Current Step 09 split uses delivery_untreated as control; direct AAV9-AR45-vs-AAV9-GFP shared-vector comparison is not represented here.
GSE166655	GSE166655	GSE166655_design__T=Tibialis_anterior__H=1008__B=NA__G=delivery_aav9_gfp__VS=delivery_untreated	34417184	Gene therapy with AR isoform 2 rescues spinal and bulbar muscular atrophy phenotype by modulating AR transcriptional activity	10.1126/sciadv.abi6896	2021	Mus musculus	Tibialis anterior	1008	delivery_aav9_gfp	delivery_untreated	AAV9	GFP control transgene	FALSE	FALSE	TRUE	-0.05802375536641783	0.4444444444444444	disease_rescue_model	partially_explainable	Delta IMRSz is -0.058 in tibialis anterior at 1008 h. This is a late AAV therapeutic transgene/disease-rescue design, so weak acute innate signal is biologically plausible.	medium	PMID/title from user-provided verified mapping; no local metadata contradiction was found. Current Step 09 split uses delivery_untreated as control; direct AAV9-AR45-vs-AAV9-GFP shared-vector comparison is not represented here.
GSE262515_cell_line	GSE262515	GSE262515_design__T=cell_line__H=16__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0	38902241	Optimized RNA interference therapeutics combined with interleukin-2 mRNA for treating hepatitis B virus infection	10.1038/s41392-024-01871-8	2024	Homo sapiens	cell line	16	delivery_tlnp_sihbv_50nm	baseline_0	lipid nanoparticle	siHBV	FALSE	TRUE	NA	3.0762415648459083	1	therapeutic_cargo_specific_effect	partially_explainable	Delta IMRSz is 3.076 for delivery_tlnp_sihbv_50nm versus baseline_0. The siHBV cargo is therapeutic RNAi in an optimized tLNP context; the result should not be interpreted as pure delivery-induced innate activation.	medium	PMID/title from user-provided verified mapping; no local metadata contradiction was found. Current Step 09 split is versus baseline_0, not a direct tLNP/siHBV-vs-tLNP/siNC shared-vehicle contrast.
GSE262515_cell_line	GSE262515	GSE262515_design__T=cell_line__H=16__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0	38902241	Optimized RNA interference therapeutics combined with interleukin-2 mRNA for treating hepatitis B virus infection	10.1038/s41392-024-01871-8	2024	Homo sapiens	cell line	16	delivery_tlnp_sinc_50nm	baseline_0	lipid nanoparticle	siNC	FALSE	TRUE	NA	-0.48131475690837977	0.5555555555555556	unclear_requires_manual_review	unclear	Delta IMRSz is -0.481. The available local metadata and paper mapping are insufficient for a manuscript-ready biological explanation.	high	PMID/title from user-provided verified mapping; no local metadata contradiction was found. Current Step 09 split is versus baseline_0, not a direct tLNP/siHBV-vs-tLNP/siNC shared-vehicle contrast. Manual paper/design review required before using as an explanation.
GSE262515_tissue	GSE262515	GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0	38902241	Optimized RNA interference therapeutics combined with interleukin-2 mRNA for treating hepatitis B virus infection	10.1038/s41392-024-01871-8	2024	Mus musculus	tissue	72	delivery_tlnp_sihbv_1mg_kg	baseline_0	lipid nanoparticle	siHBV	FALSE	FALSE	TRUE	1.0413601243524528	0.8888888888888888	therapeutic_cargo_specific_effect	partially_explainable	Delta IMRSz is 1.041 for delivery_tlnp_sihbv_1mg_kg versus baseline_0. The siHBV cargo is therapeutic RNAi in an optimized tLNP context; the result should not be interpreted as pure delivery-induced innate activation.	medium	PMID/title from user-provided verified mapping; no local metadata contradiction was found. Current Step 09 split is versus baseline_0, not a direct tLNP/siHBV-vs-tLNP/siNC shared-vehicle contrast.
GSE262515_tissue	GSE262515	GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0	38902241	Optimized RNA interference therapeutics combined with interleukin-2 mRNA for treating hepatitis B virus infection	10.1038/s41392-024-01871-8	2024	Mus musculus	tissue	72	delivery_tlnp_sihbv_2_5mg_kg	baseline_0	lipid nanoparticle	siHBV	FALSE	FALSE	TRUE	0.5621390394308718	0.6666666666666666	therapeutic_cargo_specific_effect	partially_explainable	Delta IMRSz is 0.562 for delivery_tlnp_sihbv_2_5mg_kg versus baseline_0. The siHBV cargo is therapeutic RNAi in an optimized tLNP context; the result should not be interpreted as pure delivery-induced innate activation.	medium	PMID/title from user-provided verified mapping; no local metadata contradiction was found. Current Step 09 split is versus baseline_0, not a direct tLNP/siHBV-vs-tLNP/siNC shared-vehicle contrast.
GSE262515_tissue	GSE262515	GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0	38902241	Optimized RNA interference therapeutics combined with interleukin-2 mRNA for treating hepatitis B virus infection	10.1038/s41392-024-01871-8	2024	Mus musculus	tissue	72	delivery_tlnp_sinc_1mg_kg	baseline_0	lipid nanoparticle	siNC	FALSE	FALSE	TRUE	0.7571044035156834	0.7777777777777778	late_timepoint	partially_explainable	Delta IMRSz is 0.757 at 72 h. The contrast is non-acute and weak signal is plausibly affected by late post-delivery kinetics.	medium	PMID/title from user-provided verified mapping; no local metadata contradiction was found. Current Step 09 split is versus baseline_0, not a direct tLNP/siHBV-vs-tLNP/siNC shared-vehicle contrast.
GSE264344	GSE264344	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad26__VS=baseline_0	40162786	Early spatiotemporal evolution of the immune response elicited by adenovirus serotype 26 vector vaccination in mice	10.1128/jvi.00247-25	2025	Mus musculus	Blood	72	delivery_ad26	baseline_0	adenovirus serotype 26 vector	NA	FALSE	FALSE	TRUE	0.08713996296972348	0.7200000000000001	tissue_time_kinetic_effect	explainable	Delta IMRSz is 0.087 in Blood at 72 h. For the Ad vector time-course, this 72 h external split is best interpreted as waning tissue-time kinetics, not as evidence against early innate activation.	low	PMID/title from user-provided verified mapping; no local metadata contradiction was found.
GSE264344	GSE264344	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad5__VS=baseline_0	40162786	Early spatiotemporal evolution of the immune response elicited by adenovirus serotype 26 vector vaccination in mice	10.1128/jvi.00247-25	2025	Mus musculus	Blood	72	delivery_ad5	baseline_0	adenovirus serotype 5 vector	NA	FALSE	FALSE	TRUE	0.26635130536495155	0.96	tissue_time_kinetic_effect	explainable	Delta IMRSz is 0.266 in Blood at 72 h. For the Ad vector time-course, this 72 h external split is best interpreted as waning tissue-time kinetics, not as evidence against early innate activation.	low	PMID/title from user-provided verified mapping; no local metadata contradiction was found.
GSE264344	GSE264344	GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad26__VS=baseline_0	40162786	Early spatiotemporal evolution of the immune response elicited by adenovirus serotype 26 vector vaccination in mice	10.1128/jvi.00247-25	2025	Mus musculus	Muscle	72	delivery_ad26	baseline_0	adenovirus serotype 26 vector	NA	FALSE	FALSE	TRUE	1.0550234100660878	0.96	tissue_time_kinetic_effect	explainable	Delta IMRSz is 1.055 in Muscle at 72 h. For the Ad vector time-course, this 72 h external split is best interpreted as waning tissue-time kinetics, not as evidence against early innate activation.	low	PMID/title from user-provided verified mapping; no local metadata contradiction was found.
