sample_id	tissue	timepoint_hr	batch	condition_simple	group	raw_time_label	time_reference_event	group_raw	tissue_raw	time_raw	time_h	time_label	batch_raw	is_control	control_label	contrast_label	control_time_policy
SRR10358645	blood	24	NA	CONTROL	none	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups	none	blood	24	24	24h	NA	TRUE	none	mva.ad__vs__none	matched_time
SRR10358646	blood	24	NA	CONTROL	none	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups	none	blood	24	24	24h	NA	TRUE	none	mva.ad__vs__none	matched_time
SRR10358647	blood	24	NA	CONTROL	none	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups	none	blood	24	24	24h	NA	TRUE	none	mva.ad__vs__none	matched_time
SRR10358648	blood	24	NA	CONTROL	none	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups	none	blood	24	24	24h	NA	TRUE	none	mva.ad__vs__none	matched_time
SRR10358649	blood	24	NA	CONTROL	none	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups	none	blood	24	24	24h	NA	TRUE	none	mva.ad__vs__none	matched_time
SRR10358650	blood	24	NA	CONTROL	none	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups	none	blood	24	24	24h	NA	TRUE	none	mva.ad__vs__none	matched_time
SRR10358639	blood	24	NA	DELIVERY	mva.ad	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups	mva.ad	blood	24	24	24h	NA	FALSE	none	mva.ad__vs__none	matched_time
SRR10358640	blood	24	NA	DELIVERY	mva.ad	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups	mva.ad	blood	24	24	24h	NA	FALSE	none	mva.ad__vs__none	matched_time
SRR10358641	blood	24	NA	DELIVERY	mva.ad	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups	mva.ad	blood	24	24	24h	NA	FALSE	none	mva.ad__vs__none	matched_time
SRR10358642	blood	24	NA	DELIVERY	mva.ad	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups	mva.ad	blood	24	24	24h	NA	FALSE	none	mva.ad__vs__none	matched_time
SRR10358643	blood	24	NA	DELIVERY	mva.ad	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups	mva.ad	blood	24	24	24h	NA	FALSE	none	mva.ad__vs__none	matched_time
SRR10358644	blood	24	NA	DELIVERY	mva.ad	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups	mva.ad	blood	24	24	24h	NA	FALSE	none	mva.ad__vs__none	matched_time
