sample_id	group	tissue	timepoint_hr	batch	raw_time_label	time_reference_event	ex_vivo_stimulation_h	ex_vivo_stimulation_status	ex_vivo_reference_event	repository_sample_title	group_raw	tissue_raw	time_raw	time_h	time_label	batch_raw	is_control	condition_simple	control_label	contrast_label	control_time_policy
SRR17223822	delivery_unstimulated	BALF	1344	NA	8 weeks post vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -8wk post vaccination  rep5	delivery_unstimulated	BALF	1344	1344	1344h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223824	delivery_unstimulated	BALF	1344	NA	8 weeks post vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -8wk post vaccination  rep4	delivery_unstimulated	BALF	1344	1344	1344h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223826	delivery_unstimulated	BALF	1344	NA	8 weeks post vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -8wk post vaccination  rep3	delivery_unstimulated	BALF	1344	1344	1344h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223828	delivery_unstimulated	BALF	1344	NA	8 weeks post vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -8wk post vaccination rep2	delivery_unstimulated	BALF	1344	1344	1344h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223830	delivery_unstimulated	BALF	1344	NA	8 weeks post vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -8 wk post vaccination rep1	delivery_unstimulated	BALF	1344	1344	1344h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223823	delivery_unstimulated	BALF	1344	NA	8 weeks post vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -8wk post vaccination  rep5	delivery_unstimulated	BALF	1344	1344	1344h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223825	delivery_unstimulated	BALF	1344	NA	8 weeks post vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -8wk post vaccination  rep4	delivery_unstimulated	BALF	1344	1344	1344h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223827	delivery_unstimulated	BALF	1344	NA	8 weeks post vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -8wk post vaccination  rep3	delivery_unstimulated	BALF	1344	1344	1344h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223829	delivery_unstimulated	BALF	1344	NA	8 weeks post vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -8wk post vaccination rep2	delivery_unstimulated	BALF	1344	1344	1344h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223831	delivery_unstimulated	BALF	1344	NA	8 weeks post vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -8 wk post vaccination rep1	delivery_unstimulated	BALF	1344	1344	1344h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223802	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	8 weeks post vaccination	AdHu5Ag85A aerosol vaccination	12	stimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	stimulated airway macrophage -8wk post vaccination  rep5	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	1344	1344h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223804	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	8 weeks post vaccination	AdHu5Ag85A aerosol vaccination	12	stimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	stimulated airway macrophage -8wk post vaccination  rep4	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	1344	1344h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223806	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	8 weeks post vaccination	AdHu5Ag85A aerosol vaccination	12	stimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	stimulated airwayvmacrophage -8wk post vaccination  rep3	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	1344	1344h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223808	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	8 weeks post vaccination	AdHu5Ag85A aerosol vaccination	12	stimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	stimulated airway macrophage -8wk post vaccination rep2	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	1344	1344h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223810	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	8 weeks post vaccination	AdHu5Ag85A aerosol vaccination	12	stimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	stimulated airway macrophage -8 wk post vaccination rep1	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	1344	1344h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223803	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	8 weeks post vaccination	AdHu5Ag85A aerosol vaccination	12	stimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	stimulated airway macrophage -8wk post vaccination  rep5	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	1344	1344h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223805	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	8 weeks post vaccination	AdHu5Ag85A aerosol vaccination	12	stimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	stimulated airway macrophage -8wk post vaccination  rep4	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	1344	1344h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223807	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	8 weeks post vaccination	AdHu5Ag85A aerosol vaccination	12	stimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	stimulated airwayvmacrophage -8wk post vaccination  rep3	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	1344	1344h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223809	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	8 weeks post vaccination	AdHu5Ag85A aerosol vaccination	12	stimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	stimulated airway macrophage -8wk post vaccination rep2	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	1344	1344h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223811	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	8 weeks post vaccination	AdHu5Ag85A aerosol vaccination	12	stimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	stimulated airway macrophage -8 wk post vaccination rep1	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	1344	1344h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
