file	relative_path	inferred_manual_or_generated	curation_type	dataset_id_if_applicable	used_in_stage	used_in_figure_or_table	evidence_of_manual_edit	source_file_or_publication	notes
<local_project_root>\00_metadata\verified_metadata\GSE119119_design.tsv	00_metadata/verified_metadata/GSE119119_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE119119_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\GSE139529_design.tsv	00_metadata/verified_metadata/GSE139529_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE139529_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\GSE166655_design.tsv	00_metadata/verified_metadata/GSE166655_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE166655_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\GSE167521_design.tsv	00_metadata/verified_metadata/GSE167521_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE167521_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\GSE178313_design.tsv	00_metadata/verified_metadata/GSE178313_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE178313_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\GSE190850_HUMAN_design.tsv	00_metadata/verified_metadata/GSE190850_HUMAN_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE190850_HUMAN	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\GSE237068_design.tsv	00_metadata/verified_metadata/GSE237068_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE237068_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\GSE262515_design.tsv	00_metadata/verified_metadata/GSE262515_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE262515_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\GSE264344_design.tsv	00_metadata/verified_metadata/GSE264344_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\GSE279372_design.tsv	00_metadata/verified_metadata/GSE279372_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE279372_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
