Dataset identifier	Dataset context	Source publication	PMID	DOI	Species	Biological system or tissue	Timepoint or range	Delivery platform or modality	Treatment context	Control context	Analytical role	Number of scored contrasts	Number included in 70-contrast manuscript analysis	Number of metadata-only records	Contributed to frozen-model construction	Positive evaluated contrasts	Mean delivery-minus-control delta IMRSz	Scientific rationale for role
GSE190850_HUMAN	BALF; human adenovirus-vectored tuberculosis vaccine; Excluded/unclear	Aerosol delivery, but not intramuscular injection, of adenovirus-vectored tuberculosis vaccine induces respiratory-mucosal immunity in humans	34990408	10.1172/jci.insight.155655	Human	BALF	0-1344 h	human adenovirus-vectored tuberculosis vaccine	Twelve-hour ex-vivo M. tuberculosis lysate stimulation at baseline or 8 weeks after AdHu5Ag85A vaccination.	delivery unstimulated	Excluded/unclear	0	0	2	No	0		Metadata or scored provenance retained outside the 70-contrast manuscript analysis.
GSE237068	Liver; adenoviral vector (EcSTH or GFP); Excluded/unclear	ChREBP is activated by reductive stress and mediates GCKR-associated metabolic traits	38101397	10.1016/j.cmet.2023.11.010	Mouse	Liver	96 h	adenoviral vector (EcSTH or GFP)	Retro-orbital EcSTH-expressing adenovirus; liver collected 96 h later.	delivery gfp	Excluded/unclear	0	0	1	No	0		Metadata or scored provenance retained outside the 70-contrast manuscript analysis.
GSE166655	Tibialis anterior; AAV9; Extended validation	Gene therapy with AR isoform 2 rescues spinal and bulbar muscular atrophy phenotype by modulating AR transcriptional activity	34417184	10.1126/sciadv.abi6896	Mouse	Tibialis anterior	1008 h	AAV9	AAV9 vector treatment in a disease-rescue model.	delivery untreated	Extended validation	2	2	0	No	1	1.0457346707442812	Late or context-shifted setting used to define temporal or biological boundaries of the acute-response interpretation.
GSE178313	Liver; lipid nanoparticle; Extended validation	Species-dependent in vivo mRNA delivery and cellular responses to nanoparticles	35132167	10.1038/s41565-021-01030-y	Mouse	Liver	24 h	lipid nanoparticle	lipid nanoparticle exposure.	mouse repopulated pbs	Extended validation	1	1	0	No	1	6.743275601355258	The 24 h response is extended validation because of species/humanized-liver context, not because it is a late timepoint.
GSE264344	Blood; adenovirus serotype 26 vector; Extended validation	Early spatiotemporal evolution of the immune response elicited by adenovirus serotype 26 vector vaccination in mice	40162786	10.1128/jvi.00247-25	Mouse	Blood	72 h	adenovirus serotype 26 vector	adenovirus serotype 26 vector exposure.	baseline 0	Extended validation	1	1	0	No	1	0.0871399629697234	The 72 h rows were evaluated as late extended-validation evidence and did not contribute to frozen-model construction.
GSE264344	Blood; adenovirus serotype 5 vector; Extended validation	Early spatiotemporal evolution of the immune response elicited by adenovirus serotype 26 vector vaccination in mice	40162786	10.1128/jvi.00247-25	Mouse	Blood	72 h	adenovirus serotype 5 vector	adenovirus serotype 5 vector exposure.	baseline 0	Extended validation	1	1	0	No	1	0.2663513053649515	The 72 h rows were evaluated as late extended-validation evidence and did not contribute to frozen-model construction.
GSE264344	Muscle; adenovirus serotype 26 vector; Extended validation	Early spatiotemporal evolution of the immune response elicited by adenovirus serotype 26 vector vaccination in mice	40162786	10.1128/jvi.00247-25	Mouse	Muscle	72 h	adenovirus serotype 26 vector	adenovirus serotype 26 vector exposure.	baseline 0	Extended validation	1	1	0	No	1	1.0550234100660878	The 72 h rows were evaluated as late extended-validation evidence and did not contribute to frozen-model construction.
GSE264344	Muscle; adenovirus serotype 5 vector; Extended validation	Early spatiotemporal evolution of the immune response elicited by adenovirus serotype 26 vector vaccination in mice	40162786	10.1128/jvi.00247-25	Mouse	Muscle	72 h	adenovirus serotype 5 vector	adenovirus serotype 5 vector exposure.	baseline 0	Extended validation	1	1	0	No	1	1.441223145245387	The 72 h rows were evaluated as late extended-validation evidence and did not contribute to frozen-model construction.
GSE264344	dLN; adenovirus serotype 26 vector; Extended validation	Early spatiotemporal evolution of the immune response elicited by adenovirus serotype 26 vector vaccination in mice	40162786	10.1128/jvi.00247-25	Mouse	dLN	72 h	adenovirus serotype 26 vector	adenovirus serotype 26 vector exposure.	baseline 0	Extended validation	1	1	0	No	1	0.3932971804473866	The 72 h rows were evaluated as late extended-validation evidence and did not contribute to frozen-model construction.
GSE264344	dLN; adenovirus serotype 5 vector; Extended validation	Early spatiotemporal evolution of the immune response elicited by adenovirus serotype 26 vector vaccination in mice	40162786	10.1128/jvi.00247-25	Mouse	dLN	72 h	adenovirus serotype 5 vector	adenovirus serotype 5 vector exposure.	baseline 0	Extended validation	1	1	0	No	1	0.4507210263939263	The 72 h rows were evaluated as late extended-validation evidence and did not contribute to frozen-model construction.
GSE314070	small intestine; lipid nanoparticle; Extended validation	Parenteral vaccination with an adjuvanted mRNA vaccine induces protective mucosal immunity against rotavirus in neonatal mice	41671339	10.1126/scitranslmed.adw6105	Mouse	small intestine	336 h	lipid nanoparticle	Adjuvanted mRNA vaccine formulation.	baseline 0	Extended validation	2	2	0	No	1	1.2033088974553232	Late or context-shifted setting used to define temporal or biological boundaries of the acute-response interpretation.
GSE167521	skin; lipid nanoparticle; Locked anchor	The mRNA-LNP platform's lipid nanoparticle component used in preclinical vaccine studies is highly inflammatory	34841223	10.1016/j.isci.2021.103479	Mouse	skin	24 h	lipid nanoparticle	lipid nanoparticle exposure.	baseline 0	Locked anchor	1	1	0	Yes	1	8.690306696957737	Acute delivery-associated context used for frozen-coefficient construction.
GSE264344	Blood; adenoviral vector; Locked anchor	Early spatiotemporal evolution of the immune response elicited by adenovirus serotype 26 vector vaccination in mice	40162786	10.1128/jvi.00247-25	Mouse	Blood	1-24 h	adenoviral vector	adenoviral vector exposure.	baseline 0	Locked anchor	10	10	0	Yes	10	2.4642968349928305	Acute 1-24 h adenoviral-vector rows contributed to frozen-model construction.
GSE264344	Muscle; adenoviral vector; Locked anchor	Early spatiotemporal evolution of the immune response elicited by adenovirus serotype 26 vector vaccination in mice	40162786	10.1128/jvi.00247-25	Mouse	Muscle	1-24 h	adenoviral vector	adenoviral vector exposure.	baseline 0	Locked anchor	10	10	0	Yes	10	3.06458807004116	Acute 1-24 h adenoviral-vector rows contributed to frozen-model construction.
GSE264344	dLN; adenoviral vector; Locked anchor	Early spatiotemporal evolution of the immune response elicited by adenovirus serotype 26 vector vaccination in mice	40162786	10.1128/jvi.00247-25	Mouse	dLN	1-24 h	adenoviral vector	adenoviral vector exposure.	baseline 0	Locked anchor	10	10	0	Yes	10	3.628512308536267	Acute 1-24 h adenoviral-vector rows contributed to frozen-model construction.
GSE279372	draining lymph nodes; vaccine formulation / LNP or alum/VLP depending split; Locked anchor	Lipid nanoparticles as adjuvant of norovirus VLP vaccine augment cellular and humoral immune responses in a TLR9- and type I IFN-dependent pathway	39494905	10.1128/jvi.01699-24	Mouse	draining lymph nodes	24 h	vaccine formulation / LNP or alum/VLP depending split	vaccine formulation / LNP or alum/VLP depending split exposure.	baseline 0	Locked anchor	6	6	0	Yes	5	13.676071814206704	Acute delivery-associated context used for frozen-coefficient construction.
GSE279744	lymph node; mRNA lipid nanoparticle vaccine; Locked anchor	Low-inflammatory lipid nanoparticle-based mRNA vaccine elicits protective immunity against H5N1 influenza virus with reduced adverse reactions	39690742	10.1016/j.ymthe.2024.12.032	Mouse	lymph node	6 h	mRNA lipid nanoparticle vaccine	mRNA lipid nanoparticle vaccine exposure.	baseline 0	Locked anchor	2	2	0	Yes	2	35.14777893503376	Acute delivery-associated context used for frozen-coefficient construction.
GSE39129	liver; lentiviral vector; Locked anchor	A TLR and Non-TLR Mediated Innate Response to Lentiviruses Restricts Hepatocyte Entry and Can be Ameliorated by Pharmacological Blockade	22871668	10.1038/mt.2012.150	Mouse	liver	4 h	lentiviral vector	lentiviral vector exposure.	delivery none	Locked anchor	1	1	0	Yes	1	34.722530908038976	Acute delivery-associated context used for frozen-coefficient construction.
GSE119119	whole liver; adenoviral vector / virus-antibody perturbation; Primary acute validation	TRIM21 mediates antibody inhibition of adenovirus-based gene delivery and vaccination	30209217	10.1073/pnas.1806314115	Mouse	whole liver	4 h	adenoviral vector / virus-antibody perturbation	adenoviral vector / virus-antibody perturbation exposure.	TRIM21 KO uninfected whole liver	Primary acute validation	6	6	0	No	6	10.738673644978215	Independent acute delivery-associated dataset used for primary transfer validation.
GSE139529	blood; adenoviral / MVA vaccine vector; Primary acute validation	Distinct patterns of whole blood transcriptional responses are induced in mice following immunisation with adenoviral and poxviral vector vaccines encoding the same antigen	34717548	10.1186/s12864-021-08061-8	Mouse	blood	24 h	adenoviral / MVA vaccine vector	adenoviral / MVA vaccine vector exposure.	none	Primary acute validation	6	6	0	No	6	11.919943689161252	Independent acute delivery-associated dataset used for primary transfer validation.
GSE279743	Lymph Node; mRNA lipid nanoparticle vaccine; Primary acute validation	Low-inflammatory lipid nanoparticle-based mRNA vaccine elicits protective immunity against H5N1 influenza virus with reduced adverse reactions	39690742	10.1016/j.ymthe.2024.12.032	Mouse	Lymph Node	6 h	mRNA lipid nanoparticle vaccine	mRNA lipid nanoparticle vaccine exposure.	baseline 0	Primary acute validation	2	2	0	No	2	8.148223769311773	Independent acute delivery-associated dataset used for primary transfer validation.
GSE262515_cell_line	cell line; lipid nanoparticle; Secondary support	Optimized RNA interference therapeutics combined with interleukin-2 mRNA for treating hepatitis B virus infection	38902241	10.1038/s41392-024-01871-8	Mouse	cell line	16 h	lipid nanoparticle	Therapeutic tLNP/RNAi treatment context.	baseline 0	Secondary support	2	2	0	No	2	1.2974634039687645	Supportive 16 h in-vitro therapeutic evidence; this dataset did not contribute to frozen-coefficient construction.
GSE262515_tissue	tissue; lipid nanoparticle; Secondary support	Optimized RNA interference therapeutics combined with interleukin-2 mRNA for treating hepatitis B virus infection	38902241	10.1038/s41392-024-01871-8	Mouse	tissue	72 h	lipid nanoparticle	Therapeutic tLNP/RNAi treatment context.	baseline 0	Secondary support	3	3	0	No	6	0.786867855766336	Supportive mouse-tissue evidence retained at 72 h from GEO and supplementary Methods; the main-paper 48 h caption conflict is disclosed.
