Dataset	Split identifier	Manuscript analysis group	Biological system or tissue	Timepoint (h)	Delivery group	Control group	Delivery platform or modality	Number of delivery samples	Number of control samples	Mean delivery-minus-control delta IMRSz	Median delivery-minus-control delta IMRSz	AUC (secondary)	Cohen d	Two-sample t-test p-value	Direction	Scoring status	Inferential-statistic status	Biological-context note
GSE190850_HUMAN	GSE190850_HUMAN_design__T=BALF__H=0__B=NA__G=GID00119535__VS=delivery_unstimulated	Excluded/unclear	BALF	0	delivery stimulated with m tb whole cell lysate	delivery unstimulated	human adenovirus-vectored tuberculosis vaccine	10	10						Not evaluated	Not scored	Not applicable because the row was not scored	Vaccination time (baseline or week 8) is independent of the 12 h ex-vivo lysate-stimulation interval; metadata-only, not scored.
GSE190850_HUMAN	GSE190850_HUMAN_design__T=BALF__H=1344__B=NA__G=GID00119535__VS=delivery_unstimulated	Excluded/unclear	BALF	1344	delivery stimulated with m tb whole cell lysate	delivery unstimulated	human adenovirus-vectored tuberculosis vaccine	10	10						Not evaluated	Not scored	Not applicable because the row was not scored	Vaccination time (baseline or week 8) is independent of the 12 h ex-vivo lysate-stimulation interval; metadata-only, not scored.
GSE237068	GSE237068_metadata_only	Excluded/unclear	Liver	96	delivery ecsth	delivery gfp	adenoviral vector (EcSTH or GFP)								Not evaluated	Not scored	Not applicable because the row was not scored	Verified liver/96 h EcSTH-versus-GFP adenoviral metadata retained for provenance; metadata-only, not scored.
GSE166655	GSE166655_design__T=Tibialis_anterior__H=1008__B=NA__G=delivery_aav9_ar45__VS=delivery_untreated	Extended validation	Tibialis anterior	1008	delivery aav9 ar45	delivery untreated	AAV9	3	3	2.14949309685498	2.726667105765225	1.0	2.8463079583263227	0.0511939283130942	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Extended-validation contrast defining a temporal or biological boundary.
GSE166655	GSE166655_design__T=Tibialis_anterior__H=1008__B=NA__G=delivery_aav9_gfp__VS=delivery_untreated	Extended validation	Tibialis anterior	1008	delivery aav9 gfp	delivery untreated	AAV9	3	3	-0.0580237553664178	1.0242180758544366	0.4444444444444444	-0.0563534712760926	0.9482974837813454	Negative	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Extended-validation contrast defining a temporal or biological boundary.
GSE178313	GSE178313_design__T=Liver__H=24__B=NA__G=mouse_repopulated_lnp__VS=mouse_repopulated_pbs	Extended validation	Liver	24	mouse repopulated lnp	mouse repopulated pbs	lipid nanoparticle	4	4	6.743275601355258	6.256572443981676	1.0	1.9394765242291057	0.0649226434658101	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Extended-validation contrast defining a temporal or biological boundary.
GSE264344	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad26__VS=baseline_0	Extended validation	Blood	72	delivery ad26	baseline 0	adenovirus serotype 26 vector	5	5	0.0871399629697234	0.0694802906338183	0.7200000000000001	0.5755171354991028	0.3911994043687793	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Extended-validation contrast defining a temporal or biological boundary.
GSE264344	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad5__VS=baseline_0	Extended validation	Blood	72	delivery ad5	baseline 0	adenovirus serotype 5 vector	5	5	0.2663513053649515	0.272489461578847	0.96	2.1664489784418994	0.0092076259413063	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Extended-validation contrast defining a temporal or biological boundary.
GSE264344	GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad26__VS=baseline_0	Extended validation	Muscle	72	delivery ad26	baseline 0	adenovirus serotype 26 vector	5	5	1.0550234100660878	0.9965126086874558	0.96	2.508898915295741	0.0083057996958999	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Extended-validation contrast defining a temporal or biological boundary.
GSE264344	GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad5__VS=baseline_0	Extended validation	Muscle	72	delivery ad5	baseline 0	adenovirus serotype 5 vector	5	5	1.441223145245387	1.2011931089071184	1.0	2.937235134723757	0.0051259576793479	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Extended-validation contrast defining a temporal or biological boundary.
GSE264344	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad26__VS=baseline_0	Extended validation	dLN	72	delivery ad26	baseline 0	adenovirus serotype 26 vector	5	5	0.3932971804473866	0.4779538838260935	0.8	1.2746924365133967	0.1066259366886241	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Extended-validation contrast defining a temporal or biological boundary.
GSE264344	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad5__VS=baseline_0	Extended validation	dLN	72	delivery ad5	baseline 0	adenovirus serotype 5 vector	5	5	0.4507210263939263	0.6222745486592391	0.8	1.4210315414659414	0.0751939667900745	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Extended-validation contrast defining a temporal or biological boundary.
GSE314070	GSE314070_design__T=small_intestine__H=336__B=NA__G=delivery_am80_lnp__VS=baseline_0	Extended validation	small intestine	336	delivery am80 lnp	baseline 0	lipid nanoparticle	3	3	3.7750612954626153	3.3381833893945503	0.6666666666666666	0.7464925776767448	0.4538940433043643	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Extended-validation contrast defining a temporal or biological boundary.
GSE314070	GSE314070_design__T=small_intestine__H=336__B=NA__G=delivery_sm102_lnp__VS=baseline_0	Extended validation	small intestine	336	delivery sm102 lnp	baseline 0	lipid nanoparticle	3	3	-1.3684435005519688	-1.967799412490117	0.3333333333333333	-0.8033279370524108	0.4024278757780815	Negative	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Extended-validation contrast defining a temporal or biological boundary.
GSE167521	GSE167521_design__T=skin__H=24__B=NA__G=delivery_lnp__VS=baseline_0	Locked anchor	skin	24	delivery lnp	baseline 0	lipid nanoparticle	4	4	8.690306696957737	8.568233131969592	1.0	10.863198012117504	4.232575544690397e-05	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0	Locked anchor	Blood	1	delivery ad26	baseline 0	adenoviral vector	5	5	0.0779068941903649	0.0970840745134959	0.68	0.6517558908028463	0.3338918410158067	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0	Locked anchor	Blood	1	delivery ad5	baseline 0	adenoviral vector	5	5	0.2213183493530365	0.2220051103637927	0.88	1.680029203649002	0.0289852166682681	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0	Locked anchor	Muscle	1	delivery ad26	baseline 0	adenoviral vector	5	5	0.5752137463208833	0.4269790896733827	1.0	2.824333195228528	0.0038216261974578	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0	Locked anchor	Muscle	1	delivery ad5	baseline 0	adenoviral vector	5	5	0.5210164970803043	0.4585800335456602	0.96	2.3019451334806167	0.007225198535859	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0	Locked anchor	dLN	1	delivery ad26	baseline 0	adenoviral vector	5	5	0.3695107717465071	0.3564878006489786	0.8400000000000001	0.844728922881895	0.2185488955890521	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0	Locked anchor	dLN	1	delivery ad5	baseline 0	adenoviral vector	5	5	0.3592382013315616	0.4963106890024655	0.8	1.1378287821518274	0.1335575661024625	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0	Locked anchor	Blood	3	delivery ad26	baseline 0	adenoviral vector	5	5	3.6646891330381473	3.669490806283819	1.0	9.609234539434162	4.9351307291424906e-05	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0	Locked anchor	Blood	3	delivery ad5	baseline 0	adenoviral vector	5	5	0.9366653756632484	0.9737220179110708	1.0	3.021713281823367	0.00564460206242	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0	Locked anchor	Muscle	3	delivery ad26	baseline 0	adenoviral vector	5	5	3.166868738099831	3.4468108788450182	1.0	6.695682259492362	9.339123324649632e-05	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad5__VS=baseline_0	Locked anchor	Muscle	3	delivery ad5	baseline 0	adenoviral vector	5	5	1.8285090170879783	1.8254199465690573	1.0	4.067228251991224	0.0009843419504574453	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad26__VS=baseline_0	Locked anchor	dLN	3	delivery ad26	baseline 0	adenoviral vector	5	5	4.35817929066291	4.3819153591744975	1.0	6.944464576688193	2.790334598839684e-05	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad5__VS=baseline_0	Locked anchor	dLN	3	delivery ad5	baseline 0	adenoviral vector	5	5	2.7627049595948865	3.1835639900260544	1.0	4.831660723914188	0.00015823470168809954	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad26__VS=baseline_0	Locked anchor	Blood	6	delivery ad26	baseline 0	adenoviral vector	5	5	3.515367759659114	3.5246173095431805	1.0	19.79278402787503	2.0750924821285763e-08	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad5__VS=baseline_0	Locked anchor	Blood	6	delivery ad5	baseline 0	adenoviral vector	5	5	4.749455631909948	5.082869982263872	1.0	12.619526929675114	1.435917635517238e-05	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad26__VS=baseline_0	Locked anchor	Muscle	6	delivery ad26	baseline 0	adenoviral vector	5	5	4.409334481944208	4.136504729666548	1.0	10.180798952964905	7.08805730237458e-06	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad5__VS=baseline_0	Locked anchor	Muscle	6	delivery ad5	baseline 0	adenoviral vector	5	5	4.115105313956205	4.417540083097753	1.0	5.507797034889705	0.0005668230285296267	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad26__VS=baseline_0	Locked anchor	dLN	6	delivery ad26	baseline 0	adenoviral vector	5	5	5.703930536988686	5.916979418171839	1.0	18.37627731023707	2.2968798919628715e-06	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad5__VS=baseline_0	Locked anchor	dLN	6	delivery ad5	baseline 0	adenoviral vector	5	5	5.288429542245774	5.616855962952329	1.0	12.29318739623324	5.148916426804868e-08	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
GSE264344	GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad26__VS=baseline_0	Locked anchor	Blood	12	delivery ad26	baseline 0	adenoviral vector	5	5	4.557142380026869	4.576101637932399	1.0	21.220163658354423	8.871580873083427e-08	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Acute locked-anchor contrast; split contrasts are nested within the source dataset.
