Dataset	Split identifier	PMID	DOI	Biological system or tissue	Timepoint (h)	Delivery group	Control group	Manuscript analysis group	Mean delivery-minus-control delta IMRSz	AUC (secondary)	Biological context category	Interpretive certainty	Likely explanation for attenuated response	Relevance to the acute IMRS claim
GSE262515_cell_line	GSE262515_design__T=cell_line__H=16__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0	38902241	10.1038/s41392-024-01871-8	cell line	16	delivery_tlnp_sinc_50nm	baseline_0	Secondary support	-0.4813147569083797	0.5555555555555556	Therapeutic cargo/context effect	Context requires caution; no mechanistic conclusion is assigned	Metadata or design context requires caution, so the contrast is retained as boundary-setting evidence.	Context-shifted evidence defining the boundary of the acute-response interpretation; not included in the primary acute-validation claim.
GSE166655	GSE166655_design__T=Tibialis_anterior__H=1008__B=NA__G=delivery_aav9_ar45__VS=delivery_untreated	34417184	10.1126/sciadv.abi6896	Tibialis anterior	1008	delivery_aav9_ar45	delivery_untreated	Extended validation	2.14949309685498	1.0	Disease-rescue model	Contextual explanation plausible; interpret cautiously	Disease-rescue design adds biological context beyond delivery-versus-control scoring, supporting boundary-setting interpretation.	Context-shifted evidence defining the boundary of the acute-response interpretation; not included in the primary acute-validation claim.
GSE166655	GSE166655_design__T=Tibialis_anterior__H=1008__B=NA__G=delivery_aav9_gfp__VS=delivery_untreated	34417184	10.1126/sciadv.abi6896	Tibialis anterior	1008	delivery_aav9_gfp	delivery_untreated	Extended validation	-0.0580237553664178	0.4444444444444444	Disease-rescue model	Contextual explanation plausible; interpret cautiously	Disease-rescue design adds biological context beyond delivery-versus-control scoring, supporting boundary-setting interpretation.	Context-shifted evidence defining the boundary of the acute-response interpretation; not included in the primary acute-validation claim.
GSE314070	GSE314070_design__T=small_intestine__H=336__B=NA__G=delivery_sm102_lnp__VS=baseline_0	41671339	10.1126/scitranslmed.adw6105	small intestine	336	delivery_sm102_lnp	baseline_0	Extended validation	-1.3684435005519688	0.3333333333333333	Distal or adaptive tissue context	Contextual explanation supported by study design	Distal or adaptive tissue context can attenuate the acute delivery-associated innate transcriptional response captured by IMRS.	Context-shifted evidence defining the boundary of the acute-response interpretation; not included in the primary acute-validation claim.
GSE314070	GSE314070_design__T=small_intestine__H=336__B=NA__G=delivery_am80_lnp__VS=baseline_0	41671339	10.1126/scitranslmed.adw6105	small intestine	336	delivery_am80_lnp	baseline_0	Extended validation	3.7750612954626153	0.6666666666666666	Low-inflammatory formulation design	Contextual explanation supported by study design	Formulation design is expected to reduce inflammatory transcriptional signal, so the contrast is treated as boundary-setting evidence.	Context-shifted evidence defining the boundary of the acute-response interpretation; not included in the primary acute-validation claim.
GSE262515_tissue	GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0	38902241	10.1038/s41392-024-01871-8	tissue	72	delivery_tlnp_sinc_1mg_kg	baseline_0	Secondary support	0.7571044035156834	0.7777777777777778	Late timepoint	Contextual explanation plausible; interpret cautiously	Timing falls outside the primary acute window, so the contrast is interpreted as boundary-setting evidence for late or context-shifted settings.	Context-shifted evidence defining the boundary of the acute-response interpretation; not included in the primary acute-validation claim.
GSE262515_cell_line	GSE262515_design__T=cell_line__H=16__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0	38902241	10.1038/s41392-024-01871-8	cell line	16	delivery_tlnp_sihbv_50nm	baseline_0	Secondary support	3.0762415648459083	1.0	Therapeutic cargo/context effect	Contextual explanation plausible; interpret cautiously	Therapeutic cargo context can shape the observed transcriptional program, so the contrast is retained as boundary-setting evidence.	Context-shifted evidence defining the boundary of the acute-response interpretation; not included in the primary acute-validation claim.
GSE262515_tissue	GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0	38902241	10.1038/s41392-024-01871-8	tissue	72	delivery_tlnp_sihbv_1mg_kg	baseline_0	Secondary support	1.0413601243524528	0.8888888888888888	Therapeutic cargo/context effect	Contextual explanation plausible; interpret cautiously	Therapeutic cargo context can shape the observed transcriptional program, so the contrast is retained as boundary-setting evidence.	Context-shifted evidence defining the boundary of the acute-response interpretation; not included in the primary acute-validation claim.
GSE262515_tissue	GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0	38902241	10.1038/s41392-024-01871-8	tissue	72	delivery_tlnp_sihbv_2_5mg_kg	baseline_0	Secondary support	0.5621390394308718	0.6666666666666666	Therapeutic cargo/context effect	Contextual explanation plausible; interpret cautiously	Therapeutic cargo context can shape the observed transcriptional program, so the contrast is retained as boundary-setting evidence.	Context-shifted evidence defining the boundary of the acute-response interpretation; not included in the primary acute-validation claim.
GSE264344	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad26__VS=baseline_0	40162786	10.1128/jvi.00247-25	Blood	72	delivery_ad26	baseline_0	Extended validation	0.0871399629697234	0.7200000000000001	Tissue/time kinetic effect	Contextual explanation supported by study design	Tissue and time kinetics differ from the primary acute validation context, supporting a boundary-setting interpretation.	Context-shifted evidence defining the boundary of the acute-response interpretation; not included in the primary acute-validation claim.
GSE264344	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad5__VS=baseline_0	40162786	10.1128/jvi.00247-25	Blood	72	delivery_ad5	baseline_0	Extended validation	0.2663513053649515	0.96	Tissue/time kinetic effect	Contextual explanation supported by study design	Tissue and time kinetics differ from the primary acute validation context, supporting a boundary-setting interpretation.	Context-shifted evidence defining the boundary of the acute-response interpretation; not included in the primary acute-validation claim.
GSE264344	GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad26__VS=baseline_0	40162786	10.1128/jvi.00247-25	Muscle	72	delivery_ad26	baseline_0	Extended validation	1.0550234100660878	0.96	Tissue/time kinetic effect	Contextual explanation supported by study design	Tissue and time kinetics differ from the primary acute validation context, supporting a boundary-setting interpretation.	Context-shifted evidence defining the boundary of the acute-response interpretation; not included in the primary acute-validation claim.
GSE264344	GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad5__VS=baseline_0	40162786	10.1128/jvi.00247-25	Muscle	72	delivery_ad5	baseline_0	Extended validation	1.441223145245387	1.0	Tissue/time kinetic effect	Contextual explanation supported by study design	Tissue and time kinetics differ from the primary acute validation context, supporting a boundary-setting interpretation.	Context-shifted evidence defining the boundary of the acute-response interpretation; not included in the primary acute-validation claim.
GSE264344	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad26__VS=baseline_0	40162786	10.1128/jvi.00247-25	dLN	72	delivery_ad26	baseline_0	Extended validation	0.3932971804473866	0.8	Tissue/time kinetic effect	Contextual explanation supported by study design	Tissue and time kinetics differ from the primary acute validation context, supporting a boundary-setting interpretation.	Context-shifted evidence defining the boundary of the acute-response interpretation; not included in the primary acute-validation claim.
GSE264344	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad5__VS=baseline_0	40162786	10.1128/jvi.00247-25	dLN	72	delivery_ad5	baseline_0	Extended validation	0.4507210263939263	0.8	Tissue/time kinetic effect	Contextual explanation supported by study design	Tissue and time kinetics differ from the primary acute validation context, supporting a boundary-setting interpretation.	Context-shifted evidence defining the boundary of the acute-response interpretation; not included in the primary acute-validation claim.
