Score class	Manuscript analysis group	Number of contrasts	Mean score shift	Median score shift	Standard deviation	Positive-direction proportion	Coefficient of variation	Mean AUC (secondary)	Scope
IMRS	Locked anchor (production)	40	7.183469962400176	3.614798054079461	11.457130845012271	0.975	1.594929874417427	0.954	Same principal five-anchor manuscript groups used for IMRS and all three comparator signatures.
Interferon-stimulated gene baseline	Locked anchor (production)	40	5.579221899230916	3.609107014815111	7.311699588108992	0.85	1.3105231733329865	0.8857500000000001	Same principal five-anchor manuscript groups used for IMRS and all three comparator signatures.
Chemokine/inflammatory baseline	Locked anchor (production)	40	5.7727593562173825	4.19048551800824	8.505747982084136	0.925	1.4734284693373314	0.934763888888889	Same principal five-anchor manuscript groups used for IMRS and all three comparator signatures.
Generic innate benchmark	Locked anchor (production)	40	4.099180345707657	1.3730196846620526	7.383792803919377	1.0	1.8012851792800753	0.9821875	Same principal five-anchor manuscript groups used for IMRS and all three comparator signatures.
IMRS	Primary acute validation	14	10.874867967390028	11.924730800981251	4.335920326123945	1.0	0.39871015805671134	0.9702380952380952	Same principal five-anchor manuscript groups used for IMRS and all three comparator signatures.
Interferon-stimulated gene baseline	Primary acute validation	14	17.356482001233907	9.551546760704326	13.445480929375915	1.0	0.7746662560085649	0.9920634920634921	Same principal five-anchor manuscript groups used for IMRS and all three comparator signatures.
Chemokine/inflammatory baseline	Primary acute validation	14	6.596152976124581	4.917976003214207	6.834163691639003	0.9285714285714286	1.0360832619218998	0.9067460317460317	Same principal five-anchor manuscript groups used for IMRS and all three comparator signatures.
Generic innate benchmark	Primary acute validation	14	5.610782474448112	5.084552253367249	3.2142945076844605	1.0	0.5728781185730472	0.9702380952380951	Same principal five-anchor manuscript groups used for IMRS and all three comparator signatures.
IMRS	Extended validation	11	1.3577380698401753	0.4507210263939263	2.2263819594108125	0.8181818181818182	1.6397728021818587	0.7894949494949496	Same principal five-anchor manuscript groups used for IMRS and all three comparator signatures.
Interferon-stimulated gene baseline	Extended validation	11	1.1884114333888218	0.3204703153676347	2.7541569972996487	0.8181818181818182	2.3175113600565216	0.7171212121212122	Same principal five-anchor manuscript groups used for IMRS and all three comparator signatures.
Chemokine/inflammatory baseline	Extended validation	11	2.5700661264288347	1.3018437252292998	4.352297643476433	1.0	1.6934574557130364	0.8067424242424241	Same principal five-anchor manuscript groups used for IMRS and all three comparator signatures.
Generic innate benchmark	Extended validation	11	1.0120355009275832	0.6599101302690485	1.3264733439012113	0.7272727272727273	1.3106984317105768	0.6899747474747474	Same principal five-anchor manuscript groups used for IMRS and all three comparator signatures.
IMRS	Secondary support	5	0.9911060750473073	0.7571044035156834	1.2997219016573738	0.8	1.3113852637774779	0.7777777777777777	Same principal five-anchor manuscript groups used for IMRS and all three comparator signatures.
Interferon-stimulated gene baseline	Secondary support	5	0.1177822962378349	-0.3428761113901359	0.7669666770466252	0.4	6.511731402297577	0.42222222222222217	Same principal five-anchor manuscript groups used for IMRS and all three comparator signatures.
Chemokine/inflammatory baseline	Secondary support	5	1.8122469419387088	2.526769099880506	2.2688098022226173	0.8	1.2519319247935856	0.6666666666666667	Same principal five-anchor manuscript groups used for IMRS and all three comparator signatures.
Generic innate benchmark	Secondary support	5	0.938292286695769	0.0790584730108669	3.3001140671697087	0.6	3.517149308336726	0.6	Same principal five-anchor manuscript groups used for IMRS and all three comparator signatures.
