sample_id	group	tissue	timepoint_hr	batch
SRR17223802	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA
SRR17223804	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA
SRR17223806	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA
SRR17223808	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA
SRR17223810	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA
SRR17223812	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA
SRR17223814	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA
SRR17223818	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA
SRR17223820	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA
SRR17223822	delivery_unstimulated	BALF	0	NA
SRR17223824	delivery_unstimulated	BALF	0	NA
SRR17223826	delivery_unstimulated	BALF	0	NA
SRR17223828	delivery_unstimulated	BALF	0	NA
SRR17223830	delivery_unstimulated	BALF	0	NA
SRR17223832	delivery_unstimulated	BALF	0	NA
SRR17223834	delivery_unstimulated	BALF	0	NA
SRR17223836	delivery_unstimulated	BALF	0	NA
SRR17223838	delivery_unstimulated	BALF	0	NA
SRR17223840	delivery_unstimulated	BALF	0	NA
SRR17223803	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA
SRR17223805	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA
SRR17223807	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA
SRR17223809	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA
SRR17223811	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA
SRR17223813	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA
SRR17223816	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA
SRR17223819	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA
SRR17223821	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA
SRR17223823	delivery_unstimulated	BALF	0	NA
SRR17223825	delivery_unstimulated	BALF	0	NA
SRR17223827	delivery_unstimulated	BALF	0	NA
SRR17223829	delivery_unstimulated	BALF	0	NA
SRR17223831	delivery_unstimulated	BALF	0	NA
SRR17223833	delivery_unstimulated	BALF	0	NA
SRR17223835	delivery_unstimulated	BALF	0	NA
SRR17223837	delivery_unstimulated	BALF	0	NA
SRR17223839	delivery_unstimulated	BALF	0	NA
SRR17223841	delivery_unstimulated	BALF	0	NA
SRR17223815	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA
SRR17223817	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA
