sample_id	group	tissue	timepoint_hr	batch
SRR30976289	delivery_5_g_gi_1_gii_4_vlp	draining lymph nodes	24	NA
SRR30976290	delivery_5_g_gi_1_gii_4_vlp	draining lymph nodes	24	NA
SRR30976291	delivery_5_g_gi_1_gii_4_vlp	draining lymph nodes	24	NA
SRR30976292	delivery_5_g_gi_1_gii_4_vlp	draining lymph nodes	24	NA
SRR30976293	delivery_250_g_alum_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	NA
SRR30976294	delivery_250_g_alum_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	NA
SRR30976295	delivery_250_g_alum_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	NA
SRR30976296	delivery_250_g_alum_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	NA
SRR30976297	delivery_1000_g_lnps_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	NA
SRR30976298	delivery_1000_g_lnps_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	NA
SRR30976299	delivery_1000_g_lnps_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	NA
SRR30976300	delivery_1000_g_lnps_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	NA
SRR30976301	delivery_125_g_lnps_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	NA
SRR30976302	delivery_125_g_lnps_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	NA
SRR30976303	delivery_125_g_lnps_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	NA
SRR30976304	delivery_125_g_lnps_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	NA
SRR30976305	delivery_1000_g_lnps_injected	draining lymph nodes	24	NA
SRR30976306	delivery_1000_g_lnps_injected	draining lymph nodes	24	NA
SRR30976307	delivery_1000_g_lnps_injected	draining lymph nodes	24	NA
SRR30976308	delivery_1000_g_lnps_injected	draining lymph nodes	24	NA
SRR30976309	delivery_250_g_alum_injected	draining lymph nodes	24	NA
SRR30976310	delivery_250_g_alum_injected	draining lymph nodes	24	NA
SRR30976311	delivery_250_g_alum_injected	draining lymph nodes	24	NA
SRR30976312	delivery_250_g_alum_injected	draining lymph nodes	24	NA
SRR30976313	baseline_0	draining lymph nodes	24	NA
SRR30976314	baseline_0	draining lymph nodes	24	NA
SRR30976315	baseline_0	draining lymph nodes	24	NA
SRR30976316	baseline_0	draining lymph nodes	24	NA
