sample_id	group	tissue	timepoint_hr	batch	group_raw	tissue_raw	time_raw	time_h	time_label	batch_raw	is_control	condition_simple	control_label	contrast_label	control_time_policy
SRR17223822	delivery_unstimulated	BALF	0	NA	delivery_unstimulated	BALF	0	0	0h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	fallback_time0
SRR17223824	delivery_unstimulated	BALF	0	NA	delivery_unstimulated	BALF	0	0	0h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	fallback_time0
SRR17223826	delivery_unstimulated	BALF	0	NA	delivery_unstimulated	BALF	0	0	0h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	fallback_time0
SRR17223828	delivery_unstimulated	BALF	0	NA	delivery_unstimulated	BALF	0	0	0h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	fallback_time0
SRR17223830	delivery_unstimulated	BALF	0	NA	delivery_unstimulated	BALF	0	0	0h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	fallback_time0
SRR17223832	delivery_unstimulated	BALF	0	NA	delivery_unstimulated	BALF	0	0	0h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	fallback_time0
SRR17223834	delivery_unstimulated	BALF	0	NA	delivery_unstimulated	BALF	0	0	0h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	fallback_time0
SRR17223836	delivery_unstimulated	BALF	0	NA	delivery_unstimulated	BALF	0	0	0h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	fallback_time0
SRR17223838	delivery_unstimulated	BALF	0	NA	delivery_unstimulated	BALF	0	0	0h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	fallback_time0
SRR17223840	delivery_unstimulated	BALF	0	NA	delivery_unstimulated	BALF	0	0	0h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	fallback_time0
