tissue_raw	time_label	batch_raw	group_raw	group_token
Blood	12h	NA	delivery_ad26	delivery_ad26
Blood	12h	NA	delivery_ad5	delivery_ad5
Blood	1h	NA	delivery_ad26	delivery_ad26
Blood	1h	NA	delivery_ad5	delivery_ad5
Blood	24h	NA	delivery_ad26	delivery_ad26
Blood	24h	NA	delivery_ad5	delivery_ad5
Blood	3h	NA	delivery_ad26	delivery_ad26
Blood	3h	NA	delivery_ad5	delivery_ad5
Blood	6h	NA	delivery_ad26	delivery_ad26
Blood	6h	NA	delivery_ad5	delivery_ad5
Blood	72h	NA	delivery_ad26	delivery_ad26
Blood	72h	NA	delivery_ad5	delivery_ad5
Muscle	12h	NA	delivery_ad26	delivery_ad26
Muscle	12h	NA	delivery_ad5	delivery_ad5
Muscle	1h	NA	delivery_ad26	delivery_ad26
Muscle	1h	NA	delivery_ad5	delivery_ad5
Muscle	24h	NA	delivery_ad26	delivery_ad26
Muscle	24h	NA	delivery_ad5	delivery_ad5
Muscle	3h	NA	delivery_ad26	delivery_ad26
Muscle	3h	NA	delivery_ad5	delivery_ad5
Muscle	6h	NA	delivery_ad26	delivery_ad26
Muscle	6h	NA	delivery_ad5	delivery_ad5
Muscle	72h	NA	delivery_ad26	delivery_ad26
Muscle	72h	NA	delivery_ad5	delivery_ad5
dLN	12h	NA	delivery_ad26	delivery_ad26
dLN	12h	NA	delivery_ad5	delivery_ad5
dLN	1h	NA	delivery_ad26	delivery_ad26
dLN	1h	NA	delivery_ad5	delivery_ad5
dLN	24h	NA	delivery_ad26	delivery_ad26
dLN	24h	NA	delivery_ad5	delivery_ad5
dLN	3h	NA	delivery_ad26	delivery_ad26
dLN	3h	NA	delivery_ad5	delivery_ad5
dLN	6h	NA	delivery_ad26	delivery_ad26
dLN	6h	NA	delivery_ad5	delivery_ad5
dLN	72h	NA	delivery_ad26	delivery_ad26
dLN	72h	NA	delivery_ad5	delivery_ad5
